Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"17,837",6.131,5.787,5.546,1.097,227,9.0,7.5,0.024,1.732,100.00,2.82300,94.74900,IEEE TRANSACTIONS ON MEDICAL IMAGING
2016,"15,215",3.942,3.546,4.479,0.812,229,9.7,7.0,0.01959,1.420,100.00,2.25283,87.91300,IEEE TRANSACTIONS ON MEDICAL IMAGING
2015,"13,784",3.756,3.403,4.720,0.779,213,9.5,7.6,0.02443,1.779,100.00,2.78440,90.41100,IEEE TRANSACTIONS ON MEDICAL IMAGING
2014,"12,720",3.390,3.025,4.288,0.435,184,9.8,7.0,0.0207,1.437,100.00,2.31838,88.34200,IEEE TRANSACTIONS ON MEDICAL IMAGING
2013,"12,890",3.799,3.360,4.575,0.544,193,9.5,7.0,0.02329,1.603,100.00,2.56694,91.49500,IEEE TRANSACTIONS ON MEDICAL IMAGING
2012,"11,439",4.027,3.584,4.268,0.603,194,9.1,7.0,0.02012,1.402,100.00,Not Available,93.36900,IEEE TRANSACTIONS ON MEDICAL IMAGING
2011,"10,353",3.643,3.324,4.105,0.543,175,8.7,7.2,0.01891,1.308,100.00,Not Available,91.32300,IEEE TRANSACTIONS ON MEDICAL IMAGING
2010,"11,114",3.639,3.351,4.438,1.012,162,8.3,7.3,0.01877,1.258,100.00,Not Available,92.12100,IEEE TRANSACTIONS ON MEDICAL IMAGING
2009,"9,957",3.540,3.291,4.400,0.404,183,8.1,7.3,0.02047,1.353,100.00,Not Available,91.80400,IEEE TRANSACTIONS ON MEDICAL IMAGING
2008,"10,426",4.004,3.743,5.544,0.468,158,7.3,7.2,0.02141,1.368,98.73,Not Available,95.17300,IEEE TRANSACTIONS ON MEDICAL IMAGING
2007,"7,725",3.275,2.954,4.450,0.368,144,7.0,6.7,0.02466,1.500,98.61,Not Available,93.32700,IEEE TRANSACTIONS ON MEDICAL IMAGING
2006,"7,766",3.757,3.362,Not Available,0.532,141,6.7,6.7,Not Available,Not Available,97.87,Not Available,94.84800,IEEE TRANSACTIONS ON MEDICAL IMAGING
2005,"6,686",3.939,3.535,Not Available,0.622,143,6.2,6.7,Not Available,Not Available,100.00,Not Available,95.89100,IEEE TRANSACTIONS ON MEDICAL IMAGING
2004,"6,297",3.922,3.606,Not Available,0.426,141,5.9,6.7,Not Available,Not Available,100.00,Not Available,96.22600,IEEE TRANSACTIONS ON MEDICAL IMAGING
2003,"5,435",3.755,3.323,Not Available,0.467,137,5.7,6.3,Not Available,Not Available,99.27,Not Available,95.53000,IEEE TRANSACTIONS ON MEDICAL IMAGING
2002,"4,049",2.911,2.576,Not Available,0.309,110,5.7,6.5,Not Available,Not Available,99.09,Not Available,95.01700,IEEE TRANSACTIONS ON MEDICAL IMAGING
2001,"3,748",3.142,2.672,Not Available,0.145,124,5.3,6.4,Not Available,Not Available,98.39,Not Available,96.37000,IEEE TRANSACTIONS ON MEDICAL IMAGING
2000,"2,838",2.573,2.321,Not Available,0.204,98,5.8,6.3,Not Available,Not Available,100.00,Not Available,93.89800,IEEE TRANSACTIONS ON MEDICAL IMAGING
1999,"2,973",2.984,2.497,Not Available,0.250,92,5.6,6.0,Not Available,Not Available,98.91,Not Available,95.83800,IEEE TRANSACTIONS ON MEDICAL IMAGING
1998,"2,107",2.230,1.757,Not Available,0.052,77,5.9,5.9,Not Available,Not Available,100.00,Not Available,93.21600,IEEE TRANSACTIONS ON MEDICAL IMAGING
1997,"1,474",1.559,1.302,Not Available,0.145,62,6.1,6.5,Not Available,Not Available,100.00,Not Available,86.01100,IEEE TRANSACTIONS ON MEDICAL IMAGING
