,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,6889,451,1464,1699,1762,1483,1,1,0,0,0,28,JAMA Neurology
2,,ALL OTHERS (673),673,27,187,156,165,135,0,0,0,0,0,3,JAMA Neurology
3,11.460,JAMA NEUROL,247,97,62,23,31,23,0,0,0,0,0,11,JAMA Neurology
4,8.055,NEUROLOGY,183,9,55,41,41,37,0,0,0,0,0,0,JAMA Neurology
5,3.476,J ALZHEIMERS DIS,169,5,26,45,54,39,0,0,0,0,0,0,JAMA Neurology
6,4.122,SCI REP-UK,121,5,26,33,29,28,0,0,0,0,0,0,JAMA Neurology
7,2.766,PLOS ONE,105,2,20,24,40,19,0,0,0,0,0,0,JAMA Neurology
8,2.448,J NEUROL SCI,86,5,13,23,31,13,0,0,0,0,0,1,JAMA Neurology
9,3.508,FRONT NEUROL,83,10,15,20,18,20,0,0,0,0,0,0,JAMA Neurology
10,12.764,ALZHEIMERS DEMENT,78,0,14,26,19,19,0,0,0,0,0,0,JAMA Neurology
11,4.454,NEUROBIOL AGING,74,2,16,18,18,20,0,0,0,0,0,0,JAMA Neurology
12,10.848,BRAIN,72,4,10,16,21,21,0,0,0,0,0,0,JAMA Neurology
13,8.324,MOVEMENT DISORD,72,2,7,25,16,21,0,0,0,0,0,1,JAMA Neurology
14,6.239,STROKE,70,16,20,15,11,8,0,0,0,0,0,0,JAMA Neurology
15,5.280,MULT SCLER J,65,3,5,26,22,9,0,0,0,0,0,0,JAMA Neurology
16,3.783,J NEUROL,64,0,12,22,18,12,0,0,0,0,0,0,JAMA Neurology
17,19.819,NAT REV NEUROL,61,11,13,9,15,11,0,0,0,0,0,2,JAMA Neurology
18,3.478,CURR NEUROL NEUROSCI,58,4,14,13,15,12,0,0,0,0,0,0,JAMA Neurology
19,27.144,LANCET NEUROL,58,10,17,11,10,10,0,0,0,0,0,0,JAMA Neurology
20,7.144,J NEUROL NEUROSUR PS,56,3,13,11,15,13,0,0,0,0,0,1,JAMA Neurology
21,4.010,CURR OPIN NEUROL,55,7,19,11,9,9,0,0,0,0,0,0,JAMA Neurology
22,3.582,FRONT AGING NEUROSCI,54,5,4,20,14,11,0,0,0,0,0,0,JAMA Neurology
23,2.371,INT REV NEUROBIOL,54,1,6,22,11,14,0,0,0,0,0,0,JAMA Neurology
24,5.002,J NEUROTRAUM,53,2,16,14,13,8,0,0,0,0,0,0,JAMA Neurology
25,4.621,EUR J NEUROL,52,0,11,19,13,9,0,0,0,0,0,0,JAMA Neurology
26,10.250,ANN NEUROL,46,6,11,12,9,8,0,0,0,0,0,0,JAMA Neurology
27,5.719,NEUROTHERAPEUTICS,45,3,8,17,8,9,0,0,0,0,0,0,JAMA Neurology
28,1.870,SEMIN NEUROL,45,3,8,9,14,11,0,0,0,0,0,0,JAMA Neurology
29,5.015,ALZHEIMERS RES THER,44,2,5,19,14,4,0,0,0,0,0,0,JAMA Neurology
30,3.687,INT J MOL SCI,40,5,11,4,14,6,0,0,0,0,0,0,JAMA Neurology
31,4.721,PARKINSONISM RELAT D,38,0,4,8,13,13,0,0,0,0,0,0,JAMA Neurology
32,1.924,WORLD NEUROSURG,38,3,10,4,13,7,0,0,0,0,0,1,JAMA Neurology
33,3.869,NEUROIMAGE-CLIN,37,0,6,8,10,13,0,0,0,0,0,0,JAMA Neurology
34,3.696,EXPERT REV NEUROTHER,36,5,12,9,6,4,0,0,0,0,0,0,JAMA Neurology
35,3.199,MULT SCLER RELAT DIS,34,2,5,7,17,3,0,0,0,0,0,0,JAMA Neurology
36,2.285,NEUROL SCI,33,2,6,12,9,4,0,0,0,0,0,0,JAMA Neurology
37,15.876,ACTA NEUROPATHOL,29,3,7,2,8,9,0,0,0,0,0,0,JAMA Neurology
38,2.779,J NEURAL TRANSM,28,1,1,12,7,7,0,0,0,0,0,0,JAMA Neurology
39,8.973,AGEING RES REV,27,0,7,7,9,4,0,0,0,0,0,0,JAMA Neurology
40,5.511,FRONT IMMUNOL,27,2,3,8,5,9,0,0,0,0,0,0,JAMA Neurology
