,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6237,247,665,640,570,518,442,358,318,286,228,1965,JAMA Neurology
2, ,ALL OTHERS (676),676,11,56,55,55,40,39,37,40,34,21,288,JAMA Neurology
3,8.055,NEUROLOGY,512,5,43,36,44,36,42,17,17,25,20,227,JAMA Neurology
4,11.460,JAMA NEUROL,247,97,62,23,31,23,0,0,0,0,0,11,JAMA Neurology
5,6.239,STROKE,241,7,25,31,22,16,13,18,22,18,5,64,JAMA Neurology
6,10.250,ANN NEUROL,200,4,22,15,17,18,14,25,15,9,6,55,JAMA Neurology
7,79.260,NEW ENGL J MED,162,1,24,47,7,13,4,9,4,4,7,42,JAMA Neurology
8,10.848,BRAIN,158,4,21,19,12,14,12,11,7,9,10,39,JAMA Neurology
9,27.144,LANCET NEUROL,145,1,24,12,11,22,24,11,9,6,6,19,JAMA Neurology
10,8.324,MOVEMENT DISORD,112,0,10,15,9,6,8,11,7,6,3,37,JAMA Neurology
11,53.254,LANCET,106,0,27,4,7,2,7,4,3,2,3,47,JAMA Neurology
12, ,ARCH NEUROL-CHICAGO,105,0,0,0,0,0,15,8,8,11,10,53,JAMA Neurology
13,47.661,JAMA-J AM MED ASSOC,104,5,12,14,6,17,1,3,3,4,2,37,JAMA Neurology
14,7.144,J NEUROL NEUROSUR PS,93,2,5,10,8,7,8,6,1,4,6,36,JAMA Neurology
15,12.764,ALZHEIMERS DEMENT,73,4,10,14,11,4,6,17,3,1,0,3,JAMA Neurology
16,2.766,PLOS ONE,70,0,5,15,11,18,10,4,2,2,3,0,JAMA Neurology
17,5.067,EPILEPSIA,66,2,3,7,11,6,4,4,5,2,6,16,JAMA Neurology
18,4.454,NEUROBIOL AGING,60,1,4,7,11,2,8,5,3,2,0,17,JAMA Neurology
19,3.783,J NEUROL,55,1,11,11,4,3,6,1,3,3,2,10,JAMA Neurology
20,14.319,NEURON,52,0,12,3,7,5,4,4,3,4,1,9,JAMA Neurology
21,15.876,ACTA NEUROPATHOL,49,2,9,9,6,0,3,4,3,1,1,11,JAMA Neurology
22,2.448,J NEUROL SCI,49,3,2,5,4,1,7,2,5,4,1,15,JAMA Neurology
23,3.476,J ALZHEIMERS DIS,44,1,5,6,3,10,5,3,5,3,0,3,JAMA Neurology
24,5.426,NEUROIMAGE,43,1,3,1,1,1,7,3,5,4,2,15,JAMA Neurology
25,19.819,NAT REV NEUROL,41,1,6,6,10,6,1,1,8,2,0,0,JAMA Neurology
26,5.002,J NEUROTRAUM,40,4,5,7,7,5,1,3,5,0,0,3,JAMA Neurology
27,27.125,NAT GENET,37,1,2,3,4,6,4,3,3,3,1,7,JAMA Neurology
28,9.504,P NATL ACAD SCI USA,37,0,2,5,1,2,0,1,1,4,4,17,JAMA Neurology
29,5.280,MULT SCLER J,35,3,3,2,1,7,5,0,2,2,2,8,JAMA Neurology
30,8.855,AM J HUM GENET,34,0,1,1,3,4,5,3,3,3,1,10,JAMA Neurology
31,3.653,AM J NEURORADIOL,34,1,3,4,2,2,1,2,1,0,0,18,JAMA Neurology
32,41.058,SCIENCE,34,1,0,5,0,5,2,0,3,1,1,16,JAMA Neurology
33,23.562,BMJ-BRIT MED J,33,0,3,1,1,0,1,2,1,3,0,21,JAMA Neurology
34,41.577,NATURE,32,0,4,4,3,2,0,3,2,1,1,12,JAMA Neurology
35,18.881,CIRCULATION,29,0,6,2,6,3,2,1,2,0,1,6,JAMA Neurology
36,4.621,EUR J NEUROL,29,1,1,4,4,3,1,0,4,5,1,5,JAMA Neurology
37,4.155,J AM GERIATR SOC,29,0,0,2,0,2,5,2,1,1,3,13,JAMA Neurology
38,4.322,AM J EPIDEMIOL,26,0,2,1,2,2,0,4,1,0,2,12,JAMA Neurology
39,1.982,J CLIN NEUROPHYSIOL,26,0,2,2,2,4,0,1,0,0,0,15,JAMA Neurology
40,4.902,J GERONTOL A-BIOL,25,4,2,0,6,5,0,0,1,0,2,5,JAMA Neurology
41,4.902,HUM MOL GENET,22,0,0,1,7,1,5,2,0,1,2,3,JAMA Neurology
42,6.045,J CEREBR BLOOD F MET,22,0,1,1,2,5,3,2,1,0,1,6,JAMA Neurology
43,3.490,J NEUROPATH EXP NEUR,21,0,2,0,1,1,4,2,1,2,1,7,JAMA Neurology
44,5.971,J NEUROSCI,21,0,2,2,2,1,4,1,4,0,1,4,JAMA Neurology
45,2.982,AMYOTROPH LAT SCL FR,20,2,2,1,3,1,0,1,0,4,1,5,JAMA Neurology
46,4.475,NEUROSURGERY,19,0,0,0,1,0,2,1,1,1,2,11,JAMA Neurology
47,3.697,NEUROEPIDEMIOLOGY,18,0,0,1,1,3,2,0,1,0,3,7,JAMA Neurology
48,4.721,PARKINSONISM RELAT D,18,0,0,3,4,3,4,1,0,0,0,3,JAMA Neurology
49,3.126,ACTA NEUROL SCAND,17,0,1,1,0,3,2,0,0,2,0,8,JAMA Neurology
50,19.384,ANN INTERN MED,17,2,4,1,3,2,0,0,1,0,0,4,JAMA Neurology
51,4.319,J NEUROSURG,17,0,0,0,0,4,1,0,0,0,1,11,JAMA Neurology
52,7.199,MAYO CLIN PROC,17,0,2,2,0,0,8,0,3,0,0,2,JAMA Neurology
53,32.621,NAT MED,17,0,2,2,1,0,0,2,0,1,3,6,JAMA Neurology
54,19.912,NAT NEUROSCI,17,0,0,3,3,0,0,1,1,1,1,7,JAMA Neurology
55,6.187,BRAIN PATHOL,16,0,0,2,0,1,2,1,0,0,2,8,JAMA Neurology
56,2.655,J NEUROIMMUNOL,16,0,2,3,1,1,0,1,0,1,2,5,JAMA Neurology
57,2.496,MUSCLE NERVE,16,0,5,1,1,0,1,1,3,1,1,2,JAMA Neurology
58,5.227,NEUROBIOL DIS,16,0,0,3,2,0,2,0,0,1,1,7,JAMA Neurology
59,3.859,INT J STROKE,15,0,1,10,3,0,0,1,0,0,0,0,JAMA Neurology
60,2.777,J INT NEUROPSYCH SOC,15,1,1,2,0,2,0,0,1,2,0,6,JAMA Neurology
61,7.439,J NUCL MED,15,0,0,1,2,2,0,2,0,1,0,7,JAMA Neurology
62,5.135,SLEEP,15,1,1,2,0,1,0,1,1,0,1,7,JAMA Neurology
63,4.010,CURR OPIN NEUROL,14,0,2,2,4,1,0,1,0,1,0,3,JAMA Neurology
64,4.011,J BIOL CHEM,14,0,0,2,1,2,1,2,1,1,1,3,JAMA Neurology
65,1.953,J NEUROIMAGING,14,0,3,1,1,0,2,1,0,1,0,5,JAMA Neurology
66,5.015,ALZHEIMERS RES THER,13,1,2,2,6,2,0,0,0,0,0,0,JAMA Neurology
67,3.077,ARCH PHYS MED REHAB,13,0,1,0,1,0,4,0,4,1,1,1,JAMA Neurology
68,4.539,J IMMUNOL,13,0,2,0,1,2,1,1,2,0,1,3,JAMA Neurology
69,12.888,MMWR-MORBID MORTAL W,13,3,6,0,1,1,0,0,0,0,0,2,JAMA Neurology
70, ,NEUROL-NEUROIMMUNOL,13,1,7,4,1,0,0,0,0,0,0,0,JAMA Neurology
71,7.469,RADIOLOGY,13,0,5,0,0,1,0,0,0,1,0,6,JAMA Neurology
72,16.710,SCI TRANSL MED,13,0,1,2,3,1,5,1,0,0,0,0,JAMA Neurology
73,1.940,ALZ DIS ASSOC DIS,12,0,1,0,0,0,2,1,0,4,0,4,JAMA Neurology
74,6.549,AM J CLIN NUTR,12,0,1,0,0,1,0,0,1,1,1,7,JAMA Neurology
75,15.132,BLOOD,12,0,0,2,0,2,1,4,0,1,0,2,JAMA Neurology
