Journal Profile: JOURNAL OF NEUROPHYSIOLOGY,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"43,471",2.502,2.251,2.755,0.579,466,13.1,11.2,0.041,1.075,94.42,4.79400,42.50100
2016,"41,502",2.396,2.137,2.809,0.513,497,>10.0,>10.0,0.04603,1.145,95.77,5.28679,45.52000
2015,"42,921",2.653,2.308,3.193,0.506,636,>10.0,>10.0,0.05643,1.336,98.74,6.43186,55.14500
2014,"42,912",2.887,2.594,3.313,0.492,498,>10.0,>10.0,0.06171,1.341,99.80,6.91147,59.12100
2013,"43,740",3.041,2.710,3.446,0.583,523,>10.0,>10.0,0.06881,1.409,99.81,7.58387,60.35100
2012,"43,389",3.301,2.869,3.607,0.661,598,>10.0,9.9,0.07982,1.500,99.67,Not Available,66.62200
2011,"43,413",3.316,2.932,3.713,0.640,541,9.9,9.9,0.09069,1.563,99.45,Not Available,67.02800
2010,"42,143",3.114,2.690,3.686,0.594,633,9.8,9.6,0.09666,1.535,98.89,Not Available,61.55600
2009,"41,700",3.483,2.996,3.872,0.620,603,9.4,9.3,0.11207,1.674,95.69,Not Available,67.59300
2008,"40,378",3.648,3.208,3.990,0.622,556,8.9,8.9,0.1296,1.759,95.14,Not Available,74.93400
2007,"39,998",3.684,3.015,4.087,0.780,713,8.6,8.6,0.12181,1.622,94.53,Not Available,74.58500
2006,"37,425",3.652,3.062,Not Available,0.821,658,8.4,8.6,Not Available,Not Available,97.26,Not Available,74.12500
2005,"35,617",3.853,3.174,Not Available,0.810,716,8.0,8.7,Not Available,Not Available,95.95,Not Available,76.79200
2004,"34,116",3.592,3.038,Not Available,0.885,573,7.7,8.3,Not Available,Not Available,96.68,Not Available,80.23500
2003,"33,076",3.876,3.221,Not Available,0.738,665,7.5,8.0,Not Available,Not Available,96.69,Not Available,83.94100
2002,"31,805",3.743,3.202,Not Available,0.636,618,7.4,8.0,Not Available,Not Available,97.57,Not Available,82.35200
2001,"28,881",3.517,3.035,Not Available,0.687,531,7.0,7.7,Not Available,Not Available,98.12,Not Available,80.90400
2000,"29,026",3.855,3.158,Not Available,0.675,612,7.0,7.7,Not Available,Not Available,96.73,Not Available,86.32200
1999,"28,232",3.935,3.259,Not Available,0.630,635,6.9,7.6,Not Available,Not Available,98.43,Not Available,88.69700
1998,"25,221",3.411,2.719,Not Available,0.698,589,7.0,7.4,Not Available,Not Available,97.79,Not Available,86.36200
1997,"21,695",3.263,2.550,Not Available,0.498,619,7.1,7.2,Not Available,Not Available,98.87,Not Available,82.06400
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
