,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,68915,505,1822,2526,2260,3004,2796,2736,3715,2496,2913,44142,JOURNAL OF CELL BIOLOGY
2,,ALL OTHERS (1076),1076,0,4,22,17,33,45,37,51,15,25,827,JOURNAL OF CELL BIOLOGY
3,4.122,SCI REP-UK,2886,23,60,91,84,135,129,122,150,100,110,1882,JOURNAL OF CELL BIOLOGY
4,3.512,MOL BIOL CELL,1486,12,44,66,71,61,72,59,90,51,63,897,JOURNAL OF CELL BIOLOGY
5,2.766,PLOS ONE,1471,2,25,41,37,58,55,45,69,59,59,1021,JOURNAL OF CELL BIOLOGY
6,8.784,J CELL BIOL,1459,78,70,87,78,74,59,62,84,62,56,749,JOURNAL OF CELL BIOLOGY
7,12.353,NAT COMMUN,1389,7,42,82,72,96,66,64,107,45,75,733,JOURNAL OF CELL BIOLOGY
8,4.401,J CELL SCI,1352,19,47,53,51,58,57,54,84,55,64,810,JOURNAL OF CELL BIOLOGY
9,7.616,ELIFE,1203,12,44,43,52,64,65,64,64,67,47,681,JOURNAL OF CELL BIOLOGY
10,,ONCOTARGET,1163,8,29,35,29,52,59,59,61,42,53,736,JOURNAL OF CELL BIOLOGY
11,9.504,P NATL ACAD SCI USA,1018,15,29,47,45,48,61,44,47,32,47,603,JOURNAL OF CELL BIOLOGY
12,4.011,J BIOL CHEM,1008,2,22,40,40,37,31,54,57,44,47,634,JOURNAL OF CELL BIOLOGY
13,3.687,INT J MOL SCI,754,7,17,21,15,27,29,27,52,31,33,495,JOURNAL OF CELL BIOLOGY
14,9.247,CSH PERSPECT BIOL,706,0,9,23,21,32,28,32,23,32,21,485,JOURNAL OF CELL BIOLOGY
15,8.032,CELL REP,589,3,20,29,26,44,16,22,36,29,31,333,JOURNAL OF CELL BIOLOGY
16,9.251,CURR BIOL,459,11,23,31,35,28,21,12,30,14,22,232,JOURNAL OF CELL BIOLOGY
17,,METHOD MOL BIOL,447,0,1,8,12,17,9,28,23,33,11,305,JOURNAL OF CELL BIOLOGY
18,6.138,SEMIN CELL DEV BIOL,428,9,17,19,8,14,28,19,21,12,11,270,JOURNAL OF CELL BIOLOGY
19,5.413,DEVELOPMENT,424,10,19,25,21,20,22,21,22,15,19,230,JOURNAL OF CELL BIOLOGY
20,9.616,DEV CELL,421,5,16,31,31,26,21,28,43,17,23,180,JOURNAL OF CELL BIOLOGY
21,6.721,CELL MOL LIFE SCI,407,0,20,24,15,23,18,20,20,21,16,230,JOURNAL OF CELL BIOLOGY
22,5.540,PLOS GENET,399,8,16,16,22,21,16,18,16,11,19,236,JOURNAL OF CELL BIOLOGY
23,4.651,BBA-MOL CELL RES,387,3,15,18,15,18,11,26,21,13,11,236,JOURNAL OF CELL BIOLOGY
24,2.559,BIOCHEM BIOPH RES CO,344,2,8,14,12,11,12,14,16,12,24,219,JOURNAL OF CELL BIOLOGY
25,3.495,BIOPHYS J,334,1,13,12,14,17,12,10,18,13,8,216,JOURNAL OF CELL BIOLOGY
26,10.557,EMBO J,331,3,10,19,22,26,17,16,26,21,20,151,JOURNAL OF CELL BIOLOGY
27,4.400,TRAFFIC,326,2,11,16,19,17,14,13,13,12,11,198,JOURNAL OF CELL BIOLOGY
28,18.564,TRENDS CELL BIOL,318,7,32,31,30,24,23,12,23,17,11,108,JOURNAL OF CELL BIOLOGY
29,11.561,NUCLEIC ACIDS RES,303,1,9,12,20,21,11,18,16,28,28,139,JOURNAL OF CELL BIOLOGY
30,5.511,FRONT IMMUNOL,299,3,6,12,2,18,15,9,26,15,14,179,JOURNAL OF CELL BIOLOGY
31,3.309,EXP CELL RES,295,1,8,14,8,14,6,8,20,7,10,199,JOURNAL OF CELL BIOLOGY
32,6.854,ONCOGENE,288,1,8,10,10,18,13,14,23,17,26,148,JOURNAL OF CELL BIOLOGY
