,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,18432,356,1218,1500,1447,1385,1301,1159,1106,947,870,7143,JOURNAL OF CELL BIOLOGY
2, ,ALL OTHERS (579),579,11,51,54,38,47,35,35,35,25,20,228,JOURNAL OF CELL BIOLOGY
3,8.784,J CELL BIOL,1459,78,70,87,78,74,59,62,84,62,56,749,JOURNAL OF CELL BIOLOGY
4,31.398,CELL,932,13,49,54,66,65,72,60,45,56,49,403,JOURNAL OF CELL BIOLOGY
5,9.504,P NATL ACAD SCI USA,770,14,37,41,49,49,55,69,41,47,35,333,JOURNAL OF CELL BIOLOGY
6,4.011,J BIOL CHEM,705,2,21,26,26,42,36,38,31,36,24,423,JOURNAL OF CELL BIOLOGY
7,41.577,NATURE,702,9,31,46,28,34,42,31,48,46,33,354,JOURNAL OF CELL BIOLOGY
8,3.512,MOL BIOL CELL,636,16,40,39,38,36,33,29,30,34,53,288,JOURNAL OF CELL BIOLOGY
9,41.058,SCIENCE,619,6,30,48,40,43,42,27,33,28,26,296,JOURNAL OF CELL BIOLOGY
10,19.064,NAT CELL BIOL,500,14,30,51,23,44,40,54,29,33,17,165,JOURNAL OF CELL BIOLOGY
11,4.401,J CELL SCI,480,11,25,43,34,40,47,30,20,35,17,178,JOURNAL OF CELL BIOLOGY
12,9.251,CURR BIOL,423,6,27,19,37,42,30,25,13,30,21,173,JOURNAL OF CELL BIOLOGY
13,10.557,EMBO J,373,3,11,22,22,19,12,29,20,17,18,200,JOURNAL OF CELL BIOLOGY
14,9.616,DEV CELL,359,6,25,60,42,19,25,32,22,27,12,89,JOURNAL OF CELL BIOLOGY
15,14.248,MOL CELL,294,3,19,36,14,27,23,19,27,20,11,95,JOURNAL OF CELL BIOLOGY
16,5.971,J NEUROSCI,284,3,14,9,21,16,28,24,20,15,14,120,JOURNAL OF CELL BIOLOGY
17,35.612,NAT REV MOL CELL BIO,253,5,13,14,29,20,24,18,28,28,18,56,JOURNAL OF CELL BIOLOGY
18,5.413,DEVELOPMENT,251,3,9,12,19,14,15,12,15,14,11,127,JOURNAL OF CELL BIOLOGY
19,14.319,NEURON,235,5,11,15,16,14,20,14,18,6,8,108,JOURNAL OF CELL BIOLOGY
20,2.766,PLOS ONE,224,2,8,36,30,33,34,20,31,12,12,6,JOURNAL OF CELL BIOLOGY
21,9.462,GENE DEV,218,1,5,9,14,10,9,12,14,16,16,112,JOURNAL OF CELL BIOLOGY
22,12.353,NAT COMMUN,215,14,51,62,50,21,10,4,3,0,0,0,JOURNAL OF CELL BIOLOGY
23,3.813,MOL CELL BIOL,184,0,5,6,3,8,9,2,8,7,3,133,JOURNAL OF CELL BIOLOGY
24,26.919,NAT METHODS,182,0,7,12,19,14,60,9,8,20,17,16,JOURNAL OF CELL BIOLOGY
25,7.616,ELIFE,175,18,41,62,40,14,0,0,0,0,0,0,JOURNAL OF CELL BIOLOGY
26,8.032,CELL REP,160,5,46,41,35,26,7,0,0,0,0,0,JOURNAL OF CELL BIOLOGY
27,11.561,NUCLEIC ACIDS RES,135,2,22,11,11,13,14,1,12,5,2,42,JOURNAL OF CELL BIOLOGY
28,4.075,GENETICS,125,2,6,6,11,6,11,1,2,2,7,71,JOURNAL OF CELL BIOLOGY
29,10.015,CURR OPIN CELL BIOL,123,1,15,16,10,15,8,10,8,6,8,26,JOURNAL OF CELL BIOLOGY
30,18.564,TRENDS CELL BIOL,118,6,14,12,12,7,12,11,7,5,5,27,JOURNAL OF CELL BIOLOGY
31,3.495,BIOPHYS J,116,1,2,14,16,6,9,6,10,6,8,38,JOURNAL OF CELL BIOLOGY
32,5.540,PLOS GENET,113,0,12,20,17,14,6,10,15,5,7,7,JOURNAL OF CELL BIOLOGY
33,4.400,TRAFFIC,112,2,6,15,4,6,12,11,10,6,10,30,JOURNAL OF CELL BIOLOGY
34,13.333,NAT STRUCT MOL BIOL,107,2,5,10,8,15,9,9,11,7,7,24,JOURNAL OF CELL BIOLOGY
35,3.262,DEV BIOL,104,1,2,3,5,4,1,6,7,4,8,63,JOURNAL OF CELL BIOLOGY
36,19.912,NAT NEUROSCI,96,0,11,3,8,7,9,4,13,4,1,36,JOURNAL OF CELL BIOLOGY
37,4.902,HUM MOL GENET,92,1,2,7,7,6,8,4,12,6,9,30,JOURNAL OF CELL BIOLOGY
38,27.125,NAT GENET,92,0,1,4,3,6,3,4,1,6,5,59,JOURNAL OF CELL BIOLOGY
39,9.032,ANNU REV CELL DEV BI,81,0,4,9,10,4,7,10,7,3,0,27,JOURNAL OF CELL BIOLOGY
40,8.749,EMBO REP,74,0,10,5,4,6,11,1,6,3,6,22,JOURNAL OF CELL BIOLOGY
41,4.894,J MOL BIOL,74,1,5,7,1,4,1,5,3,4,4,39,JOURNAL OF CELL BIOLOGY
42,6.854,ONCOGENE,73,3,3,5,8,4,2,2,9,3,6,28,JOURNAL OF CELL BIOLOGY
43,9.130,CANCER RES,71,0,3,3,2,6,3,3,4,1,7,39,JOURNAL OF CELL BIOLOGY
44,13.251,J CLIN INVEST,69,0,2,5,8,6,4,4,4,2,3,31,JOURNAL OF CELL BIOLOGY
45,2.999,FEBS LETT,67,0,1,2,5,6,1,2,7,5,4,34,JOURNAL OF CELL BIOLOGY
46,9.163,PLOS BIOL,66,0,10,1,6,4,2,8,9,5,6,15,JOURNAL OF CELL BIOLOGY
47,5.481,BIOINFORMATICS,65,0,3,3,11,4,4,2,12,6,3,17,JOURNAL OF CELL BIOLOGY
48,20.565,CELL METAB,61,0,2,10,9,12,7,7,2,2,7,3,JOURNAL OF CELL BIOLOGY
49,4.122,SCI REP-UK,61,3,29,18,5,0,3,3,0,0,0,0,JOURNAL OF CELL BIOLOGY
50,3.857,BIOCHEM J,59,1,1,2,3,3,4,5,6,7,6,21,JOURNAL OF CELL BIOLOGY
51,12.423,NAT PROTOC,59,0,2,3,6,9,7,1,3,3,7,18,JOURNAL OF CELL BIOLOGY
52,4.651,BBA-MOL CELL RES,58,0,13,4,4,9,4,2,3,2,2,15,JOURNAL OF CELL BIOLOGY
53,9.247,CSH PERSPECT BIOL,57,0,1,10,18,14,4,5,4,1,0,0,JOURNAL OF CELL BIOLOGY
54,15.132,BLOOD,56,0,2,0,2,1,8,7,6,4,5,21,JOURNAL OF CELL BIOLOGY
55,8.000,CELL DEATH DIFFER,55,1,2,5,5,5,10,9,1,5,1,11,JOURNAL OF CELL BIOLOGY
56,2.283,YEAST,55,0,0,2,0,1,1,0,0,0,1,50,JOURNAL OF CELL BIOLOGY
57,20.154,ANNU REV BIOCHEM,54,2,1,5,3,5,6,3,1,6,1,21,JOURNAL OF CELL BIOLOGY
58,32.621,NAT MED,54,0,4,5,4,5,2,10,0,4,4,16,JOURNAL OF CELL BIOLOGY
59,2.559,BIOCHEM BIOPH RES CO,53,2,1,1,1,4,2,4,3,1,4,30,JOURNAL OF CELL BIOLOGY
60,4.539,J IMMUNOL,52,0,1,4,4,4,6,5,1,1,0,26,JOURNAL OF CELL BIOLOGY
61,1.984,METHOD ENZYMOL,52,1,0,1,1,3,2,2,3,2,1,36,JOURNAL OF CELL BIOLOGY
62,35.724,NAT BIOTECHNOL,52,0,0,3,4,8,4,4,9,0,8,12,JOURNAL OF CELL BIOLOGY
63, ,METHOD MOL BIOL,51,3,10,1,3,9,5,3,5,1,3,8,JOURNAL OF CELL BIOLOGY
64,32.635,NAT REV NEUROSCI,49,0,5,6,4,4,6,3,4,2,2,13,JOURNAL OF CELL BIOLOGY
65,2.997,BIOCHEMISTRY-US,48,0,2,0,1,2,0,3,4,2,1,33,JOURNAL OF CELL BIOLOGY
66,3.309,EXP CELL RES,48,1,1,3,0,3,2,1,2,1,4,30,JOURNAL OF CELL BIOLOGY
67,22.844,CANCER CELL,46,2,3,2,5,2,7,7,5,1,2,10,JOURNAL OF CELL BIOLOGY
68,19.734,IMMUNITY,46,1,3,5,0,6,5,4,3,2,3,14,JOURNAL OF CELL BIOLOGY
69,10.790,J EXP MED,46,1,7,0,0,1,3,2,1,3,0,28,JOURNAL OF CELL BIOLOGY
70,21.809,NAT IMMUNOL,46,0,4,1,7,4,3,3,5,1,2,16,JOURNAL OF CELL BIOLOGY
71,42.784,NAT REV CANCER,45,0,1,3,2,1,4,7,3,2,3,19,JOURNAL OF CELL BIOLOGY
72,11.100,AUTOPHAGY,44,1,7,5,1,10,1,5,3,3,1,7,JOURNAL OF CELL BIOLOGY
73,5.236,MOL CELL PROTEOMICS,44,0,1,3,8,4,5,2,3,3,6,9,JOURNAL OF CELL BIOLOGY
74,3.304,CELL CYCLE,42,0,4,1,8,6,5,5,3,4,3,3,JOURNAL OF CELL BIOLOGY
75,41.465,NAT REV GENET,42,0,1,2,5,6,4,2,6,0,3,13,JOURNAL OF CELL BIOLOGY
76,13.214,GENOME BIOL,41,1,1,3,4,4,2,5,3,1,3,14,JOURNAL OF CELL BIOLOGY
77,4.368,J VIROL,40,0,0,1,4,1,1,1,3,0,2,27,JOURNAL OF CELL BIOLOGY
78,3.433,J STRUCT BIOL,38,0,1,5,0,2,3,2,2,2,0,21,JOURNAL OF CELL BIOLOGY
79,6.721,CELL MOL LIFE SCI,37,2,9,6,2,7,4,4,0,1,0,2,JOURNAL OF CELL BIOLOGY
80,2.507,DEV DYNAM,36,0,1,0,0,2,2,4,4,1,1,21,JOURNAL OF CELL BIOLOGY
81,15.678,TRENDS BIOCHEM SCI,36,1,6,6,1,3,2,0,5,1,1,10,JOURNAL OF CELL BIOLOGY
82,1.588,METHOD CELL BIOL,35,1,3,5,3,4,0,0,4,1,3,11,JOURNAL OF CELL BIOLOGY
83,6.158,PLOS PATHOG,34,3,2,2,6,4,5,4,2,2,1,3,JOURNAL OF CELL BIOLOGY
84,6.378,SCI SIGNAL,34,0,2,5,3,8,5,5,3,1,2,0,JOURNAL OF CELL BIOLOGY
85,8.855,AM J HUM GENET,33,0,3,2,2,3,0,5,3,2,2,11,JOURNAL OF CELL BIOLOGY
86,17.872,CELL HOST MICROBE,33,1,0,6,1,6,10,0,2,4,1,2,JOURNAL OF CELL BIOLOGY
87,5.595,FASEB J,33,0,2,2,2,2,4,2,2,2,1,14,JOURNAL OF CELL BIOLOGY
88,23.290,CELL STEM CELL,32,1,2,2,5,2,5,5,2,3,5,0,JOURNAL OF CELL BIOLOGY
89,10.101,GENOME RES,32,0,2,4,2,3,8,2,2,1,0,8,JOURNAL OF CELL BIOLOGY
90,24.014,PHYSIOL REV,32,0,0,5,6,5,2,2,2,1,1,8,JOURNAL OF CELL BIOLOGY
91,3.394,BIOCHEM SOC T,31,0,1,6,0,3,3,3,2,2,1,10,JOURNAL OF CELL BIOLOGY
92,3.998,METHODS,30,2,0,3,3,2,2,2,1,0,1,14,JOURNAL OF CELL BIOLOGY
93,4.609,J NEUROCHEM,29,0,5,1,0,0,1,2,1,3,1,15,JOURNAL OF CELL BIOLOGY
94,41.982,NAT REV IMMUNOL,28,0,6,0,3,5,1,2,0,2,1,8,JOURNAL OF CELL BIOLOGY
95,4.966,BBA-MOL CELL BIOL L,27,0,7,5,3,1,2,1,0,1,0,7,JOURNAL OF CELL BIOLOGY
96,2.939,EUR J CELL BIOL,27,0,2,0,3,0,0,3,1,0,2,16,JOURNAL OF CELL BIOLOGY
97,3.219,J BACTERIOL,27,0,1,0,0,1,0,0,0,1,1,23,JOURNAL OF CELL BIOLOGY
98,8.500,MOL SYST BIOL,27,0,0,3,2,1,1,8,4,6,0,2,JOURNAL OF CELL BIOLOGY
99,13.843,NAT CHEM BIOL,27,1,6,1,2,4,2,3,0,4,3,1,JOURNAL OF CELL BIOLOGY
100,6.138,SEMIN CELL DEV BIOL,27,3,6,1,8,1,0,3,1,0,2,2,JOURNAL OF CELL BIOLOGY
