Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"68,915",8.784,8.466,9.567,1.898,266,13.7,7.8,0.085,4.765,92.86,9.94300,87.63200,JOURNAL OF CELL BIOLOGY
2016,"67,863",7.955,7.666,9.306,2.184,212,>10.0,7.0,0.09215,4.567,91.98,10.55945,86.05300,JOURNAL OF CELL BIOLOGY
2015,"67,778",8.717,8.334,9.886,1.706,289,>10.0,7.4,0.10969,4.995,95.16,12.50261,88.50300,JOURNAL OF CELL BIOLOGY
2014,"71,695",9.834,9.457,10.765,1.904,249,>10.0,7.0,0.13014,5.406,90.36,14.57532,90.48900,JOURNAL OF CELL BIOLOGY
2013,"71,491",9.786,9.435,10.437,1.765,277,>10.0,6.7,0.14943,5.492,90.97,16.47017,88.91900,JOURNAL OF CELL BIOLOGY
2012,"72,974",10.822,10.440,10.367,1.657,283,>10.0,6.5,0.16782,5.441,92.23,Not Available,91.62200,JOURNAL OF CELL BIOLOGY
2011,"71,070",10.264,9.856,9.947,1.984,316,>10.0,6.4,0.18632,5.579,91.14,Not Available,91.43600,JOURNAL OF CELL BIOLOGY
2010,"72,566",9.921,9.502,10.123,2.162,334,>10.0,5.9,0.2093,5.776,92.51,Not Available,89.60700,JOURNAL OF CELL BIOLOGY
2009,"71,752",9.575,9.179,10.121,2.134,313,9.7,5.6,0.23124,5.748,95.53,Not Available,91.04900,JOURNAL OF CELL BIOLOGY
2008,"68,535",9.120,8.715,10.056,1.901,393,9.3,5.7,0.24779,5.641,94.66,Not Available,89.49000,JOURNAL OF CELL BIOLOGY
2007,"67,102",9.598,9.204,10.257,1.854,410,8.8,5.5,0.27179,5.892,97.80,Not Available,89.42300,JOURNAL OF CELL BIOLOGY
2006,"66,403",10.152,9.758,Not Available,1.906,371,8.2,5.3,Not Available,Not Available,92.99,Not Available,90.70500,JOURNAL OF CELL BIOLOGY
2005,"67,749",10.951,10.582,Not Available,1.898,381,7.7,5.2,Not Available,Not Available,97.11,Not Available,92.48400,JOURNAL OF CELL BIOLOGY
2004,"70,125",11.602,11.129,Not Available,2.143,378,7.1,4.8,Not Available,Not Available,95.77,Not Available,93.22600,JOURNAL OF CELL BIOLOGY
2003,"69,413",12.023,11.417,Not Available,2.421,442,6.8,4.5,Not Available,Not Available,94.80,Not Available,93.26900,JOURNAL OF CELL BIOLOGY
2002,"68,928",12.522,11.935,Not Available,2.182,412,6.7,4.5,Not Available,Not Available,95.87,Not Available,94.44400,JOURNAL OF CELL BIOLOGY
2001,"71,058",12.915,12.072,Not Available,2.825,462,6.6,4.4,Not Available,Not Available,95.67,Not Available,93.53700,JOURNAL OF CELL BIOLOGY
2000,"74,455",13.955,12.906,Not Available,2.341,516,6.5,4.3,Not Available,Not Available,95.74,Not Available,94.89800,JOURNAL OF CELL BIOLOGY
1999,"72,486",12.880,11.708,Not Available,2.269,469,6.4,4.4,Not Available,Not Available,95.52,Not Available,93.97200,JOURNAL OF CELL BIOLOGY
1998,"72,113",12.785,11.415,Not Available,2.320,559,6.3,4.6,Not Available,Not Available,97.85,Not Available,94.60400,JOURNAL OF CELL BIOLOGY
1997,"66,838",12.005,10.700,Not Available,1.864,516,6.1,4.6,Not Available,Not Available,97.29,Not Available,95.00000,JOURNAL OF CELL BIOLOGY
