,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,19450,578,1190,1367,1244,1337,1392,1104,1107,868,810,8453,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2,,ALL OTHERS (793),793,13,34,42,51,81,63,36,44,39,34,356,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
3,6.045,J CEREBR BLOOD F MET,1203,44,67,82,88,90,79,106,63,54,50,480,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
4,4.122,SCI REP-UK,561,28,36,45,42,40,37,32,27,22,14,238,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
5,2.766,PLOS ONE,433,3,31,29,22,21,32,29,29,19,17,201,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
6,5.426,NEUROIMAGE,393,4,22,27,23,20,35,25,19,12,12,194,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
7,5.076,MOL NEUROBIOL,297,4,5,25,17,24,10,16,21,17,14,144,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
8,6.239,STROKE,241,15,35,21,18,21,17,13,22,10,10,59,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
9,2.772,NEUROCHEM RES,222,7,6,8,19,17,16,9,11,5,6,118,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
10,2.662,J NEUROSCI RES,208,2,5,17,13,17,18,10,10,11,4,101,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
11,3.687,INT J MOL SCI,200,8,9,18,13,17,17,10,11,12,6,79,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
12,3.508,FRONT NEUROL,197,17,13,9,10,17,11,13,10,6,6,85,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
13,14.163,PROG NEUROBIOL,195,1,1,6,9,18,9,7,8,9,10,117,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
14,3.603,NEUROCHEM INT,187,4,10,12,10,15,12,12,13,9,12,78,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
15,3.877,FRONT NEUROSCI-SWITZ,177,2,8,12,8,8,14,12,9,13,5,86,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
16,3.125,BRAIN RES,164,2,3,12,7,12,10,7,5,10,7,89,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
17,5.193,J NEUROINFLAMM,158,8,7,8,12,9,9,12,15,7,9,62,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
18,5.002,J NEUROTRAUM,152,2,5,9,18,12,8,8,11,8,8,63,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
19,8.266,TRANSL STROKE RES,148,2,21,14,8,9,15,8,16,7,8,40,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
