,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,16092,104,584,1234,1295,1178,1137,1074,929,826,726,7005,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2, ,ALL OTHERS (973),973,3,46,78,90,71,56,63,65,39,43,419,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
3,6.045,J CEREBR BLOOD F MET,1203,44,67,82,88,90,79,106,63,54,50,480,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
4,6.239,STROKE,941,3,18,50,55,64,55,61,34,92,47,462,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
5,5.971,J NEUROSCI,385,2,9,31,29,29,33,28,25,26,25,148,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
6,5.426,NEUROIMAGE,378,0,16,17,44,33,42,23,26,25,25,127,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
7,9.504,P NATL ACAD SCI USA,323,0,7,9,7,23,16,18,29,11,10,193,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
8,10.848,BRAIN,286,0,6,11,23,18,34,30,19,26,4,115,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
9,3.125,BRAIN RES,281,0,8,10,2,10,13,5,12,16,9,196,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
10,4.082,MAGN RESON MED,276,0,6,19,9,14,15,8,11,13,17,164,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
11,2.766,PLOS ONE,265,1,8,37,58,63,34,34,16,7,4,3,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
12,10.250,ANN NEUROL,240,0,4,14,18,22,8,16,20,7,16,115,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
13,8.055,NEUROLOGY,218,0,1,7,12,24,17,13,7,11,9,117,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
14,4.609,J NEUROCHEM,190,1,5,7,8,8,12,10,11,11,5,112,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
15,4.011,J BIOL CHEM,175,0,0,5,15,5,10,8,6,10,3,113,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
16,41.577,NATURE,162,0,3,8,18,4,17,10,28,5,3,66,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
17,14.319,NEURON,153,0,3,48,9,11,6,7,15,2,7,45,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
18,3.382,NEUROSCIENCE,152,1,2,12,16,10,10,7,11,10,11,62,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
19,3.653,AM J NEURORADIOL,135,0,3,14,9,11,6,8,7,12,6,59,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
20,7.439,J NUCL MED,133,2,12,8,7,8,6,7,6,11,7,59,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
21,4.319,J NEUROSURG,129,0,2,6,6,5,2,3,3,4,6,92,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
22,27.144,LANCET NEUROL,122,0,4,7,7,17,14,26,12,9,10,16,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
23,5.002,J NEUROTRAUM,121,6,12,7,7,7,7,13,3,11,3,45,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
24,4.540,J PHYSIOL-LONDON,115,0,4,7,1,5,9,5,3,6,7,68,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
25,2.502,J NEUROPHYSIOL,113,0,1,0,5,5,3,1,2,2,2,92,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
26,41.058,SCIENCE,110,0,0,3,6,10,4,3,3,2,3,76,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
