Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"19,450",6.045,5.692,6.030,1.946,297,8.5,8.6,0.028,1.894,94.95,3.30000,88.96600,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2016,"16,998",5.081,4.828,5.475,1.562,176,8.3,7.9,0.02944,1.815,77.84,3.38225,82.69000,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2015,"16,233",4.929,4.582,5.479,1.202,247,8.2,7.9,0.03033,1.876,94.33,3.45658,82.91000,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2014,"15,903",5.407,5.030,5.455,0.974,232,8.0,7.8,0.02926,1.785,90.95,3.27671,86.97700,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2013,"14,721",5.339,4.985,5.373,0.923,233,8.0,7.8,0.02875,1.755,90.13,3.16881,85.27700,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2012,"14,671",5.398,4.965,5.660,1.093,194,8.0,7.6,0.0315,1.867,80.93,Not Available,85.94600,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2011,"12,737",5.008,4.610,5.467,1.140,222,8.0,7.5,0.03015,1.851,92.34,Not Available,83.99200,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2010,"11,677",4.522,4.216,5.055,1.404,188,7.8,7.3,0.02796,1.686,90.43,Not Available,77.23500,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2009,"11,951",5.457,5.005,5.478,1.051,195,7.7,6.8,0.03025,1.808,94.87,Not Available,86.41000,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2008,"11,392",5.741,5.339,5.516,1.027,184,7.6,7.1,0.03189,1.866,95.65,Not Available,86.86800,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2007,"10,393",5.147,4.698,5.327,1.435,177,7.2,7.1,0.02959,1.699,92.66,Not Available,85.06000,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2006,"9,778",4.843,4.424,Not Available,1.229,144,7.0,7.0,Not Available,Not Available,92.36,Not Available,83.12300,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2005,"9,606",4.786,4.386,Not Available,0.893,131,7.0,6.6,Not Available,Not Available,96.95,Not Available,85.94500,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2004,"10,182",5.673,5.169,Not Available,0.826,144,6.6,6.2,Not Available,Not Available,90.97,Not Available,90.62500,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2003,"9,580",5.370,4.777,Not Available,0.649,151,6.5,6.2,Not Available,Not Available,92.72,Not Available,88.68900,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2002,"9,291",5.297,4.645,Not Available,0.787,155,6.4,5.4,Not Available,Not Available,92.90,Not Available,89.37800,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2001,"9,655",5.477,4.916,Not Available,0.667,150,6.3,5.6,Not Available,Not Available,94.67,Not Available,89.98300,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
2000,"9,310",5.926,5.192,Not Available,0.802,177,6.1,5.6,Not Available,Not Available,93.79,Not Available,93.66100,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
1999,"9,480",5.714,5.141,Not Available,0.897,146,6.0,5.7,Not Available,Not Available,94.52,Not Available,92.37800,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
1998,"8,703",5.524,4.944,Not Available,0.667,150,5.8,5.9,Not Available,Not Available,96.00,Not Available,92.45300,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
1997,"8,468",5.836,5.212,Not Available,0.551,147,5.6,5.3,Not Available,Not Available,97.96,Not Available,92.57000,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM
