,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,29695,306,1224,1348,1471,1330,1211,1076,1085,953,1379,18312,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2,,ALL OTHERS (1263),1263,12,34,39,37,35,24,41,42,36,50,913,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
3,2.766,PLOS ONE,546,2,21,21,22,34,27,15,25,18,38,323,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
4,2.448,J NEUROL SCI,508,6,24,27,25,25,22,35,18,17,19,290,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
5,3.508,FRONT NEUROL,496,8,20,20,14,28,15,19,21,20,31,300,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
6,1.924,WORLD NEUROSURG,453,1,7,3,21,21,2,10,11,20,17,340,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
7,4.122,SCI REP-UK,405,6,21,20,15,26,22,14,19,11,22,229,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
8,7.144,J NEUROL NEUROSUR PS,397,59,44,46,37,35,28,23,15,12,10,88,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
9,8.055,NEUROLOGY,388,10,27,23,38,30,32,19,21,14,16,158,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
10,8.324,MOVEMENT DISORD,344,5,26,25,25,19,12,14,14,19,23,162,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
11,3.783,J NEUROL,332,3,22,36,17,12,25,19,19,14,25,140,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
12,2.371,INT REV NEUROBIOL,330,4,18,10,21,23,16,9,10,9,15,195,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
13,3.476,J ALZHEIMERS DIS,272,0,16,17,16,11,12,18,9,11,12,150,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
14,5.280,MULT SCLER J,222,2,34,20,24,18,6,6,4,8,12,88,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
15,4.721,PARKINSONISM RELAT D,222,3,11,9,24,14,5,5,9,7,14,121,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
16,3.614,CLIN NEUROPHYSIOL,213,1,10,20,2,15,11,7,8,5,7,127,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
17,3.696,EXPERT REV NEUROTHER,186,2,11,12,14,7,5,9,7,3,6,110,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
18,,MOV DISORD CLIN PRAC,185,1,9,1,11,9,7,7,5,4,11,120,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
19,3.869,NEUROIMAGE-CLIN,179,1,9,8,12,12,20,9,8,10,5,85,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
20,3.126,ACTA NEUROL SCAND,173,2,11,12,9,11,6,5,10,8,9,90,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
21,4.621,EUR J NEUROL,170,0,11,19,19,12,9,8,10,8,5,69,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
22,10.848,BRAIN,169,3,14,10,8,11,21,7,8,4,10,73,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
23,4.319,J NEUROSURG,169,0,2,1,8,13,4,2,5,7,8,119,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
24,2.496,MUSCLE NERVE,166,0,5,21,4,11,12,11,8,5,5,84,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
25,2.982,AMYOTROPH LAT SCL FR,165,5,19,20,5,14,20,16,14,1,10,41,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
26,4.907,CORTEX,165,0,8,10,8,5,11,5,3,3,6,106,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
27,5.002,J NEUROTRAUM,154,0,6,1,5,1,11,4,7,1,13,105,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
28,2.285,NEUROL SCI,151,0,6,11,5,8,13,5,6,6,10,81,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
29,6.239,STROKE,148,9,5,16,11,8,6,8,6,8,13,58,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
30,2.779,J NEURAL TRANSM,147,0,0,8,4,7,7,4,8,7,8,94,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
31,,HAND CLINIC,146,0,2,3,8,6,6,8,13,3,12,85,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
32,19.819,NAT REV NEUROL,146,2,12,13,14,13,8,12,4,5,10,53,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
33,6.754,COCHRANE DB SYST REV,145,1,1,5,7,6,7,3,5,4,2,104,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
34,2.600,EPILEPSY BEHAV,145,2,3,5,5,5,4,4,3,4,3,107,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
35,4.927,HUM BRAIN MAPP,145,0,4,3,5,4,6,8,8,6,8,93,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
36,1.598,J STROKE CEREBROVASC,144,0,3,7,7,7,12,12,1,6,8,81,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
37,4.454,NEUROBIOL AGING,143,1,7,7,5,6,8,20,5,4,3,77,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
38,8.037,NEUROSCI BIOBEHAV R,139,0,5,6,5,7,6,5,3,2,4,96,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
39,2.413,BMJ OPEN,129,5,7,8,11,7,2,5,5,4,8,67,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
40,1.762,REV NEUROL-FRANCE,129,0,6,4,2,9,11,10,10,3,9,65,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
41,2.219,BRAIN BEHAV,128,0,3,6,3,3,10,4,3,3,6,87,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
42,3.582,FRONT AGING NEUROSCI,128,0,6,6,2,3,5,7,7,8,4,80,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
43,2.839,SEIZURE-EUR J EPILEP,126,0,11,3,8,7,4,4,4,5,2,78,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
44,1.640,J CLIN NEUROSCI,124,0,2,4,4,4,1,3,3,6,6,91,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
45,1.736,CLIN NEUROL NEUROSUR,119,0,4,4,3,6,3,1,3,4,1,90,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
46,2.061,BRAIN INJURY,114,0,0,1,1,3,11,3,6,1,9,79,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
47,2.028,MEDICINE,114,0,2,3,4,6,5,0,3,2,8,81,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
48,2.195,NEUROPSYCH DIS TREAT,114,1,3,3,8,4,6,6,2,4,3,74,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
49,2.871,FRONT HUM NEUROSCI,113,2,5,5,6,2,6,2,7,2,8,68,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
50,4.010,CURR OPIN NEUROL,111,7,17,17,9,7,4,8,4,6,5,27,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
51,1.590,ARCH CLIN NEUROPSYCH,108,1,2,2,2,10,4,5,7,1,3,71,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
52,5.067,EPILEPSIA,107,3,8,4,12,3,7,1,3,1,0,65,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
53,3.478,CURR NEUROL NEUROSCI,105,2,8,5,11,8,6,3,5,0,4,53,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
54,2.170,BMC NEUROL,104,1,5,11,4,2,4,3,1,4,4,65,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
55,2.889,NEUROPSYCHOLOGIA,103,0,1,3,2,4,2,2,3,0,3,83,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
56,2.166,NEUROL INDIA,102,0,0,4,10,3,4,0,7,2,3,69,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
57,1.870,SEMIN NEUROL,101,1,6,3,11,8,2,2,5,5,6,52,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
58,3.653,AM J NEURORADIOL,99,0,5,4,4,8,7,6,6,2,6,51,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
59,10.250,ANN NEUROL,99,2,11,7,9,8,7,7,2,3,5,38,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
60,5.719,NEUROTHERAPEUTICS,98,1,13,11,7,8,7,3,6,2,2,38,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
61,1.929,ACTA NEUROCHIR,96,0,3,2,5,6,3,1,0,6,2,68,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
62,2.757,CURR PHARM DESIGN,94,1,4,5,5,5,4,2,0,2,2,64,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
63,27.144,LANCET NEUROL,94,4,8,7,9,7,5,7,3,1,6,37,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
64,11.460,JAMA NEUROL,93,2,5,10,8,7,8,6,1,4,6,36,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
65,1.848,INT J NEUROSCI,91,0,1,8,6,7,3,2,1,6,8,49,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
66,3.877,FRONT NEUROSCI-SWITZ,89,5,9,1,4,2,4,5,2,2,4,51,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
67,5.076,MOL NEUROBIOL,87,0,1,5,3,0,2,1,6,5,5,59,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
68,1.015,ARQ NEURO-PSIQUIAT,85,1,5,4,1,6,3,4,2,4,5,50,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
69,2.117,PARKINSONS DIS-US,85,2,1,3,5,5,4,5,3,2,10,45,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
70,3.199,MULT SCLER RELAT DIS,83,2,11,5,6,7,4,6,2,7,3,30,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
71,,ONCOTARGET,83,1,3,2,4,6,4,2,1,0,3,57,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
72,2.777,J INT NEUROPSYCH SOC,75,0,2,1,4,7,3,4,1,4,2,47,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
73,3.382,NEUROSCIENCE,75,0,2,6,1,3,4,2,3,3,2,49,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
74,,BRAIN SCI,74,3,7,2,3,1,2,2,2,2,9,41,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
75,2.491,EPILEPSY RES,74,0,3,3,5,1,2,1,0,1,0,58,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
76,2.159,NEUROSCI LETT,74,0,4,1,4,3,2,5,2,2,4,47,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
77,4.475,NEUROSURGERY,73,0,2,1,4,6,5,2,2,2,7,42,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
78,5.426,NEUROIMAGE,72,0,2,2,8,1,7,3,5,2,3,39,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
79,2.362,EUR J PAEDIATR NEURO,70,1,8,3,18,5,0,2,5,3,0,25,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
80,3.172,J PARKINSON DIS,70,0,8,2,4,4,4,4,3,1,4,36,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
81,3.786,J AFFECT DISORDERS,69,0,0,1,1,0,0,0,1,1,1,64,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
82,2.487,NEUROMUSCULAR DISORD,69,0,4,3,10,4,6,3,11,2,3,23,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
83,3.687,INT J MOL SCI,68,2,8,2,5,4,1,5,5,1,8,27,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
84,,J NEUROSCI RURAL PRA,66,0,0,4,1,0,2,0,0,1,3,55,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
85,14.163,PROG NEUROBIOL,66,0,2,2,3,2,1,3,2,0,5,46,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
86,2.042,DISABIL REHABIL,65,0,0,1,4,0,4,7,4,0,2,43,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
