,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6144,145,558,628,573,525,469,406,333,313,230,1964,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2, ,ALL OTHERS (623),623,14,54,64,54,53,38,36,20,17,20,253,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
3,8.055,NEUROLOGY,522,3,32,52,44,32,35,41,29,29,18,207,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
4,7.144,J NEUROL NEUROSUR PS,397,59,44,46,37,35,28,23,15,12,10,88,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
5,10.848,BRAIN,286,3,18,20,21,11,24,19,22,19,8,121,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
6,6.239,STROKE,224,3,15,28,18,22,17,14,16,13,5,73,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
7,10.250,ANN NEUROL,177,1,19,11,9,12,10,16,11,11,2,75,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
8,27.144,LANCET NEUROL,161,3,17,15,23,20,18,13,11,12,8,21,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
9,8.324,MOVEMENT DISORD,151,1,12,9,11,16,10,17,18,11,14,32,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
10,3.783,J NEUROL,111,2,16,18,9,11,7,7,5,5,10,21,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
11, ,ARCH NEUROL-CHICAGO,104,0,0,0,0,0,10,6,11,7,6,64,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
12,53.254,LANCET,94,1,13,5,9,4,8,10,0,3,1,40,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
13,79.260,NEW ENGL J MED,93,0,9,16,4,10,7,4,4,1,8,30,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
14,5.280,MULT SCLER J,88,2,13,10,13,7,6,2,8,8,3,16,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
15,5.426,NEUROIMAGE,77,0,4,2,2,4,12,5,3,5,6,34,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
16,2.766,PLOS ONE,71,1,5,21,12,13,14,4,1,0,0,0,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
17,2.448,J NEUROL SCI,68,0,7,8,4,1,3,3,5,6,3,28,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
18,2.982,AMYOTROPH LAT SCL FR,61,1,4,12,5,11,2,7,4,5,0,10,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
19,4.454,NEUROBIOL AGING,61,0,6,11,12,7,10,1,2,3,1,8,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
20,11.460,JAMA NEUROL,56,3,13,11,15,13,0,0,0,0,0,1,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
21,4.721,PARKINSONISM RELAT D,56,0,12,9,10,8,8,3,1,3,2,0,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
22,5.971,J NEUROSCI,46,0,1,3,2,4,5,4,2,4,4,17,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
23,19.819,NAT REV NEUROL,41,4,2,3,7,11,3,4,5,2,0,0,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
24,3.653,AM J NEURORADIOL,39,1,2,3,4,2,2,6,6,1,2,10,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
25,5.067,EPILEPSIA,39,1,2,2,1,7,5,2,3,2,2,12,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
26,4.621,EUR J NEUROL,39,1,4,7,4,4,2,1,4,3,3,6,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
27,15.876,ACTA NEUROPATHOL,38,3,6,6,4,2,3,5,3,3,0,3,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
28,23.562,BMJ-BRIT MED J,38,0,0,2,2,3,1,3,2,5,1,19,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
29,3.614,CLIN NEUROPHYSIOL,38,1,5,6,1,1,7,2,1,1,3,10,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
30,4.927,HUM BRAIN MAPP,38,3,1,4,12,2,3,1,0,5,0,7,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
31,2.496,MUSCLE NERVE,35,2,4,0,3,3,1,3,0,2,0,17,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
32,3.476,J ALZHEIMERS DIS,31,1,9,5,4,4,2,1,4,1,0,0,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
33,14.319,NEURON,31,0,2,2,1,1,4,7,1,2,0,11,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
34,47.661,JAMA-J AM MED ASSOC,29,0,1,5,2,0,1,0,2,4,0,14,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
35,3.126,ACTA NEUROL SCAND,27,0,1,2,2,2,2,1,1,0,1,15,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
36,12.764,ALZHEIMERS DEMENT,27,0,2,2,3,4,0,13,1,0,1,1,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
37,6.754,COCHRANE DB SYST REV,27,0,3,3,3,4,6,0,1,1,2,4,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
38,13.396,AM J PSYCHIAT,26,0,1,1,2,2,1,1,1,0,0,17,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
39,2.931,CEREBROVASC DIS,26,0,1,2,3,6,1,0,4,0,3,6,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
40,27.125,NAT GENET,26,0,3,1,0,2,2,1,2,4,0,11,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
41,4.475,NEUROSURGERY,26,0,0,0,1,5,3,1,1,0,2,13,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
42,4.319,J NEUROSURG,25,1,4,2,2,3,1,0,1,1,0,10,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
43,9.504,P NATL ACAD SCI USA,24,0,2,0,1,1,3,0,3,3,1,10,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
