Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"29,695",7.144,6.894,6.923,2.354,130,12.8,6.4,0.033,2.516,75.38,3.85000,95.20300,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2016,"27,955",7.349,7.160,6.533,1.931,175,>10.0,7.0,0.03462,2.360,76.57,3.97837,95.60600,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2015,"26,259",6.431,6.230,5.577,2.276,185,>10.0,7.7,0.03284,2.018,82.16,3.74274,95.13200,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2014,"25,650",6.807,6.568,5.550,2.129,202,>10.0,7.2,0.03493,1.971,85.15,3.91253,95.01300,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2013,"25,643",5.580,5.322,5.345,1.936,202,>10.0,7.3,0.03433,1.761,85.64,3.78352,93.62800,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2012,"23,923",4.924,4.713,5.144,1.690,187,>10.0,6.9,0.03915,1.844,83.96,Not Available,92.31700,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2011,"23,198",4.764,4.654,4.953,1.295,244,>10.0,7.5,0.03995,1.751,92.21,Not Available,91.62400,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2010,"22,635",4.791,4.648,4.730,0.988,241,9.9,7.5,0.04351,1.650,93.78,Not Available,91.20900,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2009,"22,316",4.869,4.748,4.700,1.008,242,9.3,7.6,0.04713,1.550,95.45,Not Available,90.90800,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2008,"21,062",4.622,4.477,4.248,1.070,256,9.0,7.6,0.04595,1.323,94.92,Not Available,91.54900,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2007,"19,343",3.857,3.738,3.901,0.910,233,8.9,7.5,0.05148,1.340,95.28,Not Available,86.72000,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2006,"18,854",3.630,3.520,Not Available,0.857,272,8.7,7.2,Not Available,Not Available,97.06,Not Available,85.77500,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2005,"17,199",3.122,2.970,Not Available,0.593,356,9.2,7.3,Not Available,Not Available,96.91,Not Available,82.79600,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2004,"17,106",3.110,2.904,Not Available,0.509,371,9.4,7.1,Not Available,Not Available,98.11,Not Available,84.18700,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2003,"15,831",3.035,2.808,Not Available,0.401,362,9.4,7.0,Not Available,Not Available,96.13,Not Available,84.95900,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2002,"15,979",2.939,2.756,Not Available,0.635,318,9.3,6.9,Not Available,Not Available,94.03,Not Available,85.65200,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2001,"15,130",3.024,2.797,Not Available,0.517,319,9.5,7.2,Not Available,Not Available,95.92,Not Available,87.53900,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
2000,"15,244",2.846,2.631,Not Available,0.391,284,9.6,7.3,Not Available,Not Available,96.13,Not Available,86.46600,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
1999,"15,095",2.735,2.530,Not Available,0.431,304,9.6,7.2,Not Available,Not Available,98.03,Not Available,84.93700,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
1998,"13,908",2.938,2.683,Not Available,0.273,344,9.6,7.1,Not Available,Not Available,98.26,Not Available,88.59600,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
1997,"13,590",3.041,2.822,Not Available,0.333,282,9.1,7.0,Not Available,Not Available,98.23,Not Available,90.37500,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY
