,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,176159,1077,5057,9010,10396,11796,11124,12520,11221,11228,9749,82981,JOURNAL OF NEUROSCIENCE
2,,ALL OTHERS (1475),1475,3,21,71,83,80,91,96,75,106,80,769,JOURNAL OF NEUROSCIENCE
3,5.971,J NEUROSCI,7001,152,313,464,512,531,482,511,453,447,366,2770,JOURNAL OF NEUROSCIENCE
4,4.122,SCI REP-UK,6982,56,219,402,434,477,435,521,471,474,370,3123,JOURNAL OF NEUROSCIENCE
5,2.766,PLOS ONE,3655,13,82,162,195,235,263,304,235,247,201,1718,JOURNAL OF NEUROSCIENCE
6,2.502,J NEUROPHYSIOL,2932,16,81,170,162,237,178,193,173,165,183,1374,JOURNAL OF NEUROSCIENCE
7,7.616,ELIFE,2809,22,112,160,176,215,216,206,189,172,155,1186,JOURNAL OF NEUROSCIENCE
8,6.308,CEREB CORTEX,2748,1,37,159,220,253,192,239,196,183,145,1123,JOURNAL OF NEUROSCIENCE
9,14.319,NEURON,2715,38,130,140,189,232,176,210,175,146,132,1147,JOURNAL OF NEUROSCIENCE
10,5.426,NEUROIMAGE,2676,13,105,212,242,277,246,274,193,207,148,759,JOURNAL OF NEUROSCIENCE
11,3.382,NEUROSCIENCE,2547,10,60,110,134,132,131,157,141,166,167,1339,JOURNAL OF NEUROSCIENCE
12,4.300,FRONT CELL NEUROSCI,2134,17,68,90,103,136,98,117,131,127,115,1132,JOURNAL OF NEUROSCIENCE
13,9.504,P NATL ACAD SCI USA,1976,17,87,119,119,179,148,155,143,107,109,793,JOURNAL OF NEUROSCIENCE
14,12.353,NAT COMMUN,1919,13,64,140,127,156,138,173,131,120,98,759,JOURNAL OF NEUROSCIENCE
15,4.249,NEUROPHARMACOLOGY,1868,5,42,71,86,103,90,96,96,88,122,1069,JOURNAL OF NEUROSCIENCE
16,,ENEURO,1709,21,69,89,120,126,107,143,99,92,95,748,JOURNAL OF NEUROSCIENCE
17,3.877,FRONT NEUROSCI-SWITZ,1670,24,54,108,97,100,96,136,112,124,85,734,JOURNAL OF NEUROSCIENCE
18,3.902,FRONT MOL NEUROSCI,1636,21,54,86,100,102,94,105,125,118,99,732,JOURNAL OF NEUROSCIENCE
19,5.076,MOL NEUROBIOL,1572,0,9,47,63,67,92,92,110,111,101,880,JOURNAL OF NEUROSCIENCE
20,3.173,BEHAV BRAIN RES,1473,4,25,50,64,83,81,97,69,85,72,843,JOURNAL OF NEUROSCIENCE
21,8.032,CELL REP,1410,10,42,89,104,116,85,109,93,76,75,611,JOURNAL OF NEUROSCIENCE
22,4.540,J PHYSIOL-LONDON,1402,3,39,85,93,100,70,102,75,90,65,680,JOURNAL OF NEUROSCIENCE
23,8.037,NEUROSCI BIOBEHAV R,1385,4,38,71,90,96,63,115,104,102,88,614,JOURNAL OF NEUROSCIENCE
24,4.231,BRAIN STRUCT FUNCT,1370,2,22,62,69,82,80,109,84,99,68,693,JOURNAL OF NEUROSCIENCE
