,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,61304,1102,3402,4304,4240,4082,3879,3601,3286,3079,2768,27561,JOURNAL OF NEUROSCIENCE
2, ,ALL OTHERS (1853),1853,62,113,87,96,111,96,98,86,74,67,963,JOURNAL OF NEUROSCIENCE
3,5.971,J NEUROSCI,7001,152,313,464,512,531,482,511,453,447,366,2770,JOURNAL OF NEUROSCIENCE
4,14.319,NEURON,3338,58,203,279,261,266,238,216,197,166,166,1288,JOURNAL OF NEUROSCIENCE
5,9.504,P NATL ACAD SCI USA,2275,24,111,157,141,165,132,156,154,135,103,997,JOURNAL OF NEUROSCIENCE
6,19.912,NAT NEUROSCI,2069,43,129,158,183,184,146,134,122,146,96,728,JOURNAL OF NEUROSCIENCE
7,41.577,NATURE,1890,16,81,89,82,123,116,97,94,81,79,1032,JOURNAL OF NEUROSCIENCE
8,2.502,J NEUROPHYSIOL,1858,13,60,84,40,75,85,73,90,89,69,1180,JOURNAL OF NEUROSCIENCE
9,41.058,SCIENCE,1527,9,49,42,63,68,57,43,66,62,81,987,JOURNAL OF NEUROSCIENCE
10,5.426,NEUROIMAGE,1369,30,75,93,151,101,136,90,93,77,53,470,JOURNAL OF NEUROSCIENCE
11,3.400,J COMP NEUROL,949,14,20,15,24,18,16,21,20,32,32,737,JOURNAL OF NEUROSCIENCE
12,6.308,CEREB CORTEX,890,44,81,101,67,44,47,43,52,56,61,294,JOURNAL OF NEUROSCIENCE
13,32.635,NAT REV NEUROSCI,872,18,47,55,41,55,62,38,61,66,58,371,JOURNAL OF NEUROSCIENCE
14,4.540,J PHYSIOL-LONDON,801,14,26,25,36,30,41,22,16,22,23,546,JOURNAL OF NEUROSCIENCE
15,2.766,PLOS ONE,778,2,37,76,113,158,131,126,49,33,34,19,JOURNAL OF NEUROSCIENCE
16,3.382,NEUROSCIENCE,732,12,27,34,32,38,16,32,37,41,28,435,JOURNAL OF NEUROSCIENCE
17,4.011,J BIOL CHEM,731,6,24,15,27,27,44,45,44,28,32,439,JOURNAL OF NEUROSCIENCE
18,31.398,CELL,686,7,49,54,76,21,36,45,22,31,37,308,JOURNAL OF NEUROSCIENCE
19,3.125,BRAIN RES,684,3,18,33,14,14,17,18,21,20,20,506,JOURNAL OF NEUROSCIENCE
20,2.832,EUR J NEUROSCI,647,5,18,36,23,31,30,29,49,48,36,342,JOURNAL OF NEUROSCIENCE
21,9.251,CURR BIOL,486,10,47,57,62,47,56,30,27,29,30,91,JOURNAL OF NEUROSCIENCE
22,11.439,TRENDS NEUROSCI,457,2,17,23,29,19,28,28,27,21,11,252,JOURNAL OF NEUROSCIENCE
23,15.557,TRENDS COGN SCI,454,8,28,45,33,42,41,31,36,15,25,150,JOURNAL OF NEUROSCIENCE
24,10.848,BRAIN,415,4,24,22,29,32,21,18,17,25,28,195,JOURNAL OF NEUROSCIENCE
25,14.675,ANNU REV NEUROSCI,395,3,7,15,21,27,25,26,19,18,25,209,JOURNAL OF NEUROSCIENCE
26,6.541,CURR OPIN NEUROBIOL,386,5,17,37,34,32,30,37,28,11,5,150,JOURNAL OF NEUROSCIENCE
27,3.468,J COGNITIVE NEUROSCI,353,7,14,26,32,28,32,28,23,24,12,127,JOURNAL OF NEUROSCIENCE
28,1.806,EXP BRAIN RES,345,1,3,4,7,7,5,4,7,11,10,286,JOURNAL OF NEUROSCIENCE
29,4.609,J NEUROCHEM,317,3,16,6,14,15,12,16,18,24,24,169,JOURNAL OF NEUROSCIENCE
30,6.544,NEUROPSYCHOPHARMACOL,309,11,31,40,39,24,11,38,40,10,18,47,JOURNAL OF NEUROSCIENCE
31,12.353,NAT COMMUN,299,17,89,73,58,37,16,6,3,0,0,0,JOURNAL OF NEUROSCIENCE
32,7.616,ELIFE,290,35,91,100,46,17,0,0,0,0,0,1,JOURNAL OF NEUROSCIENCE
33,11.984,BIOL PSYCHIAT,288,9,31,27,21,17,21,27,31,15,16,73,JOURNAL OF NEUROSCIENCE
