Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"176,159",5.971,5.640,6.518,1.157,931,9.5,8.9,0.266,2.654,100.00,31.04000,88.69700,JOURNAL OF NEUROSCIENCE
2016,"171,800",5.988,5.642,6.562,1.033,"1,014",8.9,8.5,0.31937,2.755,100.00,36.65886,88.61000,JOURNAL OF NEUROSCIENCE
2015,"172,201",5.924,5.468,6.780,1.148,"1,342",8.5,8.4,0.3522,2.779,100.00,40.14337,90.03900,JOURNAL OF NEUROSCIENCE
2014,"173,265",6.344,5.858,7.348,1.188,"1,486",8.0,8.3,0.38326,2.862,100.00,42.92562,90.27800,JOURNAL OF NEUROSCIENCE
2013,"167,915",6.747,6.098,7.648,1.232,"1,765",7.7,7.9,0.41315,3.058,100.00,45.53704,90.67500,JOURNAL OF NEUROSCIENCE
2012,"160,915",6.908,6.269,7.869,0.978,"1,668",7.5,7.7,0.43823,3.170,99.64,Not Available,91.46800,JOURNAL OF NEUROSCIENCE
2011,"150,228",7.115,6.360,7.915,1.141,"1,790",7.3,7.5,0.44963,3.255,100.00,Not Available,92.41800,JOURNAL OF NEUROSCIENCE
2010,"139,902",7.271,6.556,8.068,1.099,"1,661",7.1,7.3,0.4697,3.409,99.64,Not Available,93.09600,JOURNAL OF NEUROSCIENCE
2009,"127,366",7.178,6.498,7.930,1.067,"1,542",6.8,7.2,0.48433,3.425,97.60,Not Available,92.85700,JOURNAL OF NEUROSCIENCE
2008,"120,933",7.452,6.771,8.122,1.138,"1,438",6.5,6.7,0.52179,3.544,98.68,Not Available,92.98600,JOURNAL OF NEUROSCIENCE
2007,"112,914",7.490,6.712,8.160,1.129,"1,476",6.3,6.5,0.48824,3.301,98.31,Not Available,93.12800,JOURNAL OF NEUROSCIENCE
2006,"103,022",7.453,6.682,Not Available,1.319,"1,415",6.1,6.3,Not Available,Not Available,97.88,Not Available,92.75000,JOURNAL OF NEUROSCIENCE
2005,"96,732",7.506,6.781,Not Available,1.254,"1,232",5.8,6.2,Not Available,Not Available,99.11,Not Available,93.25000,JOURNAL OF NEUROSCIENCE
2004,"93,263",7.907,7.167,Not Available,1.350,"1,233",5.6,5.9,Not Available,Not Available,98.54,Not Available,94.19200,JOURNAL OF NEUROSCIENCE
2003,"86,508",8.306,7.482,Not Available,1.189,"1,288",5.3,6.0,Not Available,Not Available,98.91,Not Available,95.20200,JOURNAL OF NEUROSCIENCE
2002,"77,003",8.045,7.197,Not Available,1.312,"1,194",5.1,5.8,Not Available,Not Available,98.07,Not Available,94.16200,JOURNAL OF NEUROSCIENCE
2001,"70,894",8.178,7.352,Not Available,1.203,"1,083",4.9,5.7,Not Available,Not Available,98.52,Not Available,93.68700,JOURNAL OF NEUROSCIENCE
2000,"65,848",8.502,7.596,Not Available,1.322,"1,074",4.7,5.6,Not Available,Not Available,99.07,Not Available,95.32000,JOURNAL OF NEUROSCIENCE
1999,"62,368",8.955,7.955,Not Available,1.319,"1,064",4.7,5.6,Not Available,Not Available,98.31,Not Available,97.26400,JOURNAL OF NEUROSCIENCE
1998,"52,982",8.403,7.466,Not Available,1.380,976,4.7,5.4,Not Available,Not Available,98.67,Not Available,96.78200,JOURNAL OF NEUROSCIENCE
1997,"44,784",7.915,6.989,Not Available,1.247,896,4.8,5.3,Not Available,Not Available,98.33,Not Available,95.00000,JOURNAL OF NEUROSCIENCE
