,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,9079,259,854,1039,849,751,628,594,425,454,450,2776,JOURNAL OF PINEAL RESEARCH
2,,ALL OTHERS (477),477,9,28,27,44,25,26,29,20,30,31,208,JOURNAL OF PINEAL RESEARCH
3,11.613,J PINEAL RES,1242,53,233,257,116,101,80,72,45,55,49,181,JOURNAL OF PINEAL RESEARCH
4,3.687,INT J MOL SCI,587,30,55,61,58,41,33,31,37,30,34,177,JOURNAL OF PINEAL RESEARCH
5,,ONCOTARGET,342,28,57,56,45,23,27,27,17,6,13,43,JOURNAL OF PINEAL RESEARCH
6,6.721,CELL MOL LIFE SCI,339,17,47,37,22,31,15,18,14,16,18,104,JOURNAL OF PINEAL RESEARCH
7,4.122,SCI REP-UK,293,3,30,33,45,35,31,15,14,20,9,58,JOURNAL OF PINEAL RESEARCH
8,3.677,FRONT PLANT SCI,219,4,20,40,34,36,29,8,4,14,4,26,JOURNAL OF PINEAL RESEARCH
9,3.098,MOLECULES,171,18,30,20,12,15,9,4,8,11,4,40,JOURNAL OF PINEAL RESEARCH
10,4.196,NUTRIENTS,128,3,11,11,18,18,12,10,3,4,6,32,JOURNAL OF PINEAL RESEARCH
11,6.020,FREE RADICAL BIO MED,121,2,6,16,12,3,11,8,2,7,10,44,JOURNAL OF PINEAL RESEARCH
12,4.068,CURR NEUROPHARMACOL,106,1,7,10,2,6,6,4,5,4,2,59,JOURNAL OF PINEAL RESEARCH
13,3.234,LIFE SCI,101,1,8,11,9,7,4,7,7,3,4,40,JOURNAL OF PINEAL RESEARCH
14,2.766,PLOS ONE,95,2,11,13,8,6,8,3,4,5,5,30,JOURNAL OF PINEAL RESEARCH
15,3.374,CURR TOP MED CHEM,79,0,0,0,4,14,6,4,5,3,4,39,JOURNAL OF PINEAL RESEARCH
16,8.973,AGEING RES REV,70,0,9,4,5,8,1,3,5,5,10,20,JOURNAL OF PINEAL RESEARCH
17,2.193,CURR ORG CHEM,69,0,1,10,6,3,2,4,9,2,2,30,JOURNAL OF PINEAL RESEARCH
18,3.061,AM J TRANSL RES,67,1,16,13,10,5,3,8,0,3,0,8,JOURNAL OF PINEAL RESEARCH
19,3.469,CURR MED CHEM,67,1,2,5,6,4,8,9,2,6,3,21,JOURNAL OF PINEAL RESEARCH
20,3.895,CELL MOL NEUROBIOL,62,0,7,6,3,3,4,5,6,3,4,21,JOURNAL OF PINEAL RESEARCH
21,0.699,BIOL RHYTHM RES,54,0,0,1,0,0,0,1,1,1,3,47,JOURNAL OF PINEAL RESEARCH
22,3.457,BIOMED PHARMACOTHER,54,0,5,6,5,7,4,5,4,1,4,13,JOURNAL OF PINEAL RESEARCH
23,5.024,NEUROENDOCRINOLOGY,54,0,0,2,4,6,4,5,3,3,4,23,JOURNAL OF PINEAL RESEARCH
24,5.076,MOL NEUROBIOL,51,0,2,11,8,0,1,8,2,10,3,6,JOURNAL OF PINEAL RESEARCH
25,6.810,BRIT J PHARMACOL,50,0,4,11,6,2,2,4,1,3,6,11,JOURNAL OF PINEAL RESEARCH
26,0.212,ZH OBSHCH BIOL,50,0,1,0,7,12,8,3,2,5,1,11,JOURNAL OF PINEAL RESEARCH
27,1.922,MOL MED REP,48,0,0,5,5,10,5,6,4,1,3,9,JOURNAL OF PINEAL RESEARCH
28,4.936,OXID MED CELL LONGEV,44,1,3,6,3,5,3,3,4,2,5,9,JOURNAL OF PINEAL RESEARCH
29,4.897,PHARMACOL RES,43,1,2,3,7,8,1,3,5,3,1,9,JOURNAL OF PINEAL RESEARCH
30,5.354,J EXP BOT,42,1,4,13,7,7,4,1,2,2,0,1,JOURNAL OF PINEAL RESEARCH
31,5.500,CELL PHYSIOL BIOCHEM,41,7,14,2,6,4,2,1,1,1,0,3,JOURNAL OF PINEAL RESEARCH
32,2.643,CHRONOBIOL INT,41,0,0,3,0,4,1,5,0,4,2,22,JOURNAL OF PINEAL RESEARCH
33,1.664,ONCOL LETT,40,0,4,2,4,5,7,3,1,2,3,9,JOURNAL OF PINEAL RESEARCH
34,4.946,FOOD CHEM,38,0,2,4,7,7,5,4,1,1,0,7,JOURNAL OF PINEAL RESEARCH
35,,RSC DRUG DISCOV,36,0,1,6,0,4,5,2,1,5,4,8,JOURNAL OF PINEAL RESEARCH
36,0.833,INT J CLIN EXP MED,35,0,4,2,2,6,5,1,1,2,4,8,JOURNAL OF PINEAL RESEARCH
37,3.184,BIOL REPROD,34,0,2,4,1,1,3,3,4,1,3,12,JOURNAL OF PINEAL RESEARCH
38,,FERM FOODS HLTH DIXB,34,0,0,0,4,5,7,2,4,2,0,10,JOURNAL OF PINEAL RESEARCH
39,2.340,INT J ENDOCRINOL,34,3,4,2,3,3,1,4,2,3,1,8,JOURNAL OF PINEAL RESEARCH
40,3.173,BEHAV BRAIN RES,33,1,0,2,2,1,5,2,1,2,1,16,JOURNAL OF PINEAL RESEARCH
41,6.023,DIABETOLOGIA,29,1,1,3,3,2,3,3,1,1,3,8,JOURNAL OF PINEAL RESEARCH
42,2.559,BIOCHEM BIOPH RES CO,28,9,3,2,3,2,4,2,0,1,0,2,JOURNAL OF PINEAL RESEARCH
43,2.936,RSC ADV,27,0,0,2,0,2,2,2,4,1,5,9,JOURNAL OF PINEAL RESEARCH
44,,TURK J PHARM SCI,27,0,2,2,1,1,0,1,5,1,0,14,JOURNAL OF PINEAL RESEARCH
45,2.424,EXCLI J,26,0,0,1,3,2,3,2,1,3,2,9,JOURNAL OF PINEAL RESEARCH
46,1.324,PHYSIOL RES,25,1,0,0,0,2,0,5,3,0,1,13,JOURNAL OF PINEAL RESEARCH
47,2.718,PLANT PHYSIOL BIOCH,25,1,1,4,4,5,2,1,1,0,1,5,JOURNAL OF PINEAL RESEARCH
48,3.679,BBA-GEN SUBJECTS,24,1,5,5,1,1,0,1,3,0,0,7,JOURNAL OF PINEAL RESEARCH
49,3.449,MOL BRAIN,24,0,0,6,2,1,0,1,0,3,4,7,JOURNAL OF PINEAL RESEARCH
50,3.495,CNS NEUROSCI THER,23,0,0,1,2,1,0,6,2,4,1,6,JOURNAL OF PINEAL RESEARCH
51,1.865,ANTICANCER RES,22,0,1,4,1,2,2,2,2,2,1,5,JOURNAL OF PINEAL RESEARCH
52,3.902,FRONT MOL NEUROSCI,22,0,1,4,5,2,1,2,2,2,0,3,JOURNAL OF PINEAL RESEARCH
53,2.050,ARCH ORAL BIOL,21,0,0,2,2,6,0,1,3,0,0,7,JOURNAL OF PINEAL RESEARCH
