,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5251,134,619,711,496,430,294,280,270,254,229,1534,JOURNAL OF PINEAL RESEARCH
2, ,ALL OTHERS (556),556,12,58,69,52,43,44,35,26,28,24,165,JOURNAL OF PINEAL RESEARCH
3,11.613,J PINEAL RES,1242,53,233,257,116,101,80,72,45,55,49,181,JOURNAL OF PINEAL RESEARCH
4,9.504,P NATL ACAD SCI USA,68,0,3,3,2,6,4,2,3,3,8,34,JOURNAL OF PINEAL RESEARCH
5,2.766,PLOS ONE,66,0,7,8,15,14,7,3,5,3,3,1,JOURNAL OF PINEAL RESEARCH
6,31.398,CELL,63,0,1,3,5,4,2,7,2,3,9,27,JOURNAL OF PINEAL RESEARCH
7,41.577,NATURE,62,0,4,2,6,1,5,6,5,2,0,31,JOURNAL OF PINEAL RESEARCH
8,41.058,SCIENCE,56,0,2,2,1,5,1,1,2,6,2,34,JOURNAL OF PINEAL RESEARCH
9,4.011,J BIOL CHEM,53,0,2,2,1,1,2,1,4,5,1,34,JOURNAL OF PINEAL RESEARCH
10,6.020,FREE RADICAL BIO MED,49,0,9,4,5,9,3,5,0,3,0,11,JOURNAL OF PINEAL RESEARCH
11,3.388,INVEST OPHTH VIS SCI,47,0,1,1,4,6,2,3,3,1,5,21,JOURNAL OF PINEAL RESEARCH
12,5.595,FASEB J,46,0,0,6,1,1,0,1,3,3,1,30,JOURNAL OF PINEAL RESEARCH
13,3.687,INT J MOL SCI,39,1,10,6,9,12,1,0,0,0,0,0,JOURNAL OF PINEAL RESEARCH
14,3.677,FRONT PLANT SCI,34,2,23,7,1,1,0,0,0,0,0,0,JOURNAL OF PINEAL RESEARCH
15,4.122,SCI REP-UK,34,5,16,10,1,1,0,1,0,0,0,0,JOURNAL OF PINEAL RESEARCH
16,11.100,AUTOPHAGY,30,2,0,8,3,2,3,0,5,0,4,3,JOURNAL OF PINEAL RESEARCH
17,2.559,BIOCHEM BIOPH RES CO,30,1,6,3,3,4,0,0,0,0,3,10,JOURNAL OF PINEAL RESEARCH
18,79.260,NEW ENGL J MED,30,0,2,7,0,0,1,0,3,1,5,11,JOURNAL OF PINEAL RESEARCH
19,6.721,CELL MOL LIFE SCI,29,0,0,3,11,0,0,0,1,2,3,9,JOURNAL OF PINEAL RESEARCH
20,5.354,J EXP BOT,29,0,1,17,0,1,2,3,0,0,0,5,JOURNAL OF PINEAL RESEARCH
21,3.234,LIFE SCI,29,0,7,5,1,0,1,0,0,0,1,14,JOURNAL OF PINEAL RESEARCH
22,32.621,NAT MED,29,0,1,3,1,3,1,3,3,0,2,12,JOURNAL OF PINEAL RESEARCH
23,15.211,CIRC RES,27,1,3,2,2,1,1,3,4,1,0,9,JOURNAL OF PINEAL RESEARCH
24,3.961,ENDOCRINOLOGY,26,0,4,0,1,0,0,1,2,1,1,16,JOURNAL OF PINEAL RESEARCH
25,3.040,EUR J PHARMACOL,24,0,2,9,2,5,0,0,0,1,1,4,JOURNAL OF PINEAL RESEARCH
26,7.273,DIABETES,23,1,1,0,5,3,1,2,1,1,2,6,JOURNAL OF PINEAL RESEARCH
27,13.251,J CLIN INVEST,23,0,1,3,2,4,2,1,2,3,0,5,JOURNAL OF PINEAL RESEARCH
28,4.539,J IMMUNOL,22,1,0,0,0,1,2,0,3,2,0,13,JOURNAL OF PINEAL RESEARCH
29,5.971,J NEUROSCI,22,1,2,3,2,0,2,2,0,0,1,9,JOURNAL OF PINEAL RESEARCH
30,3.563,MOL CELL ENDOCRINOL,22,0,1,1,2,0,15,0,0,0,0,3,JOURNAL OF PINEAL RESEARCH
