Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"9,079",11.613,8.607,9.584,3.754,69,6.3,5.8,0.009,1.458,89.86,1.00900,96.36400,JOURNAL OF PINEAL RESEARCH
2016,"7,278",10.391,7.091,7.954,2.421,76,5.7,5.7,0.00802,1.230,89.47,0.92076,95.95800,JOURNAL OF PINEAL RESEARCH
2015,"6,914",9.314,5.640,7.140,2.391,87,6.1,6.5,0.00779,1.142,91.95,0.88752,96.11000,JOURNAL OF PINEAL RESEARCH
2014,"6,906",9.600,5.955,7.227,1.862,87,5.9,7.1,0.00816,1.120,88.51,0.91413,96.43100,JOURNAL OF PINEAL RESEARCH
2013,"6,136",7.812,4.607,5.961,2.011,88,5.9,6.7,0.0075,0.919,94.32,0.82718,94.64000,JOURNAL OF PINEAL RESEARCH
2012,"4,956",7.304,4.081,5.451,1.109,92,5.2,6.9,0.00734,0.842,93.48,Not Available,93.50800,JOURNAL OF PINEAL RESEARCH
2011,"4,136",5.794,2.805,4.286,0.889,99,5.5,7.1,0.00615,0.675,89.90,Not Available,89.56300,JOURNAL OF PINEAL RESEARCH
2010,"4,490",5.855,3.626,4.823,0.776,85,5.2,6.7,0.00751,0.761,91.76,Not Available,90.21400,JOURNAL OF PINEAL RESEARCH
2009,"3,693",5.209,2.922,4.369,0.895,95,4.8,6.6,0.00844,0.831,92.63,Not Available,87.63900,JOURNAL OF PINEAL RESEARCH
2008,"3,476",5.056,2.813,4.504,0.731,119,4.7,7.0,0.00692,0.687,92.44,Not Available,86.28900,JOURNAL OF PINEAL RESEARCH
2007,"3,070",4.098,2.396,4.033,1.248,101,4.9,6.9,0.00687,0.688,92.08,Not Available,80.94400,JOURNAL OF PINEAL RESEARCH
2006,"2,673",4.228,2.397,Not Available,0.495,97,4.8,6.8,Not Available,Not Available,96.91,Not Available,81.70500,JOURNAL OF PINEAL RESEARCH
2005,"2,533",5.025,3.194,Not Available,0.649,97,4.6,7.0,Not Available,Not Available,93.81,Not Available,90.17900,JOURNAL OF PINEAL RESEARCH
2004,"1,911",3.261,1.906,Not Available,0.824,74,5.0,6.9,Not Available,Not Available,97.30,Not Available,73.00400,JOURNAL OF PINEAL RESEARCH
2003,"2,204",3.426,2.364,Not Available,1.329,85,5.1,6.7,Not Available,Not Available,94.12,Not Available,80.96300,JOURNAL OF PINEAL RESEARCH
2002,"2,088",3.913,2.880,Not Available,0.447,76,4.9,6.9,Not Available,Not Available,100.00,Not Available,87.07300,JOURNAL OF PINEAL RESEARCH
2001,"2,109",4.040,2.920,Not Available,0.395,86,5.3,7.0,Not Available,Not Available,97.67,Not Available,87.89900,JOURNAL OF PINEAL RESEARCH
2000,"1,832",3.779,2.893,Not Available,0.578,64,5.0,6.3,Not Available,Not Available,100.00,Not Available,87.04500,JOURNAL OF PINEAL RESEARCH
1999,"1,453",2.571,1.774,Not Available,0.262,61,4.8,6.5,Not Available,Not Available,98.36,Not Available,76.67100,JOURNAL OF PINEAL RESEARCH
1998,"1,566",2.544,2.056,Not Available,0.829,70,4.5,6.8,Not Available,Not Available,98.57,Not Available,79.59100,JOURNAL OF PINEAL RESEARCH
1997,"1,307",3.771,2.898,Not Available,0.143,63,4.2,6.4,Not Available,Not Available,96.83,Not Available,88.61100,JOURNAL OF PINEAL RESEARCH
