,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,28678,496,2108,2805,2763,2853,2264,2141,2685,2447,2082,6034,LANCET NEUROLOGY
2,,ALL OTHERS (1218),1218,12,59,120,108,113,75,64,107,112,99,349,LANCET NEUROLOGY
3,4.122,SCI REP-UK,546,6,34,46,46,53,51,62,57,56,29,106,LANCET NEUROLOGY
4,2.766,PLOS ONE,540,4,26,52,50,48,52,37,56,62,45,108,LANCET NEUROLOGY
5,3.476,J ALZHEIMERS DIS,519,7,36,29,62,72,40,48,72,24,17,112,LANCET NEUROLOGY
6,8.055,NEUROLOGY,509,9,67,42,63,73,44,36,56,38,28,53,LANCET NEUROLOGY
7,3.508,FRONT NEUROL,355,11,25,37,20,51,27,26,36,29,28,65,LANCET NEUROLOGY
8,6.239,STROKE,352,8,40,15,23,33,48,24,34,55,25,47,LANCET NEUROLOGY
9,27.144,LANCET NEUROL,315,98,62,32,25,23,15,11,15,9,6,19,LANCET NEUROLOGY
10,2.448,J NEUROL SCI,310,2,29,25,24,26,24,23,35,30,20,72,LANCET NEUROLOGY
11,8.324,MOVEMENT DISORD,230,6,19,29,16,33,15,22,18,24,19,29,LANCET NEUROLOGY
12,3.783,J NEUROL,220,2,27,25,19,25,20,15,20,12,18,37,LANCET NEUROLOGY
13,4.454,NEUROBIOL AGING,219,0,13,30,34,33,22,19,26,7,2,33,LANCET NEUROLOGY
14,1.598,J STROKE CEREBROVASC,215,0,7,13,14,21,19,15,22,40,16,48,LANCET NEUROLOGY
15,5.280,MULT SCLER J,196,4,14,35,13,13,31,8,23,10,18,27,LANCET NEUROLOGY
16,10.848,BRAIN,189,2,23,29,17,19,19,23,9,9,7,32,LANCET NEUROLOGY
17,3.582,FRONT AGING NEUROSCI,188,1,9,22,11,28,11,18,17,11,7,53,LANCET NEUROLOGY
18,5.076,MOL NEUROBIOL,172,0,4,26,12,15,14,12,10,18,10,51,LANCET NEUROLOGY
19,2.371,INT REV NEUROBIOL,168,5,12,19,10,11,10,9,16,22,9,45,LANCET NEUROLOGY
20,2.600,EPILEPSY BEHAV,164,1,29,7,9,15,13,7,2,8,20,53,LANCET NEUROLOGY
21,7.144,J NEUROL NEUROSUR PS,161,3,17,15,23,20,18,13,11,12,8,21,LANCET NEUROLOGY
22,2.757,CURR PHARM DESIGN,158,2,19,16,8,6,23,12,13,9,8,42,LANCET NEUROLOGY
23,,ONCOTARGET,156,1,17,9,15,13,10,8,12,18,8,45,LANCET NEUROLOGY
24,3.696,EXPERT REV NEUROTHER,155,5,13,22,16,20,13,7,11,14,10,24,LANCET NEUROLOGY
25,1.924,WORLD NEUROSURG,155,1,4,8,22,8,7,14,12,23,14,42,LANCET NEUROLOGY
26,3.869,NEUROIMAGE-CLIN,147,3,3,19,11,27,10,14,16,9,13,22,LANCET NEUROLOGY
27,19.819,NAT REV NEUROL,146,9,13,19,22,16,9,7,13,13,8,17,LANCET NEUROLOGY
28,11.460,JAMA NEUROL,145,1,24,12,11,22,24,11,9,6,6,19,LANCET NEUROLOGY
29,4.010,CURR OPIN NEUROL,140,5,20,8,19,19,12,9,22,5,5,16,LANCET NEUROLOGY
30,2.285,NEUROL SCI,139,2,15,11,15,6,15,8,12,15,10,30,LANCET NEUROLOGY
31,12.764,ALZHEIMERS DEMENT,136,0,14,11,21,24,17,12,16,1,0,20,LANCET NEUROLOGY
32,3.126,ACTA NEUROL SCAND,134,1,7,13,17,10,7,11,10,17,10,31,LANCET NEUROLOGY
33,5.067,EPILEPSIA,132,3,20,4,14,19,5,11,6,4,19,27,LANCET NEUROLOGY
