,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4803,133,377,697,689,187,174,154,200,160,183,1849,MATRIX BIOLOGY
2,,ALL OTHERS (672),672,12,36,82,77,29,29,14,29,21,29,314,MATRIX BIOLOGY
3,8.136,MATRIX BIOL,279,20,34,72,65,10,8,5,10,8,3,44,MATRIX BIOLOGY
4,4.122,SCI REP-UK,236,4,25,31,40,10,8,7,9,9,10,83,MATRIX BIOLOGY
5,2.766,PLOS ONE,107,2,10,22,14,3,4,4,8,3,3,34,MATRIX BIOLOGY
6,,ONCOTARGET,89,1,1,28,18,4,3,6,1,2,0,25,MATRIX BIOLOGY
7,3.687,INT J MOL SCI,80,6,4,6,16,5,4,2,5,5,1,26,MATRIX BIOLOGY
8,4.011,J BIOL CHEM,75,0,7,31,19,1,2,2,0,1,1,11,MATRIX BIOLOGY
9,6.383,ACTA BIOMATER,63,3,5,9,4,2,1,4,3,5,1,26,MATRIX BIOLOGY
10,3.394,FRONT PHYSIOL,46,1,13,1,4,1,0,2,3,3,6,12,MATRIX BIOLOGY
11,3.414,J ORTHOP RES,39,0,0,1,8,6,1,3,1,2,1,16,MATRIX BIOLOGY
12,4.530,FEBS J,37,1,13,10,6,0,1,1,1,1,0,3,MATRIX BIOLOGY
13,5.454,OSTEOARTHR CARTILAGE,37,0,1,2,10,0,0,0,1,1,3,19,MATRIX BIOLOGY
14,6.530,ANTIOXID REDOX SIGN,36,2,2,4,13,1,4,2,1,3,1,3,MATRIX BIOLOGY
15,3.074,PROG MOL BIOL TRANSL,31,0,3,8,2,1,1,1,2,0,0,13,MATRIX BIOLOGY
16,3.508,TISSUE ENG,31,0,2,1,6,2,0,1,2,3,1,13,MATRIX BIOLOGY
17,4.651,BBA-MOL CELL RES,30,1,6,11,1,0,1,0,1,1,0,8,MATRIX BIOLOGY
18,2.559,BIOCHEM BIOPH RES CO,28,1,2,7,4,1,2,0,1,1,0,9,MATRIX BIOLOGY
19,12.353,NAT COMMUN,28,0,3,1,7,0,2,1,1,3,1,9,MATRIX BIOLOGY
20,4.432,ACS BIOMATER SCI ENG,27,0,2,1,3,1,1,1,1,2,1,14,MATRIX BIOLOGY
21,4.455,BONE,27,0,8,1,2,1,0,0,0,2,2,11,MATRIX BIOLOGY
22,,WOODH PUBL SER BIOM,26,0,1,1,0,3,0,2,1,2,0,16,MATRIX BIOLOGY
23,2.583,BIOMED RES INT,25,0,1,1,1,1,3,0,2,2,1,13,MATRIX BIOLOGY
24,1.922,MOL MED REP,25,0,2,5,2,0,1,0,2,1,0,12,MATRIX BIOLOGY
25,8.806,BIOMATERIALS,23,0,3,2,2,1,1,0,0,0,2,12,MATRIX BIOLOGY
26,3.043,CELL TISSUE RES,23,1,2,3,4,0,0,0,1,1,2,9,MATRIX BIOLOGY
27,2.548,GLYCOCONJUGATE J,23,0,2,8,7,0,2,0,0,0,1,3,MATRIX BIOLOGY
28,3.667,EUR CELLS MATER,22,1,1,0,7,2,0,0,0,0,1,10,MATRIX BIOLOGY
29,6.448,J INVEST DERMATOL,22,1,3,3,5,1,3,0,1,0,1,4,MATRIX BIOLOGY
30,3.388,INVEST OPHTH VIS SCI,21,0,1,5,5,0,0,1,2,0,1,6,MATRIX BIOLOGY
31,5.413,DEVELOPMENT,20,0,0,6,3,0,0,1,1,0,3,6,MATRIX BIOLOGY
32,1.938,INT J EXP PATHOL,20,0,2,5,0,0,0,1,3,0,1,8,MATRIX BIOLOGY
33,3.309,EXP CELL RES,19,0,2,3,5,1,0,0,1,0,2,5,MATRIX BIOLOGY
34,4.089,J TISSUE ENG REGEN M,19,0,0,0,2,1,0,4,0,1,2,9,MATRIX BIOLOGY
35,,METHOD MOL BIOL,19,0,1,12,0,0,2,1,0,1,0,2,MATRIX BIOLOGY
36,3.231,J BIOMED MATER RES A,18,0,2,0,1,0,0,1,0,1,0,13,MATRIX BIOLOGY
37,5.609,ADV HEALTHC MATER,17,0,0,2,1,2,0,0,0,1,0,11,MATRIX BIOLOGY
38,3.664,GLYCOBIOLOGY,17,0,1,1,9,0,0,0,1,0,0,5,MATRIX BIOLOGY
39,5.080,MAT SCI ENG C-MATER,17,0,1,0,3,1,0,1,2,0,0,9,MATRIX BIOLOGY
40,6.721,CELL MOL LIFE SCI,16,0,1,2,3,0,3,0,0,0,1,6,MATRIX BIOLOGY
41,3.152,EXP EYE RES,16,0,0,3,2,0,0,0,1,0,1,9,MATRIX BIOLOGY
42,4.776,J MATER CHEM B,16,0,0,0,1,0,0,0,1,0,2,12,MATRIX BIOLOGY
43,6.138,SEMIN CELL DEV BIOL,16,0,0,3,4,0,1,1,2,0,3,2,MATRIX BIOLOGY
44,,SUB-CELL BIOCHEM,16,0,2,3,0,0,0,0,2,1,0,8,MATRIX BIOLOGY
45,2.784,INT J MOL MED,15,0,0,2,0,0,1,1,0,0,1,10,MATRIX BIOLOGY
46,2.959,J CELL BIOCHEM,15,0,4,2,1,0,2,0,0,0,1,5,MATRIX BIOLOGY
47,3.923,J CELL PHYSIOL,15,0,1,2,2,1,2,0,2,0,0,5,MATRIX BIOLOGY
48,5.738,BIOMACROMOLECULES,14,0,1,0,2,1,0,0,1,0,1,8,MATRIX BIOLOGY
49,3.262,DEV BIOL,14,2,1,2,3,0,2,0,0,0,1,3,MATRIX BIOLOGY
50,4.302,J CELL MOL MED,14,1,2,4,0,0,1,1,3,0,0,2,MATRIX BIOLOGY
51,8.097,ACS APPL MATER INTER,13,0,1,0,0,0,0,1,1,0,2,8,MATRIX BIOLOGY
52,3.785,AM J RESP CELL MOL,13,0,2,2,2,2,1,3,0,0,0,1,MATRIX BIOLOGY
53,12.350,ANN RHEUM DIS,13,0,2,2,3,0,0,0,1,0,0,5,MATRIX BIOLOGY
54,2.050,ARCH ORAL BIOL,13,0,1,0,1,1,0,0,0,1,0,9,MATRIX BIOLOGY
55,5.831,BIOMATER SCI-UK,13,0,2,1,0,1,0,1,0,0,1,7,MATRIX BIOLOGY
56,5.326,CANCERS,13,4,0,3,0,1,0,0,0,1,0,4,MATRIX BIOLOGY
57,5.500,CELL PHYSIOL BIOCHEM,13,1,1,3,3,0,2,0,0,0,0,3,MATRIX BIOLOGY
58,5.279,CRIT REV BIOCHEM MOL,13,0,0,0,0,1,0,1,0,0,0,11,MATRIX BIOLOGY
59,6.314,J BONE MINER RES,13,0,3,0,0,1,0,0,0,1,2,6,MATRIX BIOLOGY
60,4.401,J CELL SCI,13,1,0,6,0,0,0,2,1,2,0,1,MATRIX BIOLOGY
61,3.239,J MECH BEHAV BIOMED,13,0,1,1,1,0,1,1,1,0,3,4,MATRIX BIOLOGY
62,3.679,BBA-GEN SUBJECTS,12,0,1,0,3,1,2,0,1,0,0,4,MATRIX BIOLOGY
63,6.290,CARDIOVASC RES,12,0,0,3,4,0,1,1,0,1,0,2,MATRIX BIOLOGY
64,8.032,CELL REP,12,3,2,1,1,1,0,0,0,0,0,4,MATRIX BIOLOGY
65,2.608,CONNECT TISSUE RES,12,0,0,2,1,1,0,0,0,1,1,6,MATRIX BIOLOGY
66,2.507,DEV DYNAM,12,0,3,1,1,1,0,0,0,1,1,4,MATRIX BIOLOGY
67,4.902,HUM MOL GENET,12,0,1,0,2,0,0,1,1,0,0,7,MATRIX BIOLOGY
68,7.877,J CONTROL RELEASE,12,0,0,4,2,0,1,1,0,0,0,4,MATRIX BIOLOGY
69,5.383,J DENT RES,12,0,3,1,0,1,1,0,0,0,3,3,MATRIX BIOLOGY
70,2.816,J HISTOCHEM CYTOCHEM,12,0,2,0,1,1,0,0,0,1,1,6,MATRIX BIOLOGY
71,1.664,ONCOL LETT,12,0,0,2,2,0,1,1,2,0,1,3,MATRIX BIOLOGY
72,3.989,STEM CELLS INT,12,0,2,1,1,0,0,1,0,0,0,7,MATRIX BIOLOGY
73,3.457,BIOMED PHARMACOTHER,11,0,1,1,1,1,0,0,1,0,0,6,MATRIX BIOLOGY
74,3.293,CALCIFIED TISSUE INT,11,0,3,1,0,0,0,0,1,0,3,3,MATRIX BIOLOGY
75,3.997,COLLOID SURFACE B,11,0,0,1,1,1,0,0,2,1,1,4,MATRIX BIOLOGY
76,7.616,ELIFE,11,0,0,1,3,2,0,1,0,0,0,4,MATRIX BIOLOGY
77,2.431,J BIOMECH,11,0,0,0,2,2,0,0,0,1,1,5,MATRIX BIOLOGY
78,4.907,STRUCTURE,11,0,2,3,0,0,0,0,0,0,0,6,MATRIX BIOLOGY
79,1.216,TISSUE ENG REGEN MED,11,0,0,0,2,1,0,0,0,0,0,8,MATRIX BIOLOGY
80,5.220,CLIN SCI,10,0,0,3,1,0,0,0,2,2,0,2,MATRIX BIOLOGY
81,3.469,CURR MED CHEM,10,0,1,1,4,2,0,0,1,0,0,1,MATRIX BIOLOGY
82,3.514,CYTOKINE,10,0,1,3,1,0,1,0,0,1,0,3,MATRIX BIOLOGY
83,1.410,EXP THER MED,10,1,1,0,1,0,2,1,0,0,0,4,MATRIX BIOLOGY
84,13.251,J CLIN INVEST,10,1,2,1,1,3,0,0,0,0,0,2,MATRIX BIOLOGY
85,3.549,MEDIAT INFLAMM,10,0,1,1,3,1,0,0,0,1,0,3,MATRIX BIOLOGY
86,6.228,PROTEIN CELL,10,0,1,0,0,0,0,0,0,1,1,7,MATRIX BIOLOGY
87,13.660,ADV DRUG DELIVER REV,9,0,1,0,0,1,1,2,0,0,1,3,MATRIX BIOLOGY
88,4.269,ARTHRITIS RES THER,9,1,1,0,2,1,0,1,1,0,0,2,MATRIX BIOLOGY
89,2.217,BIOL OPEN,9,0,1,2,0,0,0,0,0,1,0,5,MATRIX BIOLOGY
90,3.495,BIOPHYS J,9,1,2,1,0,0,0,0,0,0,1,4,MATRIX BIOLOGY
91,6.491,CANCER LETT,9,0,0,3,3,0,0,0,0,0,0,3,MATRIX BIOLOGY
