,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6559,41,290,492,508,393,388,382,336,349,267,3113,MATRIX BIOLOGY
2, ,ALL OTHERS (495),495,1,40,45,44,42,32,28,27,24,20,192,MATRIX BIOLOGY
3,4.011,J BIOL CHEM,517,1,6,10,24,19,24,27,20,20,18,348,MATRIX BIOLOGY
4,8.136,MATRIX BIOL,279,20,34,72,65,10,8,5,10,8,3,44,MATRIX BIOLOGY
5,8.784,J CELL BIOL,240,0,8,7,8,7,10,2,4,8,10,176,MATRIX BIOLOGY
6,9.504,P NATL ACAD SCI USA,154,0,1,2,9,16,9,12,5,7,1,92,MATRIX BIOLOGY
7,4.401,J CELL SCI,134,0,2,3,3,7,7,8,4,19,1,80,MATRIX BIOLOGY
8,2.766,PLOS ONE,109,0,4,17,19,22,20,9,3,6,5,4,MATRIX BIOLOGY
9,31.398,CELL,95,0,1,2,2,1,3,8,3,6,7,62,MATRIX BIOLOGY
10,41.577,NATURE,89,0,2,1,3,3,4,4,5,2,5,60,MATRIX BIOLOGY
11,41.058,SCIENCE,83,0,2,0,4,3,3,0,3,13,2,53,MATRIX BIOLOGY
12,9.130,CANCER RES,78,0,4,1,3,1,3,3,6,4,4,49,MATRIX BIOLOGY
13,4.069,AM J PATHOL,72,0,1,1,1,1,7,3,4,6,4,44,MATRIX BIOLOGY
14,13.251,J CLIN INVEST,72,1,0,4,2,3,5,3,2,3,4,45,MATRIX BIOLOGY
15,8.655,J AM SOC NEPHROL,70,0,3,3,5,4,5,1,2,7,3,37,MATRIX BIOLOGY
16,8.806,BIOMATERIALS,64,0,1,11,9,5,4,5,3,1,2,23,MATRIX BIOLOGY
17,5.413,DEVELOPMENT,59,0,1,2,0,0,3,4,4,4,1,40,MATRIX BIOLOGY
18,3.495,BIOPHYS J,55,0,2,2,1,6,6,6,7,3,2,20,MATRIX BIOLOGY
19,3.309,EXP CELL RES,55,0,0,3,2,6,4,3,0,1,2,34,MATRIX BIOLOGY
20,15.132,BLOOD,54,0,4,5,2,5,1,4,2,3,1,27,MATRIX BIOLOGY
21,3.262,DEV BIOL,54,0,0,3,0,1,1,4,2,0,2,41,MATRIX BIOLOGY
22,6.448,J INVEST DERMATOL,52,0,10,4,8,2,1,3,1,0,2,21,MATRIX BIOLOGY
23,3.512,MOL BIOL CELL,52,0,0,3,1,0,4,0,0,4,2,38,MATRIX BIOLOGY
24,8.429,KIDNEY INT,51,0,2,1,1,1,4,0,3,1,1,37,MATRIX BIOLOGY
25,35.612,NAT REV MOL CELL BIO,47,0,2,1,10,2,1,2,3,4,1,21,MATRIX BIOLOGY
26,5.595,FASEB J,42,0,1,4,2,0,1,3,5,1,2,23,MATRIX BIOLOGY
27,4.902,HUM MOL GENET,42,0,0,2,7,1,2,1,1,1,0,27,MATRIX BIOLOGY
28,4.539,J IMMUNOL,41,0,0,2,0,3,1,4,2,1,3,25,MATRIX BIOLOGY
29,27.125,NAT GENET,40,0,0,1,0,0,0,1,1,0,0,37,MATRIX BIOLOGY
30,10.557,EMBO J,39,0,0,0,2,0,1,2,1,0,2,31,MATRIX BIOLOGY
31,5.971,J NEUROSCI,39,0,0,1,2,2,2,2,2,0,4,24,MATRIX BIOLOGY
32,19.064,NAT CELL BIOL,39,0,4,6,0,2,1,5,2,1,2,16,MATRIX BIOLOGY
33,2.997,BIOCHEMISTRY-US,36,0,0,2,2,1,2,2,2,2,2,21,MATRIX BIOLOGY
34,6.854,ONCOGENE,36,0,1,3,6,7,2,2,3,4,0,8,MATRIX BIOLOGY
35,79.260,NEW ENGL J MED,35,0,0,1,2,1,2,2,3,2,2,20,MATRIX BIOLOGY
36,14.319,NEURON,33,0,0,0,2,0,1,1,1,2,4,22,MATRIX BIOLOGY
37,4.899,J THROMB HAEMOST,32,0,1,1,4,5,3,1,7,0,0,10,MATRIX BIOLOGY
38,32.621,NAT MED,32,0,2,4,8,2,2,1,0,2,1,10,MATRIX BIOLOGY
39,2.559,BIOCHEM BIOPH RES CO,31,1,2,2,1,2,2,0,0,0,0,21,MATRIX BIOLOGY
40,3.923,J CELL PHYSIOL,31,1,3,4,0,0,1,1,3,2,4,12,MATRIX BIOLOGY
41,12.353,NAT COMMUN,31,0,3,17,6,4,0,0,1,0,0,0,MATRIX BIOLOGY
42,2.507,DEV DYNAM,30,0,0,1,0,0,0,3,0,0,0,26,MATRIX BIOLOGY
43,9.462,GENE DEV,30,0,2,1,0,0,1,1,0,2,2,21,MATRIX BIOLOGY
44,3.388,INVEST OPHTH VIS SCI,30,0,0,3,0,3,5,0,1,0,0,18,MATRIX BIOLOGY
45,6.086,ARTERIOSCL THROM VAS,28,0,2,0,4,3,1,4,0,0,0,14,MATRIX BIOLOGY
46,3.813,MOL CELL BIOL,28,0,0,0,1,0,1,2,2,0,1,21,MATRIX BIOLOGY
47,8.855,AM J HUM GENET,27,0,0,0,3,2,4,1,0,4,0,13,MATRIX BIOLOGY
48,42.784,NAT REV CANCER,27,0,1,0,1,0,2,0,3,4,1,15,MATRIX BIOLOGY
49,4.530,FEBS J,26,3,2,1,5,4,0,6,2,0,1,2,MATRIX BIOLOGY
50,9.032,ANNU REV CELL DEV BI,25,0,0,0,2,0,1,4,6,0,0,12,MATRIX BIOLOGY
51, ,ARTHRITIS RHEUM-US,25,0,0,0,0,0,0,3,2,2,3,15,MATRIX BIOLOGY
52,15.211,CIRC RES,25,0,1,0,2,0,0,3,3,0,2,14,MATRIX BIOLOGY
53,3.508,TISSUE ENG,25,0,2,1,1,0,1,8,5,0,2,5,MATRIX BIOLOGY
