Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,803",8.136,7.333,6.247,1.750,76,6.9,9.3,0.008,1.815,61.84,0.99300,88.84500,MATRIX BIOLOGY
2016,"4,439",7.400,6.520,5.931,1.443,70,7.1,9.1,0.00773,1.695,68.57,0.88575,87.66800,MATRIX BIOLOGY
2015,"3,837",4.470,3.817,4.137,2.161,62,8.1,8.4,0.00631,1.269,87.10,0.71965,74.26900,MATRIX BIOLOGY
2014,"3,721",5.074,4.273,4.171,1.103,116,8.9,8.4,0.00524,1.226,67.24,0.58673,79.00200,MATRIX BIOLOGY
2013,"3,127",3.648,3.494,3.574,0.549,51,8.8,8.0,0.00544,1.150,74.51,0.59960,61.04900,MATRIX BIOLOGY
2012,"3,149",3.190,3.099,3.455,1.068,44,8.5,9.3,0.00624,1.179,84.09,Not Available,54.81600,MATRIX BIOLOGY
2011,"3,145",3.299,3.196,3.429,0.596,47,8.1,7.7,0.00668,1.168,91.49,Not Available,56.15600,MATRIX BIOLOGY
2010,"3,171",3.328,3.142,3.963,0.622,74,7.7,8.1,0.00787,1.366,94.59,Not Available,54.73600,MATRIX BIOLOGY
2009,"3,039",3.558,3.372,3.929,0.491,53,7.3,7.9,0.0091,1.473,94.34,Not Available,61.32500,MATRIX BIOLOGY
2008,"2,942",3.613,3.420,4.141,0.470,66,7.0,7.7,0.00996,1.628,98.48,Not Available,64.09500,MATRIX BIOLOGY
2007,"2,760",3.687,3.495,4.292,0.714,63,6.6,7.1,0.01033,1.621,93.65,Not Available,65.94600,MATRIX BIOLOGY
2006,"2,558",3.679,3.517,Not Available,0.393,56,6.1,6.8,Not Available,Not Available,98.21,Not Available,68.12400,MATRIX BIOLOGY
2005,"2,538",4.469,4.234,Not Available,0.492,59,5.5,6.9,Not Available,Not Available,94.92,Not Available,77.30400,MATRIX BIOLOGY
2004,"2,299",4.104,3.905,Not Available,0.404,47,5.0,5.9,Not Available,Not Available,95.74,Not Available,73.86400,MATRIX BIOLOGY
2003,"2,126",3.323,3.228,Not Available,0.489,45,4.8,5.8,Not Available,Not Available,82.22,Not Available,68.45500,MATRIX BIOLOGY
2002,"1,945",4.167,4.036,Not Available,0.475,61,4.4,6.4,Not Available,Not Available,90.16,Not Available,76.98600,MATRIX BIOLOGY
2001,"1,781",3.125,3.000,Not Available,0.364,66,4.3,6.2,Not Available,Not Available,81.82,Not Available,68.82700,MATRIX BIOLOGY
2000,"1,492",3.664,3.450,Not Available,0.250,72,3.9,5.3,Not Available,Not Available,77.78,Not Available,77.05600,MATRIX BIOLOGY
1999,"1,270",3.214,3.071,Not Available,0.500,56,5.1,5.5,Not Available,Not Available,91.07,Not Available,74.96900,MATRIX BIOLOGY
1998,995,2.844,2.636,Not Available,0.338,71,4.8,5.6,Not Available,Not Available,77.46,Not Available,74.43400,MATRIX BIOLOGY
1997,940,1.901,1.845,Not Available,0.429,42,4.4,4.2,Not Available,Not Available,54.76,Not Available,55.25600,MATRIX BIOLOGY
