,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,19423,686,1698,1921,1651,1714,1447,1286,1221,1052,821,5926,MOLECULAR CELL
2, ,ALL OTHERS (507),507,15,47,56,41,40,36,33,27,22,17,173,MOLECULAR CELL
3,31.398,CELL,1466,45,107,145,133,158,126,95,72,95,54,436,MOLECULAR CELL
4,41.577,NATURE,1386,44,110,147,87,100,119,118,95,74,69,423,MOLECULAR CELL
5,14.248,MOL CELL,1332,128,137,205,110,115,90,87,95,50,59,256,MOLECULAR CELL
6,41.058,SCIENCE,971,29,112,70,59,95,61,52,52,51,48,342,MOLECULAR CELL
7,9.504,P NATL ACAD SCI USA,852,8,51,45,56,79,53,71,71,53,44,321,MOLECULAR CELL
8,4.011,J BIOL CHEM,801,2,23,43,26,37,42,60,45,41,31,451,MOLECULAR CELL
9,9.462,GENE DEV,567,1,29,32,48,39,48,42,28,36,26,238,MOLECULAR CELL
10,11.561,NUCLEIC ACIDS RES,557,16,65,73,82,38,50,31,30,26,15,131,MOLECULAR CELL
11,10.557,EMBO J,435,6,25,16,17,25,34,37,13,24,17,221,MOLECULAR CELL
12,3.813,MOL CELL BIOL,406,1,9,5,15,23,18,14,17,26,24,254,MOLECULAR CELL
13,13.333,NAT STRUCT MOL BIOL,381,13,33,25,30,53,39,41,45,20,16,66,MOLECULAR CELL
14,26.919,NAT METHODS,261,26,31,24,20,32,69,14,3,16,14,12,MOLECULAR CELL
15,12.353,NAT COMMUN,247,28,72,77,41,22,5,2,0,0,0,0,MOLECULAR CELL
16,8.032,CELL REP,245,14,75,48,47,42,19,0,0,0,0,0,MOLECULAR CELL
17,35.612,NAT REV MOL CELL BIO,239,6,25,34,24,24,23,13,17,17,11,45,MOLECULAR CELL
18,8.784,J CELL BIOL,220,4,10,19,13,20,7,13,16,8,11,99,MOLECULAR CELL
19,19.064,NAT CELL BIOL,218,4,20,14,16,19,12,19,8,25,13,68,MOLECULAR CELL
20,35.724,NAT BIOTECHNOL,204,29,42,21,27,18,4,11,18,2,15,17,MOLECULAR CELL
21,5.481,BIOINFORMATICS,189,1,1,19,16,19,8,10,46,46,2,21,MOLECULAR CELL
22,7.616,ELIFE,180,15,44,55,35,26,5,0,0,0,0,0,MOLECULAR CELL
23,5.540,PLOS GENET,174,1,10,27,38,26,20,16,12,8,8,8,MOLECULAR CELL
24,27.125,NAT GENET,168,6,17,14,11,8,8,11,4,11,10,68,MOLECULAR CELL
25,10.101,GENOME RES,165,6,19,10,22,22,29,14,8,7,4,24,MOLECULAR CELL
26,4.894,J MOL BIOL,162,4,19,5,2,5,5,8,9,5,6,94,MOLECULAR CELL
27,2.766,PLOS ONE,154,6,12,18,21,19,21,23,16,10,6,2,MOLECULAR CELL
28,13.214,GENOME BIOL,140,2,9,11,26,15,4,8,13,25,18,9,MOLECULAR CELL
29,3.099,ACTA CRYSTALLOGR D,127,0,0,3,1,6,5,7,70,3,1,31,MOLECULAR CELL
30,4.490,RNA,122,5,8,10,8,10,7,4,8,13,9,40,MOLECULAR CELL
31,9.251,CURR BIOL,119,3,8,3,7,5,7,6,5,9,4,62,MOLECULAR CELL
32,4.075,GENETICS,117,1,4,6,7,3,8,9,1,1,3,74,MOLECULAR CELL
33,3.512,MOL BIOL CELL,114,0,11,6,6,7,4,13,5,5,14,43,MOLECULAR CELL
34,20.154,ANNU REV BIOCHEM,113,5,10,6,9,13,19,5,4,9,2,31,MOLECULAR CELL
35,9.130,CANCER RES,108,0,2,7,12,9,7,10,6,7,3,45,MOLECULAR CELL
36,12.423,NAT PROTOC,106,1,4,9,6,24,17,4,3,10,6,22,MOLECULAR CELL
37,41.465,NAT REV GENET,96,2,11,16,19,6,8,8,4,5,4,13,MOLECULAR CELL
38,2.997,BIOCHEMISTRY-US,92,0,4,4,6,6,3,3,3,3,5,55,MOLECULAR CELL
39,8.749,EMBO REP,92,4,9,13,6,9,5,8,5,11,3,19,MOLECULAR CELL
40,6.854,ONCOGENE,92,2,9,6,3,5,1,0,2,6,10,48,MOLECULAR CELL
41,15.678,TRENDS BIOCHEM SCI,92,3,7,7,10,7,6,11,8,9,3,21,MOLECULAR CELL
42,9.616,DEV CELL,84,3,9,10,7,8,8,3,6,2,4,24,MOLECULAR CELL
43,1.984,METHOD ENZYMOL,84,2,5,6,4,1,2,2,3,2,3,54,MOLECULAR CELL
44,13.843,NAT CHEM BIOL,82,6,7,9,11,8,3,8,10,7,6,7,MOLECULAR CELL
45,20.565,CELL METAB,77,2,5,9,9,12,8,8,2,3,7,12,MOLECULAR CELL
46,3.857,BIOCHEM J,76,2,4,8,5,5,4,4,1,5,7,31,MOLECULAR CELL
47,4.401,J CELL SCI,71,1,6,6,9,6,7,6,1,6,0,23,MOLECULAR CELL
48, ,METHOD MOL BIOL,71,5,9,6,7,2,9,5,2,9,1,16,MOLECULAR CELL
49,22.844,CANCER CELL,69,2,4,13,6,5,13,5,4,5,4,8,MOLECULAR CELL
50,3.219,J BACTERIOL,68,1,0,1,1,0,3,0,1,0,3,58,MOLECULAR CELL
51,15.393,CELL RES,66,12,14,10,10,7,3,4,1,3,2,0,MOLECULAR CELL
52,5.236,MOL CELL PROTEOMICS,64,2,5,5,10,3,12,10,2,0,1,14,MOLECULAR CELL
53,42.784,NAT REV CANCER,64,0,7,4,4,6,6,6,3,12,5,11,MOLECULAR CELL
54,3.304,CELL CYCLE,62,1,4,4,9,6,8,4,9,2,6,9,MOLECULAR CELL
55,23.290,CELL STEM CELL,61,2,8,9,15,9,6,4,3,2,2,1,MOLECULAR CELL
56,19.734,IMMUNITY,60,0,7,2,3,13,3,5,4,5,1,17,MOLECULAR CELL
57,2.559,BIOCHEM BIOPH RES CO,58,1,5,6,4,2,2,0,3,1,2,32,MOLECULAR CELL
58,3.433,J STRUCT BIOL,58,0,1,10,0,1,9,2,1,3,0,31,MOLECULAR CELL
59,9.163,PLOS BIOL,58,0,4,1,3,5,0,6,11,6,3,19,MOLECULAR CELL
60,31.851,NAT REV MICROBIOL,57,7,9,15,6,4,0,12,1,1,0,2,MOLECULAR CELL
61,4.907,STRUCTURE,57,2,5,12,9,9,5,0,2,0,2,11,MOLECULAR CELL
62,4.461,DNA REPAIR,56,1,5,4,9,7,3,3,6,6,4,8,MOLECULAR CELL
63,9.247,CSH PERSPECT BIOL,55,1,1,11,7,22,8,4,1,0,0,0,MOLECULAR CELL
64,18.564,TRENDS CELL BIOL,55,2,14,5,11,0,5,3,5,2,2,6,MOLECULAR CELL
65,21.809,NAT IMMUNOL,54,2,4,4,8,1,3,2,4,1,4,21,MOLECULAR CELL
66,2.999,FEBS LETT,53,2,3,4,0,3,4,2,5,2,2,26,MOLECULAR CELL
67,3.816,MOL MICROBIOL,52,0,3,3,3,0,4,4,4,3,2,26,MOLECULAR CELL
68,8.500,MOL SYST BIOL,52,0,6,3,4,0,2,18,6,1,3,9,MOLECULAR CELL
69,5.413,DEVELOPMENT,51,0,3,3,4,3,1,3,4,3,2,25,MOLECULAR CELL
70,9.589,ANNU REV GENET,50,0,4,4,2,8,4,4,3,3,3,15,MOLECULAR CELL
71,2.283,YEAST,50,0,0,0,1,2,2,0,1,2,1,41,MOLECULAR CELL
72,10.790,J EXP MED,48,1,4,1,3,2,2,2,7,4,2,20,MOLECULAR CELL
73,13.251,J CLIN INVEST,47,0,6,6,4,5,6,1,3,1,1,14,MOLECULAR CELL
74,4.539,J IMMUNOL,47,0,2,4,7,4,3,1,1,2,2,21,MOLECULAR CELL
75,32.621,NAT MED,47,6,4,5,7,8,0,5,1,1,3,7,MOLECULAR CELL
76,4.902,HUM MOL GENET,46,0,2,4,3,2,4,1,0,4,5,21,MOLECULAR CELL
77,15.132,BLOOD,45,0,1,2,2,1,3,4,4,6,1,21,MOLECULAR CELL
78,14.319,NEURON,45,4,2,8,3,7,0,4,1,2,3,11,MOLECULAR CELL
79,4.122,SCI REP-UK,45,5,15,18,2,5,0,0,0,0,0,0,MOLECULAR CELL
80,6.378,SCI SIGNAL,44,1,1,6,9,8,4,6,6,3,0,0,MOLECULAR CELL
81,3.998,METHODS,39,3,1,3,5,1,3,3,3,0,0,17,MOLECULAR CELL
82,10.015,CURR OPIN CELL BIOL,38,2,4,3,0,4,2,3,7,2,0,11,MOLECULAR CELL
83,10.556,TRENDS GENET,38,0,8,2,1,4,5,3,1,0,1,13,MOLECULAR CELL
84,11.100,AUTOPHAGY,36,0,9,2,2,2,3,2,8,1,0,7,MOLECULAR CELL
85,8.000,CELL DEATH DIFFER,36,2,4,4,8,3,3,0,5,1,2,4,MOLECULAR CELL
