Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"61,604",14.248,13.717,14.703,3.292,312,7.5,6.5,0.181,8.482,94.87,21.15100,96.46900,MOLECULAR CELL
2016,"57,961",14.714,14.206,14.370,3.013,316,7.2,5.6,0.18412,8.389,92.09,21.12230,96.02500,MOLECULAR CELL
2015,"53,714",13.958,13.492,14.708,3.100,329,7.2,5.7,0.19256,8.483,91.79,21.94835,96.85400,MOLECULAR CELL
2014,"53,786",14.018,13.568,15.052,3.625,304,6.8,5.6,0.20063,8.463,93.09,22.47107,96.19800,MOLECULAR CELL
2013,"52,033",14.464,13.950,15.324,3.819,309,6.5,5.3,0.22564,9.138,92.56,24.87023,96.93000,MOLECULAR CELL
2012,"47,818",15.280,14.819,14.902,2.818,296,6.2,5.6,0.22828,8.708,96.62,Not Available,97.37000,MOLECULAR CELL
2011,"44,493",14.178,13.735,14.202,2.875,288,5.9,5.4,0.25075,8.948,94.79,Not Available,97.15200,MOLECULAR CELL
2010,"42,991",14.194,13.653,14.447,3.010,304,5.7,5.0,0.2629,8.933,92.76,Not Available,96.93200,MOLECULAR CELL
2009,"38,987",14.608,14.019,13.929,2.760,296,5.3,5.2,0.3002,9.397,94.26,Not Available,96.53700,MOLECULAR CELL
2008,"33,963",12.903,12.419,12.930,2.748,298,5.0,5.3,0.28502,8.384,95.97,Not Available,95.79300,MOLECULAR CELL
2007,"32,259",13.156,12.631,13.950,3.010,315,4.6,4.9,0.30858,9.122,94.92,Not Available,95.52900,MOLECULAR CELL
2006,"29,790",14.033,13.576,Not Available,3.048,315,4.2,4.9,Not Available,Not Available,93.65,Not Available,96.22600,MOLECULAR CELL
2005,"27,077",14.971,14.328,Not Available,3.212,293,3.8,4.6,Not Available,Not Available,95.56,Not Available,96.82200,MOLECULAR CELL
2004,"24,158",16.811,16.219,Not Available,3.188,314,3.5,4.5,Not Available,Not Available,95.86,Not Available,97.55500,MOLECULAR CELL
2003,"19,510",16.835,16.291,Not Available,3.212,297,3.2,4.3,Not Available,Not Available,97.31,Not Available,96.92600,MOLECULAR CELL
2002,"16,125",16.471,16.036,Not Available,3.107,271,2.8,4.1,Not Available,Not Available,94.83,Not Available,96.89100,MOLECULAR CELL
2001,"12,084",16.611,16.229,Not Available,3.325,252,2.4,4.0,Not Available,Not Available,98.41,Not Available,96.23100,MOLECULAR CELL
2000,"7,836",18.195,17.770,Not Available,2.846,247,2.0,3.9,Not Available,Not Available,100.00,Not Available,97.40300,MOLECULAR CELL
1999,"4,254",18.142,17.730,Not Available,3.435,193,1.4,3.8,Not Available,Not Available,100.00,Not Available,97.47200,MOLECULAR CELL
1998,908,12.400,11.600,Not Available,3.896,182,0.6,3.8,Not Available,Not Available,100.00,Not Available,95.33200,MOLECULAR CELL
