,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,18460,761,2171,1996,2094,1747,1408,1095,1099,955,837,4297,MOLECULAR PSYCHIATRY
2,,ALL OTHERS (866),866,22,86,93,94,75,68,58,54,47,40,229,MOLECULAR PSYCHIATRY
3,4.122,SCI REP-UK,613,36,69,63,81,42,43,39,37,38,36,129,MOLECULAR PSYCHIATRY
4,4.691,TRANSL PSYCHIAT,566,26,98,53,65,68,38,28,21,29,23,117,MOLECULAR PSYCHIATRY
5,11.640,MOL PSYCHIATR,536,26,71,82,85,58,42,35,27,26,17,67,MOLECULAR PSYCHIATRY
6,8.037,NEUROSCI BIOBEHAV R,394,9,45,46,32,43,20,27,13,28,28,103,MOLECULAR PSYCHIATRY
7,2.766,PLOS ONE,293,6,22,30,43,33,21,18,17,15,7,81,MOLECULAR PSYCHIATRY
8,6.544,NEUROPSYCHOPHARMACOL,274,9,46,24,32,28,20,21,25,19,13,37,MOLECULAR PSYCHIATRY
9,11.984,BIOL PSYCHIAT,272,10,38,42,35,29,35,25,10,6,12,30,MOLECULAR PSYCHIATRY
10,3.786,J AFFECT DISORDERS,203,3,25,19,26,24,15,9,15,11,8,48,MOLECULAR PSYCHIATRY
11,3.173,BEHAV BRAIN RES,200,2,22,15,20,18,11,14,7,13,11,67,MOLECULAR PSYCHIATRY
12,4.249,NEUROPHARMACOLOGY,199,4,11,16,24,23,19,13,10,10,6,63,MOLECULAR PSYCHIATRY
13,5.076,MOL NEUROBIOL,182,3,7,22,25,16,6,13,13,14,5,58,MOLECULAR PSYCHIATRY
14,4.000,J PSYCHIATR RES,170,4,20,22,17,18,14,6,12,5,11,41,MOLECULAR PSYCHIATRY
15,3.016,AM J MED GENET B,168,5,26,24,14,23,16,14,7,1,7,31,MOLECULAR PSYCHIATRY
16,4.185,PROG NEURO-PSYCHOPH,158,3,10,18,20,23,12,9,13,4,8,38,MOLECULAR PSYCHIATRY
17,4.129,EUR NEUROPSYCHOPHARM,153,8,19,20,15,18,13,5,12,10,7,26,MOLECULAR PSYCHIATRY
18,3.958,SCHIZOPHR RES,147,0,24,17,15,10,17,11,6,1,9,37,MOLECULAR PSYCHIATRY
19,5.971,J NEUROSCI,145,10,24,18,11,14,10,6,6,3,4,39,MOLECULAR PSYCHIATRY
20,6.306,BRAIN BEHAV IMMUN,140,4,28,16,21,9,7,8,10,9,10,18,MOLECULAR PSYCHIATRY
21,3.687,INT J MOL SCI,136,8,17,16,12,10,8,6,6,3,11,39,MOLECULAR PSYCHIATRY
22,2.857,FRONT PSYCHIATRY,133,8,20,11,17,11,9,3,6,6,4,38,MOLECULAR PSYCHIATRY
23,3.877,FRONT NEUROSCI-SWITZ,127,11,22,10,17,9,6,4,3,8,7,30,MOLECULAR PSYCHIATRY
24,3.382,NEUROSCIENCE,126,1,7,15,8,17,9,6,9,5,7,42,MOLECULAR PSYCHIATRY
