,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,13399,97,694,1273,1355,1260,1047,972,871,708,624,4498,MOLECULAR PSYCHIATRY
2, ,ALL OTHERS (889),889,8,46,97,71,79,51,39,52,32,37,377,MOLECULAR PSYCHIATRY
3,11.640,MOL PSYCHIATR,536,26,71,82,85,58,42,35,27,26,17,67,MOLECULAR PSYCHIATRY
4,5.971,J NEUROSCI,494,0,9,24,35,41,37,38,40,29,31,210,MOLECULAR PSYCHIATRY
5,41.577,NATURE,444,3,32,35,64,41,35,57,28,24,23,102,MOLECULAR PSYCHIATRY
6,11.984,BIOL PSYCHIAT,397,7,27,42,36,40,22,31,30,29,23,110,MOLECULAR PSYCHIATRY
7,9.504,P NATL ACAD SCI USA,379,1,4,32,33,27,28,32,33,18,14,157,MOLECULAR PSYCHIATRY
8,14.319,NEURON,363,1,10,36,39,43,28,30,19,19,8,130,MOLECULAR PSYCHIATRY
9,41.058,SCIENCE,270,0,8,13,14,27,14,10,14,9,15,146,MOLECULAR PSYCHIATRY
10,19.912,NAT NEUROSCI,251,1,17,37,34,30,15,17,13,20,9,58,MOLECULAR PSYCHIATRY
11,13.396,AM J PSYCHIAT,246,2,12,9,18,10,13,15,19,7,12,129,MOLECULAR PSYCHIATRY
12,6.544,NEUROPSYCHOPHARMACOL,227,2,12,20,25,18,26,15,21,9,18,61,MOLECULAR PSYCHIATRY
13, ,ARCH GEN PSYCHIAT,203,0,0,0,0,1,13,15,20,9,6,139,MOLECULAR PSYCHIATRY
14,27.125,NAT GENET,198,2,9,14,18,23,14,28,13,8,18,51,MOLECULAR PSYCHIATRY
15,5.426,NEUROIMAGE,197,0,8,16,14,22,23,14,19,11,9,61,MOLECULAR PSYCHIATRY
16,31.398,CELL,194,0,9,14,20,24,17,13,15,4,5,73,MOLECULAR PSYCHIATRY
17,2.766,PLOS ONE,194,0,8,16,25,33,40,30,18,15,5,4,MOLECULAR PSYCHIATRY
18,32.635,NAT REV NEUROSCI,166,0,5,18,7,22,14,9,12,15,6,58,MOLECULAR PSYCHIATRY
19,4.011,J BIOL CHEM,153,0,0,7,4,5,12,16,4,5,7,93,MOLECULAR PSYCHIATRY
20,8.855,AM J HUM GENET,114,0,7,3,3,10,15,11,6,7,8,44,MOLECULAR PSYCHIATRY
