Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"18,460",11.640,11.212,12.439,4.181,182,5.3,7.0,0.047,4.523,90.11,5.50900,96.29400,MOLECULAR PSYCHIATRY
2016,"17,452",13.204,12.729,13.328,3.005,191,5.4,6.7,0.04958,5.161,91.10,5.69158,97.46600,MOLECULAR PSYCHIATRY
2015,"15,797",13.314,12.773,13.274,2.892,167,5.6,6.7,0.0444,4.877,86.83,5.06037,97.58200,MOLECULAR PSYCHIATRY
2014,"14,510",14.496,13.887,13.834,3.152,151,5.4,6.4,0.04317,5.007,94.04,4.83547,98.50400,MOLECULAR PSYCHIATRY
2013,"13,902",15.147,14.422,14.196,3.500,132,5.4,6.6,0.03924,4.672,86.36,4.32449,98.88100,MOLECULAR PSYCHIATRY
2012,"12,686",14.897,14.275,13.985,3.879,116,5.3,6.1,0.04215,5.060,81.03,Not Available,98.50000,MOLECULAR PSYCHIATRY
2011,"11,679",13.668,13.119,12.992,3.676,102,5.3,6.5,0.04057,4.647,88.24,Not Available,98.35200,MOLECULAR PSYCHIATRY
2010,"11,337",15.470,14.762,13.253,3.248,101,5.1,6.7,0.04398,4.772,90.10,Not Available,98.85700,MOLECULAR PSYCHIATRY
2009,"10,188",15.049,14.489,12.959,3.000,92,4.7,6.2,0.04801,4.737,84.78,Not Available,98.70500,MOLECULAR PSYCHIATRY
2008,"9,464",12.537,11.931,11.937,4.161,93,4.4,5.6,0.04612,4.247,87.10,Not Available,97.49400,MOLECULAR PSYCHIATRY
2007,"7,900",10.900,10.223,9.671,1.910,89,4.3,5.7,0.04232,3.205,77.53,Not Available,96.85700,MOLECULAR PSYCHIATRY
2006,"6,915",11.804,10.872,Not Available,1.950,101,4.0,5.2,Not Available,Not Available,83.17,Not Available,97.17600,MOLECULAR PSYCHIATRY
2005,"5,707",9.335,8.385,Not Available,2.010,100,3.6,5.6,Not Available,Not Available,75.00,Not Available,95.94400,MOLECULAR PSYCHIATRY
2004,"4,742",6.943,6.349,Not Available,2.135,104,3.5,5.0,Not Available,Not Available,84.62,Not Available,93.28900,MOLECULAR PSYCHIATRY
2003,"3,824",5.539,5.224,Not Available,1.219,96,3.5,5.4,Not Available,Not Available,87.50,Not Available,90.58700,MOLECULAR PSYCHIATRY
2002,"2,671",5.497,4.679,Not Available,0.665,167,3.4,5.4,Not Available,Not Available,94.01,Not Available,90.08600,MOLECULAR PSYCHIATRY
2001,"2,345",6.250,5.443,Not Available,0.950,100,3.1,5.0,Not Available,Not Available,97.00,Not Available,91.79800,MOLECULAR PSYCHIATRY
2000,"2,169",8.927,8.058,Not Available,1.115,87,2.7,5.1,Not Available,Not Available,94.25,Not Available,95.89800,MOLECULAR PSYCHIATRY
1999,"1,352",7.942,6.694,Not Available,1.123,73,2.3,4.0,Not Available,Not Available,95.89,Not Available,95.59600,MOLECULAR PSYCHIATRY
1998,703,4.756,4.083,Not Available,1.172,64,1.8,4.0,Not Available,Not Available,95.31,Not Available,90.13500,MOLECULAR PSYCHIATRY
1997,229,2.162,1.621,Not Available,1.211,57,1.2,3.8,Not Available,Not Available,87.72,Not Available,65.77600,MOLECULAR PSYCHIATRY
