,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,26512,499,1634,2195,1765,1974,1625,1977,2200,1432,2056,9155,MOVEMENT DISORDERS
2,,ALL OTHERS (651),651,10,27,44,42,59,33,42,49,37,57,251,MOVEMENT DISORDERS
3,8.324,MOVEMENT DISORD,1461,136,182,153,94,95,79,102,92,59,80,389,MOVEMENT DISORDERS
4,2.371,INT REV NEUROBIOL,1408,12,103,128,83,62,99,146,121,109,97,448,MOVEMENT DISORDERS
5,4.721,PARKINSONISM RELAT D,975,3,62,73,51,69,56,73,114,54,76,344,MOVEMENT DISORDERS
6,,MOV DISORD CLIN PRAC,613,7,32,64,34,43,36,36,58,46,46,211,MOVEMENT DISORDERS
7,3.508,FRONT NEUROL,599,11,38,35,37,66,28,46,56,21,56,205,MOVEMENT DISORDERS
8,2.448,J NEUROL SCI,582,2,30,27,26,30,32,45,57,39,62,232,MOVEMENT DISORDERS
9,2.766,PLOS ONE,482,5,27,38,42,28,41,34,39,23,45,160,MOVEMENT DISORDERS
10,3.172,J PARKINSON DIS,413,5,35,49,30,32,38,29,31,30,30,104,MOVEMENT DISORDERS
11,4.122,SCI REP-UK,413,5,26,41,34,35,21,35,41,18,29,128,MOVEMENT DISORDERS
12,2.779,J NEURAL TRANSM,410,8,33,40,25,23,18,39,40,28,21,135,MOVEMENT DISORDERS
13,8.055,NEUROLOGY,294,7,21,40,17,25,20,21,27,7,24,85,MOVEMENT DISORDERS
14,3.783,J NEUROL,272,3,16,24,15,16,20,24,19,9,28,98,MOVEMENT DISORDERS
15,2.117,PARKINSONS DIS-US,262,2,14,24,12,16,12,13,26,11,25,107,MOVEMENT DISORDERS
16,3.696,EXPERT REV NEUROTHER,249,8,13,23,12,9,14,20,24,20,14,92,MOVEMENT DISORDERS
17,3.478,CURR NEUROL NEUROSCI,245,14,34,27,30,15,18,10,16,8,14,59,MOVEMENT DISORDERS
18,4.621,EUR J NEUROL,232,2,12,19,19,16,18,22,22,16,13,73,MOVEMENT DISORDERS
19,1.870,SEMIN NEUROL,225,4,22,19,15,12,17,12,14,18,14,78,MOVEMENT DISORDERS
20,3.582,FRONT AGING NEUROSCI,209,1,14,22,14,22,18,11,15,11,16,65,MOVEMENT DISORDERS
21,10.848,BRAIN,198,3,21,27,10,17,17,15,16,7,7,58,MOVEMENT DISORDERS
22,,NPJ PARKINSON DIS,194,1,9,22,13,12,16,11,18,11,15,66,MOVEMENT DISORDERS
23,3.614,CLIN NEUROPHYSIOL,182,3,7,14,15,13,5,14,16,10,15,70,MOVEMENT DISORDERS
24,2.285,NEUROL SCI,182,0,8,8,7,18,15,17,13,10,12,74,MOVEMENT DISORDERS
25,,HAND CLINIC,172,0,0,9,35,10,10,10,14,10,25,49,MOVEMENT DISORDERS
26,3.869,NEUROIMAGE-CLIN,171,1,16,25,16,13,13,15,11,8,14,39,MOVEMENT DISORDERS
27,19.819,NAT REV NEUROL,166,1,18,16,13,8,13,14,14,9,15,45,MOVEMENT DISORDERS
28,3.126,ACTA NEUROL SCAND,165,0,5,11,12,9,9,8,19,9,10,73,MOVEMENT DISORDERS
29,1.590,ARCH CLIN NEUROPSYCH,164,4,12,6,13,7,17,20,6,5,11,63,MOVEMENT DISORDERS
30,14.163,PROG NEUROBIOL,155,0,2,18,13,16,4,9,12,9,6,66,MOVEMENT DISORDERS
31,7.144,J NEUROL NEUROSUR PS,151,1,12,9,11,16,10,17,18,11,14,32,MOVEMENT DISORDERS
32,3.395,SLEEP MED,151,0,0,5,2,6,7,10,14,12,22,73,MOVEMENT DISORDERS
33,5.872,TRANSL NEURODEGENER,150,4,16,14,14,4,16,8,11,6,7,50,MOVEMENT DISORDERS
34,3.877,FRONT NEUROSCI-SWITZ,145,7,10,13,8,13,13,10,13,6,10,42,MOVEMENT DISORDERS
35,2.159,NEUROSCI LETT,145,0,11,11,7,16,10,16,14,14,9,37,MOVEMENT DISORDERS
36,4.927,HUM BRAIN MAPP,135,3,8,9,7,11,7,12,9,7,11,51,MOVEMENT DISORDERS
37,2.195,NEUROPSYCH DIS TREAT,134,0,8,10,13,10,8,12,16,10,14,33,MOVEMENT DISORDERS
38,2.273,GAIT POSTURE,131,0,4,8,2,19,4,3,10,12,19,50,MOVEMENT DISORDERS
39,8.037,NEUROSCI BIOBEHAV R,127,0,5,14,8,9,15,14,3,4,9,46,MOVEMENT DISORDERS
40,27.144,LANCET NEUROL,124,7,22,10,10,12,14,8,10,8,8,15,MOVEMENT DISORDERS
41,10.250,ANN NEUROL,123,9,15,12,6,13,14,4,5,3,10,32,MOVEMENT DISORDERS
42,2.219,BRAIN BEHAV,120,0,5,7,2,11,8,10,13,8,10,46,MOVEMENT DISORDERS
43,1.736,CLIN NEUROL NEUROSUR,120,4,8,5,5,4,8,13,13,13,11,36,MOVEMENT DISORDERS
44,11.460,JAMA NEUROL,112,0,10,15,9,6,8,11,7,6,3,37,MOVEMENT DISORDERS
45,3.382,NEUROSCIENCE,111,1,5,11,6,14,4,5,11,2,12,40,MOVEMENT DISORDERS
46,4.483,EXP NEUROL,110,6,12,9,9,17,9,5,11,4,2,26,MOVEMENT DISORDERS
47,2.166,NEUROL INDIA,110,1,1,1,10,14,4,4,8,4,4,59,MOVEMENT DISORDERS
48,3.155,NEUROSCI BULL,109,2,16,17,11,3,13,9,6,7,4,21,MOVEMENT DISORDERS
49,5.227,NEUROBIOL DIS,106,2,6,15,7,7,5,8,9,8,7,32,MOVEMENT DISORDERS
50,3.199,CEREBELLUM,105,0,4,12,10,15,6,6,9,5,9,29,MOVEMENT DISORDERS
51,2.871,FRONT HUM NEUROSCI,101,0,5,8,3,6,3,11,12,7,9,37,MOVEMENT DISORDERS
52,2.170,BMC NEUROL,100,1,5,13,3,7,7,8,11,8,13,24,MOVEMENT DISORDERS
53,1.924,WORLD NEUROSURG,98,2,4,3,5,5,5,9,4,3,5,53,MOVEMENT DISORDERS
54,2.832,EUR J NEUROSCI,96,0,12,8,8,6,8,8,8,3,7,28,MOVEMENT DISORDERS
55,,BRAIN SCI,94,4,3,11,7,9,7,5,7,2,7,32,MOVEMENT DISORDERS
56,5.076,MOL NEUROBIOL,93,0,1,5,5,9,7,9,7,6,5,39,MOVEMENT DISORDERS
57,5.135,SLEEP,93,3,2,12,6,3,11,13,11,2,8,22,MOVEMENT DISORDERS
58,2.362,EUR J PAEDIATR NEURO,92,0,2,2,4,39,3,8,12,3,1,18,MOVEMENT DISORDERS
59,4.454,NEUROBIOL AGING,89,2,11,10,6,5,6,9,7,5,9,19,MOVEMENT DISORDERS
60,0.738,NERVENARZT,86,4,11,11,9,5,5,6,6,2,6,21,MOVEMENT DISORDERS
61,3.077,ARCH PHYS MED REHAB,83,0,2,2,3,9,1,8,7,10,7,34,MOVEMENT DISORDERS
62,4.010,CURR OPIN NEUROL,80,8,9,10,11,1,7,8,4,2,2,18,MOVEMENT DISORDERS
63,1.848,INT J NEUROSCI,78,0,2,6,5,10,2,5,6,6,6,30,MOVEMENT DISORDERS
64,2.028,MEDICINE,77,0,3,3,2,3,2,4,9,4,6,41,MOVEMENT DISORDERS
65,0.508,CESK SLOV NEUROL N,75,0,4,14,2,2,2,3,9,3,5,31,MOVEMENT DISORDERS
66,2.183,J GERIATR PSYCH NEUR,75,0,0,2,8,4,7,9,6,1,12,26,MOVEMENT DISORDERS
67,32.635,NAT REV NEUROSCI,73,0,6,8,11,4,7,4,6,3,5,19,MOVEMENT DISORDERS
68,3.076,NEUROTOXICOLOGY,67,0,1,1,3,3,13,5,10,5,6,20,MOVEMENT DISORDERS
69,4.649,ANN CLIN TRANSL NEUR,66,0,5,6,3,4,5,8,6,4,3,22,MOVEMENT DISORDERS
70,,J MOV DISORD,66,0,13,1,2,4,2,5,7,3,4,25,MOVEMENT DISORDERS
71,,J HUNTINGTONS DIS,65,1,0,3,14,4,8,1,7,1,7,19,MOVEMENT DISORDERS
72,3.687,INT J MOL SCI,64,4,2,5,7,4,5,2,4,5,2,24,MOVEMENT DISORDERS
73,3.476,J ALZHEIMERS DIS,64,0,4,6,4,6,5,4,5,1,4,25,MOVEMENT DISORDERS
74,2.006,CAN J NEUROL SCI,63,0,0,4,2,0,3,4,6,2,8,34,MOVEMENT DISORDERS
75,,NEURODEGENER DIS MAN,63,1,3,3,5,0,3,7,6,2,6,27,MOVEMENT DISORDERS
76,2.774,NEUROMODULATION,63,1,2,1,3,3,2,9,8,1,2,31,MOVEMENT DISORDERS
77,1.648,STEREOT FUNCT NEUROS,62,1,3,0,5,3,2,2,9,2,4,31,MOVEMENT DISORDERS
78,2.785,NEURODEGENER DIS,61,1,1,6,8,3,3,4,5,1,8,21,MOVEMENT DISORDERS
79,3.719,BRAIN IMAGING BEHAV,60,0,0,5,9,3,2,11,4,0,7,19,MOVEMENT DISORDERS
80,4.907,CORTEX,60,0,1,4,5,2,3,8,6,3,6,22,MOVEMENT DISORDERS
81,,J PARKINSONISM RESTL,59,1,1,3,4,1,1,5,3,7,13,20,MOVEMENT DISORDERS
82,2.633,CURR TREAT OPTION NE,58,3,2,4,1,2,7,5,5,3,4,22,MOVEMENT DISORDERS
83,2.777,J INT NEUROPSYCH SOC,58,0,3,1,5,4,8,5,4,3,4,21,MOVEMENT DISORDERS
84,16.071,NAT REV DIS PRIMERS,57,3,8,12,2,5,4,6,5,1,3,8,MOVEMENT DISORDERS
85,1.131,ANN INDIAN ACAD NEUR,56,1,1,7,3,4,0,7,6,2,5,20,MOVEMENT DISORDERS
86,3.633,J NEUROL PHYS THER,56,0,0,4,1,8,1,5,7,2,11,17,MOVEMENT DISORDERS
87,,ONCOTARGET,56,1,4,10,1,3,0,8,7,3,3,16,MOVEMENT DISORDERS
