,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,11447,353,982,979,877,862,692,684,620,565,526,4307,MOVEMENT DISORDERS
2, ,ALL OTHERS (745),745,24,51,59,49,43,38,48,29,31,22,351,MOVEMENT DISORDERS
3,8.324,MOVEMENT DISORD,1461,136,182,153,94,95,79,102,92,59,80,389,MOVEMENT DISORDERS
4,8.055,NEUROLOGY,797,7,50,59,56,52,35,41,34,41,41,381,MOVEMENT DISORDERS
5,10.848,BRAIN,569,15,34,40,41,46,28,36,40,37,28,224,MOVEMENT DISORDERS
6,7.144,J NEUROL NEUROSUR PS,344,5,26,25,25,19,12,14,14,19,23,162,MOVEMENT DISORDERS
7,10.250,ANN NEUROL,332,7,26,26,10,21,27,18,9,13,7,168,MOVEMENT DISORDERS
8,4.721,PARKINSONISM RELAT D,301,7,54,47,45,28,30,23,7,19,9,32,MOVEMENT DISORDERS
9,27.144,LANCET NEUROL,230,6,19,29,16,33,15,22,18,24,19,29,MOVEMENT DISORDERS
10,5.971,J NEUROSCI,191,1,8,4,13,12,12,11,11,17,19,83,MOVEMENT DISORDERS
11, ,ARCH NEUROL-CHICAGO,188,0,0,0,0,0,14,16,21,10,15,112,MOVEMENT DISORDERS
12,3.783,J NEUROL,153,2,10,18,11,21,5,13,9,7,10,47,MOVEMENT DISORDERS
13,2.766,PLOS ONE,139,1,9,22,26,28,21,15,5,9,2,1,MOVEMENT DISORDERS
14,15.876,ACTA NEUROPATHOL,134,3,14,5,13,5,14,5,10,8,7,50,MOVEMENT DISORDERS
15,3.395,SLEEP MED,134,2,15,11,13,27,7,9,12,8,3,27,MOVEMENT DISORDERS
16,79.260,NEW ENGL J MED,133,0,11,4,2,12,5,0,6,7,4,82,MOVEMENT DISORDERS
17,5.426,NEUROIMAGE,126,0,2,11,8,2,13,12,7,12,3,56,MOVEMENT DISORDERS
18,9.504,P NATL ACAD SCI USA,114,2,7,5,4,14,1,6,4,9,10,52,MOVEMENT DISORDERS
19,41.058,SCIENCE,112,2,7,2,2,5,7,0,1,6,6,74,MOVEMENT DISORDERS
20,14.319,NEURON,103,5,8,8,6,10,4,13,2,6,4,37,MOVEMENT DISORDERS
21,4.319,J NEUROSURG,98,0,0,6,6,7,3,0,10,1,5,60,MOVEMENT DISORDERS
22,2.448,J NEUROL SCI,94,4,9,5,8,7,3,6,6,4,4,38,MOVEMENT DISORDERS
23,4.483,EXP NEUROL,93,1,0,1,1,16,9,4,9,13,8,31,MOVEMENT DISORDERS
24,41.577,NATURE,92,3,6,6,2,4,5,4,7,5,1,49,MOVEMENT DISORDERS
25,27.125,NAT GENET,86,5,5,2,9,2,3,5,4,8,1,42,MOVEMENT DISORDERS
26,8.855,AM J HUM GENET,84,0,9,3,3,6,12,12,4,1,6,28,MOVEMENT DISORDERS
27,5.227,NEUROBIOL DIS,79,0,7,3,11,5,14,9,13,4,0,13,MOVEMENT DISORDERS
28,4.454,NEUROBIOL AGING,78,6,9,10,9,6,8,2,1,0,2,25,MOVEMENT DISORDERS
29,4.621,EUR J NEUROL,74,4,8,10,7,7,5,4,11,4,2,12,MOVEMENT DISORDERS
30,11.460,JAMA NEUROL,72,2,7,25,16,21,0,0,0,0,0,1,MOVEMENT DISORDERS
31,53.254,LANCET,69,0,1,8,3,1,0,2,1,3,0,50,MOVEMENT DISORDERS
32,5.135,SLEEP,69,0,7,4,9,6,1,7,2,2,3,28,MOVEMENT DISORDERS
33,2.779,J NEURAL TRANSM,61,4,6,11,4,2,8,4,3,0,2,17,MOVEMENT DISORDERS
34,4.902,HUM MOL GENET,53,1,1,8,7,2,4,6,3,2,2,17,MOVEMENT DISORDERS
35,3.125,BRAIN RES,52,0,1,1,2,0,2,1,1,1,0,43,MOVEMENT DISORDERS
36,2.502,J NEUROPHYSIOL,51,0,1,2,1,0,4,2,2,3,2,34,MOVEMENT DISORDERS
37,19.912,NAT NEUROSCI,49,0,2,6,6,5,2,3,3,0,1,21,MOVEMENT DISORDERS
38,11.439,TRENDS NEUROSCI,49,0,1,0,2,0,1,1,1,4,0,39,MOVEMENT DISORDERS
39,3.614,CLIN NEUROPHYSIOL,48,0,5,0,1,3,5,3,3,4,5,19,MOVEMENT DISORDERS
40,4.475,NEUROSURGERY,48,0,2,0,1,1,6,2,6,0,4,26,MOVEMENT DISORDERS
41,4.609,J NEUROCHEM,46,0,9,0,1,0,5,2,2,2,2,23,MOVEMENT DISORDERS
42,2.159,NEUROSCI LETT,46,0,3,0,1,2,3,2,4,5,1,25,MOVEMENT DISORDERS
43,1.648,STEREOT FUNCT NEUROS,46,0,4,1,1,4,1,1,2,2,4,26,MOVEMENT DISORDERS
44,6.308,CEREB CORTEX,45,4,3,2,3,2,1,2,8,6,2,12,MOVEMENT DISORDERS
45,3.382,NEUROSCIENCE,45,2,2,2,5,2,4,5,1,4,2,16,MOVEMENT DISORDERS
46,4.927,HUM BRAIN MAPP,42,2,6,6,6,2,2,6,1,1,2,8,MOVEMENT DISORDERS
47,2.832,EUR J NEUROSCI,41,2,0,0,2,1,2,0,4,2,2,26,MOVEMENT DISORDERS
48,11.984,BIOL PSYCHIAT,40,0,4,5,4,1,0,1,0,5,2,18,MOVEMENT DISORDERS
49,3.490,J NEUROPATH EXP NEUR,39,0,3,0,0,1,1,1,0,3,4,26,MOVEMENT DISORDERS
50,19.819,NAT REV NEUROL,38,3,4,16,4,3,2,1,3,2,0,0,MOVEMENT DISORDERS
51,3.126,ACTA NEUROL SCAND,37,2,1,3,6,3,3,1,1,0,2,15,MOVEMENT DISORDERS
52,4.011,J BIOL CHEM,37,0,2,2,6,2,0,1,2,4,2,16,MOVEMENT DISORDERS
53,3.172,J PARKINSON DIS,35,2,11,8,10,1,1,2,0,0,0,0,MOVEMENT DISORDERS
54,32.635,NAT REV NEUROSCI,35,2,1,5,0,3,0,2,2,2,4,14,MOVEMENT DISORDERS
55,31.398,CELL,33,2,6,2,1,1,1,2,1,1,0,16,MOVEMENT DISORDERS
