Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"26,512",8.324,7.595,7.523,2.613,191,7.7,7.4,0.038,2.255,80.63,4.43400,94.67000,MOVEMENT DISORDERS
2016,"23,012",7.072,6.342,6.375,1.702,218,7.3,6.8,0.03649,1.863,83.49,4.19338,93.55700,MOVEMENT DISORDERS
2015,"19,896",6.010,5.340,5.366,1.694,242,7.0,6.8,0.04014,1.744,78.51,4.57477,93.00500,MOVEMENT DISORDERS
2014,"18,803",5.680,5.057,4.983,1.358,243,6.5,6.9,0.0392,1.522,86.83,4.39031,92.44800,MOVEMENT DISORDERS
2013,"18,905",5.634,4.915,5.251,1.509,265,6.0,6.5,0.04518,1.563,75.47,4.98022,93.04100,MOVEMENT DISORDERS
2012,"16,467",4.558,4.057,4.513,1.119,253,5.6,6.7,0.04588,1.373,88.54,Not Available,87.82400,MOVEMENT DISORDERS
2011,"16,010",4.505,3.761,4.449,0.908,359,5.3,7.1,0.04557,1.260,81.06,Not Available,87.76000,MOVEMENT DISORDERS
2010,"14,290",4.480,3.848,4.215,0.604,402,5.1,7.4,0.04514,1.241,93.78,Not Available,85.67600,MOVEMENT DISORDERS
2009,"12,863",4.014,3.313,3.887,0.612,343,5.1,6.8,0.0439,1.156,92.42,Not Available,85.92800,MOVEMENT DISORDERS
2008,"11,802",3.898,3.333,3.852,0.635,378,5.0,7.1,0.03881,1.015,89.68,Not Available,86.85900,MOVEMENT DISORDERS
2007,"9,190",3.207,2.569,3.345,0.555,431,5.0,6.6,0.03528,0.959,94.43,Not Available,79.79500,MOVEMENT DISORDERS
2006,"8,262",3.323,2.737,Not Available,0.531,418,4.8,6.5,Not Available,Not Available,93.78,Not Available,81.97300,MOVEMENT DISORDERS
2005,"6,572",2.830,2.379,Not Available,0.548,305,5.2,6.9,Not Available,Not Available,95.08,Not Available,79.39200,MOVEMENT DISORDERS
2004,"6,781",3.093,2.657,Not Available,0.403,293,5.2,7.0,Not Available,Not Available,92.83,Not Available,81.78600,MOVEMENT DISORDERS
2003,"5,949",2.895,2.411,Not Available,0.366,279,5.2,6.6,Not Available,Not Available,92.47,Not Available,84.07400,MOVEMENT DISORDERS
2002,"5,736",2.895,2.323,Not Available,0.406,288,4.9,7.5,Not Available,Not Available,96.88,Not Available,82.97100,MOVEMENT DISORDERS
2001,"4,597",2.561,2.231,Not Available,0.230,200,4.5,7.8,Not Available,Not Available,96.50,Not Available,81.98500,MOVEMENT DISORDERS
2000,"4,666",3.655,3.235,Not Available,0.536,211,4.2,6.9,Not Available,Not Available,96.68,Not Available,90.87600,MOVEMENT DISORDERS
1999,"3,545",2.515,2.144,Not Available,0.377,204,4.7,7.5,Not Available,Not Available,96.08,Not Available,78.40900,MOVEMENT DISORDERS
1998,"2,771",2.136,1.772,Not Available,0.296,213,4.6,7.0,Not Available,Not Available,97.65,Not Available,78.80000,MOVEMENT DISORDERS
1997,"2,182",1.908,1.640,Not Available,0.041,195,4.5,7.2,Not Available,Not Available,95.90,Not Available,77.10300,MOVEMENT DISORDERS
