,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,1679,47,208,432,323,324,130,126,89,0,0,0,Molecular Autism
2,,ALL OTHERS (275),275,7,37,50,52,69,21,26,13,0,0,0,Molecular Autism
3,,J AUTISM DEV DISORD,95,2,16,30,17,22,5,0,3,0,0,0,Molecular Autism
4,5.872,MOL AUTISM,95,6,12,32,14,11,11,5,4,0,0,0,Molecular Autism
5,3.768,AUTISM RES,80,0,5,25,17,8,10,8,7,0,0,0,Molecular Autism
6,4.122,SCI REP-UK,76,2,12,24,14,12,8,4,0,0,0,0,Molecular Autism
7,,AUTISM,35,0,6,20,6,0,1,0,2,0,0,0,Molecular Autism
8,2.766,PLOS ONE,34,2,3,7,8,5,3,3,3,0,0,0,Molecular Autism
9,3.902,FRONT MOL NEUROSCI,27,2,3,4,4,8,2,1,3,0,0,0,Molecular Autism
10,2.662,J NEUROSCI RES,27,0,7,12,3,3,0,2,0,0,0,0,Molecular Autism
11,11.984,BIOL PSYCHIAT,24,0,2,6,5,6,0,4,1,0,0,0,Molecular Autism
12,3.687,INT J MOL SCI,21,1,2,2,3,7,2,1,3,0,0,0,Molecular Autism
13,8.037,NEUROSCI BIOBEHAV R,21,0,2,8,3,5,0,3,0,0,0,0,Molecular Autism
14,4.927,HUM BRAIN MAPP,20,0,3,8,4,2,1,1,1,0,0,0,Molecular Autism
15,11.640,MOL PSYCHIATR,17,1,2,3,3,4,2,1,1,0,0,0,Molecular Autism
16,,RES AUTISM SPECT DIS,17,0,0,7,2,5,2,0,1,0,0,0,Molecular Autism
17,2.441,METAB BRAIN DIS,15,0,2,4,3,3,2,0,1,0,0,0,Molecular Autism
18,3.877,FRONT NEUROSCI-SWITZ,14,0,0,2,3,4,2,3,0,0,0,0,Molecular Autism
19,2.857,FRONT PSYCHIATRY,14,1,2,6,1,2,1,0,1,0,0,0,Molecular Autism
20,3.155,NEUROSCI BULL,14,0,0,3,2,6,1,2,0,0,0,0,Molecular Autism
21,3.016,AM J MED GENET B,13,0,0,4,3,2,2,1,1,0,0,0,Molecular Autism
22,3.719,BRAIN IMAGING BEHAV,13,0,0,7,2,1,1,1,1,0,0,0,Molecular Autism
23,6.308,CEREB CORTEX,13,0,2,3,4,2,0,0,2,0,0,0,Molecular Autism
24,4.691,TRANSL PSYCHIAT,13,0,3,3,1,2,3,0,1,0,0,0,Molecular Autism
25,3.671,DIALOGUES CLIN NEURO,12,4,3,2,2,0,1,0,0,0,0,0,Molecular Autism
26,,FRONT PSYCHOL,12,1,2,2,4,3,0,0,0,0,0,0,Molecular Autism
27,5.076,MOL NEUROBIOL,11,0,0,0,6,1,2,1,1,0,0,0,Molecular Autism
28,12.353,NAT COMMUN,11,1,2,2,2,2,2,0,0,0,0,0,Molecular Autism
29,,BRAIN SCI,10,2,1,0,4,0,1,2,0,0,0,0,Molecular Autism
30,4.300,FRONT CELL NEUROSCI,10,0,2,1,1,5,0,0,1,0,0,0,Molecular Autism
31,2.871,FRONT HUM NEUROSCI,10,0,0,5,1,2,1,1,0,0,0,0,Molecular Autism
32,9.504,P NATL ACAD SCI USA,10,0,0,0,1,3,4,1,1,0,0,0,Molecular Autism
33,2.128,COMPR PSYCHIAT,9,0,1,2,1,3,0,0,2,0,0,0,Molecular Autism
34,3.864,CURR PSYCHIAT REP,9,1,2,3,1,1,1,0,0,0,0,0,Molecular Autism
35,1.120,MED HYPOTHESES,9,0,0,3,2,1,1,1,1,0,0,0,Molecular Autism
36,15.876,ACTA NEUROPATHOL,8,0,1,1,2,0,0,2,2,0,0,0,Molecular Autism
37,2.419,BMC PSYCHIATRY,8,1,0,2,1,4,0,0,0,0,0,0,Molecular Autism
38,6.306,BRAIN BEHAV IMMUN,8,0,2,0,1,2,0,3,0,0,0,0,Molecular Autism
39,3.869,NEUROIMAGE-CLIN,8,0,0,4,1,1,0,2,0,0,0,0,Molecular Autism
40,3.382,NEUROSCIENCE,8,1,0,3,0,1,0,2,1,0,0,0,Molecular Autism
41,5.540,PLOS GENET,8,0,0,2,1,2,1,2,0,0,0,0,Molecular Autism
42,2.779,PRENATAL DIAG,8,0,0,4,2,1,0,1,0,0,0,0,Molecular Autism
43,2.223,PSYCHIAT RES,8,1,0,4,3,0,0,0,0,0,0,0,Molecular Autism
44,7.616,ELIFE,7,0,1,0,1,3,0,1,1,0,0,0,Molecular Autism
45,3.553,EUR CHILD ADOLES PSY,7,0,3,3,0,1,0,0,0,0,0,0,Molecular Autism
46,,EUR EAT DISORD REV,7,0,0,3,3,1,0,0,0,0,0,0,Molecular Autism
47,5.971,J NEUROSCI,7,0,1,1,2,1,1,0,1,0,0,0,Molecular Autism
