,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,4643,109,346,481,470,458,401,332,270,235,215,1326,Molecular Autism
2, ,ALL OTHERS (599),599,14,50,47,53,63,46,38,22,26,18,222,Molecular Autism
3, ,J AUTISM DEV DISORD,273,4,16,25,26,16,16,17,11,22,14,106,Molecular Autism
4,41.577,NATURE,126,4,8,8,20,10,21,19,7,17,0,12,Molecular Autism
5,11.640,MOL PSYCHIATR,99,7,6,20,18,7,6,1,4,1,4,25,Molecular Autism
6,2.766,PLOS ONE,99,1,8,20,17,13,16,15,3,1,4,1,Molecular Autism
7,5.872,MOL AUTISM,95,6,12,32,14,11,11,5,4,0,0,0,Molecular Autism
8,6.486,J CHILD PSYCHOL PSYC,86,4,10,8,9,5,0,4,2,4,3,37,Molecular Autism
9,5.971,J NEUROSCI,85,0,2,6,9,9,8,6,15,5,5,20,Molecular Autism
10,3.768,AUTISM RES,77,7,12,11,5,9,6,5,11,7,3,1,Molecular Autism
11,8.855,AM J HUM GENET,75,2,4,4,11,5,3,0,11,3,11,21,Molecular Autism
12,9.504,P NATL ACAD SCI USA,69,0,1,9,5,6,11,4,6,4,2,21,Molecular Autism
13,11.984,BIOL PSYCHIAT,68,3,3,9,5,4,1,6,4,5,4,24,Molecular Autism
14,27.125,NAT GENET,68,1,4,5,8,6,7,10,2,2,2,21,Molecular Autism
15,6.250,J AM ACAD CHILD PSY,65,2,1,6,9,3,8,2,6,2,5,21,Molecular Autism
16,5.426,NEUROIMAGE,63,2,2,0,4,5,10,4,8,6,6,16,Molecular Autism
17,14.319,NEURON,59,0,1,12,5,5,4,4,7,0,3,18,Molecular Autism
18,4.902,HUM MOL GENET,55,1,2,6,4,4,5,4,3,3,4,19,Molecular Autism
19,19.912,NAT NEUROSCI,46,7,1,5,8,0,2,3,1,2,3,14,Molecular Autism
20,31.398,CELL,45,0,3,4,9,10,5,4,1,1,2,6,Molecular Autism
21, ,AUTISM,40,0,6,7,1,3,4,4,0,3,3,9,Molecular Autism
22, ,ARCH GEN PSYCHIAT,39,0,0,0,0,0,9,11,0,0,3,16,Molecular Autism
23,41.058,SCIENCE,36,0,2,4,0,3,4,2,1,1,3,16,Molecular Autism
24,3.016,AM J MED GENET B,34,1,0,2,2,1,1,2,1,1,6,17,Molecular Autism
25, ,DIAGN STAT MAN MENT,34,0,0,0,0,22,0,0,0,0,0,12,Molecular Autism
26,2.264,AM J MED GENET A,31,1,3,7,2,3,2,1,3,0,1,8,Molecular Autism
27,13.396,AM J PSYCHIAT,30,0,1,1,3,2,5,1,5,0,1,11,Molecular Autism
28,32.635,NAT REV NEUROSCI,29,0,0,8,0,4,1,2,6,1,1,6,Molecular Autism
29,3.500,J NEURODEV DISORD,28,0,4,4,3,7,2,2,2,4,0,0,Molecular Autism
30, ,RES AUTISM SPECT DIS,28,0,2,3,5,7,4,6,0,1,0,0,Molecular Autism
31,10.848,BRAIN,27,0,2,2,0,6,3,0,1,0,1,12,Molecular Autism
