,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,3489,137,410,464,492,368,382,464,225,313,72,162,Molecular Neurodegeneration
2,,ALL OTHERS (432),432,21,33,57,64,52,40,49,29,61,5,21,Molecular Neurodegeneration
3,4.122,SCI REP-UK,125,2,22,14,14,13,13,13,11,10,4,9,Molecular Neurodegeneration
4,3.476,J ALZHEIMERS DIS,115,2,11,12,22,14,4,15,5,15,3,12,Molecular Neurodegeneration
5,3.902,FRONT MOL NEUROSCI,70,2,10,4,9,6,12,11,8,4,0,4,Molecular Neurodegeneration
6,6.426,MOL NEURODEGENER,70,7,10,14,9,10,6,5,0,2,4,3,Molecular Neurodegeneration
7,2.766,PLOS ONE,67,2,5,8,9,6,9,9,4,9,0,6,Molecular Neurodegeneration
8,5.076,MOL NEUROBIOL,59,0,1,4,7,7,5,15,8,10,1,1,Molecular Neurodegeneration
9,3.582,FRONT AGING NEUROSCI,44,1,7,6,6,2,3,8,3,4,0,4,Molecular Neurodegeneration
10,4.454,NEUROBIOL AGING,44,0,6,6,7,7,3,7,3,2,2,1,Molecular Neurodegeneration
11,3.687,INT J MOL SCI,43,5,6,3,6,3,9,4,2,3,0,2,Molecular Neurodegeneration
12,,ONCOTARGET,42,8,11,3,8,1,2,2,1,5,1,0,Molecular Neurodegeneration
13,5.971,J NEUROSCI,41,1,4,6,8,6,5,6,0,3,0,2,Molecular Neurodegeneration
14,3.877,FRONT NEUROSCI-SWITZ,38,3,4,5,5,5,5,7,2,1,1,0,Molecular Neurodegeneration
15,4.902,HUM MOL GENET,37,2,3,9,2,5,5,7,1,1,1,1,Molecular Neurodegeneration
16,2.559,BIOCHEM BIOPH RES CO,35,1,3,3,2,7,4,8,2,4,1,0,Molecular Neurodegeneration
17,15.876,ACTA NEUROPATHOL,33,1,7,5,4,5,7,2,0,0,0,2,Molecular Neurodegeneration
18,4.609,J NEUROCHEM,32,0,1,7,0,4,4,7,4,2,0,3,Molecular Neurodegeneration
19,5.414,ACTA NEUROPATHOL COM,30,5,5,5,5,2,4,2,2,0,0,0,Molecular Neurodegeneration
20,5.227,NEUROBIOL DIS,30,0,3,5,1,4,3,8,3,1,0,2,Molecular Neurodegeneration
