,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7367,186,598,648,630,657,537,456,432,391,324,2508,Molecular Neurodegeneration
2, ,ALL OTHERS (466),466,23,44,44,64,33,36,23,26,18,14,141,Molecular Neurodegeneration
3,5.971,J NEUROSCI,369,4,14,20,20,25,25,29,24,20,25,163,Molecular Neurodegeneration
4,4.011,J BIOL CHEM,272,2,5,14,10,17,16,15,13,16,11,153,Molecular Neurodegeneration
5,9.504,P NATL ACAD SCI USA,261,6,12,5,13,32,16,9,17,16,8,127,Molecular Neurodegeneration
6,14.319,NEURON,202,2,21,17,16,22,13,20,15,9,5,62,Molecular Neurodegeneration
7,2.766,PLOS ONE,185,3,10,23,17,41,36,16,21,10,7,1,Molecular Neurodegeneration
8,41.058,SCIENCE,173,0,12,10,8,4,6,6,7,14,12,94,Molecular Neurodegeneration
9,41.577,NATURE,170,7,14,15,6,10,12,4,5,6,4,87,Molecular Neurodegeneration
10,15.876,ACTA NEUROPATHOL,138,9,17,15,18,9,6,13,7,2,6,36,Molecular Neurodegeneration
11,4.454,NEUROBIOL AGING,135,3,11,17,17,20,17,4,3,6,3,34,Molecular Neurodegeneration
12,4.609,J NEUROCHEM,124,1,11,4,9,5,7,4,10,11,19,43,Molecular Neurodegeneration
13,4.902,HUM MOL GENET,121,4,8,17,16,10,13,5,9,7,4,28,Molecular Neurodegeneration
14,31.398,CELL,107,1,11,8,2,15,5,4,11,8,3,39,Molecular Neurodegeneration
15,19.912,NAT NEUROSCI,104,2,4,23,12,10,4,9,6,6,5,23,Molecular Neurodegeneration
16,8.055,NEUROLOGY,95,0,8,4,6,6,0,2,0,4,4,61,Molecular Neurodegeneration
17,5.227,NEUROBIOL DIS,88,1,9,10,11,3,6,7,5,4,7,25,Molecular Neurodegeneration
18,10.848,BRAIN,81,5,16,8,8,8,6,4,4,5,2,15,Molecular Neurodegeneration
19,6.426,MOL NEURODEGENER,70,7,10,14,9,10,6,5,0,2,4,3,Molecular Neurodegeneration
20,3.476,J ALZHEIMERS DIS,69,3,7,8,9,6,7,3,11,2,5,8,Molecular Neurodegeneration
21,10.250,ANN NEUROL,67,2,3,6,3,5,2,4,2,6,1,33,Molecular Neurodegeneration
22,3.125,BRAIN RES,63,1,7,0,4,2,7,4,4,2,5,27,Molecular Neurodegeneration
23,8.784,J CELL BIOL,58,1,3,6,2,2,2,3,3,4,4,28,Molecular Neurodegeneration
24,10.557,EMBO J,54,3,5,3,4,4,5,4,5,0,0,21,Molecular Neurodegeneration
25,32.635,NAT REV NEUROSCI,52,1,7,3,2,5,3,3,6,2,2,18,Molecular Neurodegeneration
26,4.539,J IMMUNOL,51,0,0,2,2,4,5,5,2,5,3,23,Molecular Neurodegeneration
27,3.382,NEUROSCIENCE,51,0,3,8,4,2,1,4,1,2,5,21,Molecular Neurodegeneration
28,5.193,J NEUROINFLAMM,50,2,6,7,8,2,9,7,4,1,3,1,Molecular Neurodegeneration
29,27.125,NAT GENET,50,0,0,1,3,6,2,7,1,6,3,21,Molecular Neurodegeneration
30,2.159,NEUROSCI LETT,50,2,4,2,0,4,2,3,5,0,0,28,Molecular Neurodegeneration
31,12.764,ALZHEIMERS DEMENT,49,7,11,15,6,4,2,2,2,0,0,0,Molecular Neurodegeneration
