,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,39896,571,1767,2999,2579,3086,2459,3466,2864,2853,2893,14359,NATURE CELL BIOLOGY
2,,ALL OTHERS (809),809,0,24,32,44,45,34,61,48,66,42,413,NATURE CELL BIOLOGY
3,4.122,SCI REP-UK,1659,9,53,107,95,119,99,138,130,126,103,680,NATURE CELL BIOLOGY
4,,ONCOTARGET,1342,13,32,81,109,111,74,134,81,107,128,472,NATURE CELL BIOLOGY
5,12.353,NAT COMMUN,1051,21,50,106,75,105,67,90,90,66,72,309,NATURE CELL BIOLOGY
6,2.766,PLOS ONE,696,5,15,34,38,48,40,58,42,42,60,314,NATURE CELL BIOLOGY
7,9.504,P NATL ACAD SCI USA,545,9,39,44,34,40,51,34,18,28,49,199,NATURE CELL BIOLOGY
8,3.687,INT J MOL SCI,529,13,23,23,40,35,34,48,49,55,40,169,NATURE CELL BIOLOGY
9,4.401,J CELL SCI,503,10,37,32,26,32,45,47,30,32,34,178,NATURE CELL BIOLOGY
10,8.784,J CELL BIOL,500,14,30,51,23,44,40,54,29,33,17,165,NATURE CELL BIOLOGY
11,3.512,MOL BIOL CELL,496,14,33,49,20,38,37,48,34,26,21,176,NATURE CELL BIOLOGY
12,7.616,ELIFE,494,12,20,49,31,44,39,36,30,21,30,182,NATURE CELL BIOLOGY
13,4.011,J BIOL CHEM,443,2,11,26,24,28,21,45,25,25,33,203,NATURE CELL BIOLOGY
14,6.854,ONCOGENE,433,3,7,34,42,22,25,38,31,32,41,158,NATURE CELL BIOLOGY
15,8.032,CELL REP,399,7,25,41,41,44,34,41,26,15,26,99,NATURE CELL BIOLOGY
16,5.413,DEVELOPMENT,361,9,28,45,32,36,12,27,28,19,30,95,NATURE CELL BIOLOGY
17,19.064,NAT CELL BIOL,330,94,27,39,21,24,24,28,21,11,8,33,NATURE CELL BIOLOGY
18,9.616,DEV CELL,289,13,19,30,17,33,23,21,28,8,10,87,NATURE CELL BIOLOGY
19,2.559,BIOCHEM BIOPH RES CO,259,5,7,15,17,13,17,37,20,27,11,90,NATURE CELL BIOLOGY
20,6.721,CELL MOL LIFE SCI,249,6,13,21,24,19,11,31,22,16,12,74,NATURE CELL BIOLOGY
21,10.557,EMBO J,244,4,14,21,19,26,21,33,18,14,10,64,NATURE CELL BIOLOGY
22,5.638,CELL DEATH DIS,241,2,7,17,21,16,17,29,22,23,18,69,NATURE CELL BIOLOGY
23,9.251,CURR BIOL,232,9,18,33,11,23,24,22,13,11,12,56,NATURE CELL BIOLOGY
24,9.247,CSH PERSPECT BIOL,231,0,8,17,16,15,27,20,22,10,13,83,NATURE CELL BIOLOGY
25,,METHOD MOL BIOL,218,0,1,14,11,15,8,19,10,14,21,105,NATURE CELL BIOLOGY
26,14.248,MOL CELL,218,4,20,14,16,19,12,19,8,25,13,68,NATURE CELL BIOLOGY
27,6.138,SEMIN CELL DEV BIOL,217,3,12,31,6,18,8,16,22,8,26,67,NATURE CELL BIOLOGY
28,11.561,NUCLEIC ACIDS RES,202,4,6,9,15,14,17,17,17,24,13,66,NATURE CELL BIOLOGY
