,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7458,265,592,727,787,673,582,548,498,398,327,2061,NATURE CELL BIOLOGY
2, ,ALL OTHERS (385),385,5,20,32,38,38,31,31,18,13,20,139,NATURE CELL BIOLOGY
3,41.577,NATURE,619,24,38,68,59,63,50,40,50,42,31,154,NATURE CELL BIOLOGY
4,31.398,CELL,521,7,45,56,43,45,40,49,23,23,25,165,NATURE CELL BIOLOGY
5,19.064,NAT CELL BIOL,330,94,27,39,21,24,24,28,21,11,8,33,NATURE CELL BIOLOGY
6,9.504,P NATL ACAD SCI USA,297,5,6,18,20,23,27,21,23,21,17,116,NATURE CELL BIOLOGY
7,41.058,SCIENCE,295,4,33,18,35,34,22,17,19,14,11,88,NATURE CELL BIOLOGY
8,8.784,J CELL BIOL,282,6,16,22,26,13,21,11,20,10,12,125,NATURE CELL BIOLOGY
9,5.413,DEVELOPMENT,187,2,7,9,16,17,9,25,12,8,7,75,NATURE CELL BIOLOGY
10,4.011,J BIOL CHEM,180,0,4,8,6,18,13,11,11,10,7,92,NATURE CELL BIOLOGY
11,9.616,DEV CELL,153,3,6,20,17,7,14,8,16,16,8,38,NATURE CELL BIOLOGY
12,23.290,CELL STEM CELL,146,5,17,21,28,22,11,9,11,10,8,4,NATURE CELL BIOLOGY
13,14.248,MOL CELL,144,7,17,13,26,11,9,10,12,3,7,29,NATURE CELL BIOLOGY
14,9.462,GENE DEV,123,4,10,5,7,6,13,10,6,5,8,49,NATURE CELL BIOLOGY
15,35.612,NAT REV MOL CELL BIO,110,3,6,3,22,22,7,7,5,10,5,20,NATURE CELL BIOLOGY
16,10.557,EMBO J,108,4,2,6,5,5,7,7,7,6,3,56,NATURE CELL BIOLOGY
17,12.353,NAT COMMUN,108,9,26,27,33,9,2,2,0,0,0,0,NATURE CELL BIOLOGY
18,4.401,J CELL SCI,103,2,5,5,8,9,14,8,6,9,3,34,NATURE CELL BIOLOGY
19,9.251,CURR BIOL,102,0,6,8,15,8,8,4,8,10,5,30,NATURE CELL BIOLOGY
20,22.844,CANCER CELL,98,0,9,14,17,9,11,8,8,5,4,13,NATURE CELL BIOLOGY
21,15.132,BLOOD,97,3,6,11,3,5,8,8,9,2,6,36,NATURE CELL BIOLOGY
22,3.512,MOL BIOL CELL,83,1,7,6,5,2,7,5,2,4,3,41,NATURE CELL BIOLOGY
23,9.130,CANCER RES,80,1,4,7,6,6,4,8,6,1,7,30,NATURE CELL BIOLOGY
24,2.766,PLOS ONE,80,1,1,3,15,12,16,14,4,9,2,3,NATURE CELL BIOLOGY
25,27.125,NAT GENET,79,1,7,8,6,4,1,9,3,2,11,27,NATURE CELL BIOLOGY
26,8.032,CELL REP,78,1,20,19,17,19,2,0,0,0,0,0,NATURE CELL BIOLOGY
27,32.621,NAT MED,76,2,4,11,11,11,6,9,1,5,3,13,NATURE CELL BIOLOGY
28,11.561,NUCLEIC ACIDS RES,74,0,10,8,8,7,6,5,3,8,3,16,NATURE CELL BIOLOGY
29,26.919,NAT METHODS,69,3,9,6,13,6,14,4,2,7,2,3,NATURE CELL BIOLOGY
30,20.565,CELL METAB,65,1,3,13,13,9,5,7,4,0,2,8,NATURE CELL BIOLOGY
31,42.784,NAT REV CANCER,59,3,6,4,4,5,4,8,2,3,3,17,NATURE CELL BIOLOGY
32,3.813,MOL CELL BIOL,56,0,1,4,1,0,4,4,2,3,1,36,NATURE CELL BIOLOGY
33,3.262,DEV BIOL,52,0,1,1,1,1,4,2,4,2,2,34,NATURE CELL BIOLOGY
