Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"39,896",19.064,18.800,20.460,4.839,118,8.1,6.2,0.093,10.708,94.92,10.85300,96.57900,NATURE CELL BIOLOGY
2016,"38,128",20.060,19.720,20.594,3.829,117,7.6,6.2,0.10302,10.533,94.87,11.81947,97.10500,NATURE CELL BIOLOGY
2015,"35,807",18.699,18.398,20.001,3.932,133,7.3,6.3,0.1044,10.197,95.49,11.89901,97.05900,NATURE CELL BIOLOGY
2014,"35,734",19.679,19.457,20.688,4.812,117,6.7,5.9,0.12531,10.855,91.45,14.03445,97.01100,NATURE CELL BIOLOGY
2013,"34,482",20.058,19.714,21.241,4.295,139,6.4,5.7,0.14273,11.687,94.96,15.73179,96.48600,NATURE CELL BIOLOGY
2012,"32,221",20.761,20.404,20.691,3.970,132,6.0,5.5,0.14257,10.913,90.91,Not Available,97.02700,NATURE CELL BIOLOGY
2011,"29,959",19.488,19.188,20.116,4.912,159,5.7,5.3,0.15877,11.651,93.71,Not Available,96.96100,NATURE CELL BIOLOGY
2010,"28,409",19.407,19.150,19.578,5.562,130,5.5,5.3,0.16608,11.445,98.46,Not Available,96.91000,NATURE CELL BIOLOGY
2009,"25,557",19.527,19.267,19.062,4.144,167,5.4,5.2,0.17676,11.962,95.81,Not Available,96.60500,NATURE CELL BIOLOGY
2008,"22,676",17.774,17.551,17.637,5.145,145,5.2,4.9,0.16986,10.872,99.31,Not Available,97.13400,NATURE CELL BIOLOGY
2007,"20,639",17.623,17.321,17.332,4.347,147,4.9,4.7,0.18735,10.978,96.60,Not Available,97.11500,NATURE CELL BIOLOGY
2006,"19,266",18.485,18.215,Not Available,4.448,154,4.5,4.3,Not Available,Not Available,97.40,Not Available,97.11500,NATURE CELL BIOLOGY
2005,"17,741",19.717,19.453,Not Available,3.948,135,3.9,4.1,Not Available,Not Available,94.81,Not Available,97.05900,NATURE CELL BIOLOGY
2004,"16,704",20.649,20.325,Not Available,4.930,129,3.3,4.1,Not Available,Not Available,93.02,Not Available,97.74200,NATURE CELL BIOLOGY
2003,"13,812",20.268,19.863,Not Available,4.909,143,2.7,3.8,Not Available,Not Available,92.31,Not Available,97.11500,NATURE CELL BIOLOGY
2002,"10,609",18.285,17.858,Not Available,5.500,168,2.2,3.9,Not Available,Not Available,91.07,Not Available,95.75200,NATURE CELL BIOLOGY
2001,"7,016",21.944,21.337,Not Available,4.540,237,1.7,3.8,Not Available,Not Available,94.94,Not Available,98.07900,NATURE CELL BIOLOGY
2000,"2,783",11.939,11.638,Not Available,3.469,239,1.3,3.5,Not Available,Not Available,97.07,Not Available,95.07500,NATURE CELL BIOLOGY
1999,289,Not Available,Not Available,Not Available,1.755,163,0.5,3.1,Not Available,Not Available,94.48,Not Available,1.66500,NATURE CELL BIOLOGY
