,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,75461,1080,4236,6170,5001,6446,5676,5460,3063,3805,3381,31143,NATURE MEDICINE
2,,ALL OTHERS (1262),1262,17,42,66,41,66,81,77,45,47,38,742,NATURE MEDICINE
3,4.122,SCI REP-UK,2735,35,146,209,193,294,196,213,123,135,132,1059,NATURE MEDICINE
4,,ONCOTARGET,1955,16,119,203,110,164,151,198,75,93,79,747,NATURE MEDICINE
5,2.766,PLOS ONE,1492,11,61,83,88,113,111,122,67,90,71,675,NATURE MEDICINE
6,5.511,FRONT IMMUNOL,1325,37,94,108,97,100,81,96,48,97,52,515,NATURE MEDICINE
7,12.353,NAT COMMUN,944,17,86,115,76,104,70,80,39,53,43,261,NATURE MEDICINE
8,3.687,INT J MOL SCI,763,12,27,59,36,71,61,64,26,44,34,329,NATURE MEDICINE
9,9.504,P NATL ACAD SCI USA,518,16,36,55,40,55,45,38,18,24,25,166,NATURE MEDICINE
10,4.539,J IMMUNOL,443,2,22,36,28,28,39,32,17,38,30,171,NATURE MEDICINE
11,15.132,BLOOD,385,8,26,57,46,33,28,20,21,15,4,127,NATURE MEDICINE
12,13.251,J CLIN INVEST,379,4,24,35,38,29,28,36,25,32,10,118,NATURE MEDICINE
13,8.032,CELL REP,374,6,35,45,28,42,30,30,15,20,21,102,NATURE MEDICINE
14,4.011,J BIOL CHEM,344,5,21,26,24,32,32,21,12,19,27,125,NATURE MEDICINE
15,4.368,J VIROL,344,6,30,15,14,20,15,17,14,23,11,179,NATURE MEDICINE
16,32.621,NAT MED,343,82,42,42,27,26,28,17,13,10,14,42,NATURE MEDICINE
17,10.199,CLIN CANCER RES,337,7,31,59,27,40,27,21,5,9,17,94,NATURE MEDICINE
18,9.130,CANCER RES,319,6,35,41,21,39,21,31,13,9,11,92,NATURE MEDICINE
19,2.559,BIOCHEM BIOPH RES CO,309,2,15,21,16,27,21,31,13,14,22,127,NATURE MEDICINE
20,6.854,ONCOGENE,297,0,14,25,13,36,31,28,19,26,14,91,NATURE MEDICINE
21,,JCI INSIGHT,289,5,29,27,22,31,22,24,15,15,17,82,NATURE MEDICINE
22,9.217,IMMUNOL REV,247,4,13,28,22,16,26,11,13,27,3,84,NATURE MEDICINE
23,6.158,PLOS PATHOG,246,1,21,18,8,11,5,10,10,25,17,120,NATURE MEDICINE
24,2.757,CURR PHARM DESIGN,232,1,11,13,10,24,12,17,8,6,9,121,NATURE MEDICINE
25,1.922,MOL MED REP,225,0,2,7,5,14,19,27,12,17,11,111,NATURE MEDICINE
26,3.831,FRONT PHARMACOL,219,4,12,10,14,22,16,17,11,7,5,101,NATURE MEDICINE
27,20.565,CELL METAB,215,9,21,29,15,28,18,26,10,11,1,47,NATURE MEDICINE
28,41.577,NATURE,213,11,30,33,20,16,9,21,9,13,3,48,NATURE MEDICINE
29,6.721,CELL MOL LIFE SCI,207,1,5,19,16,19,16,17,6,18,6,84,NATURE MEDICINE
30,31.398,CELL,202,7,36,29,21,17,16,12,9,12,2,41,NATURE MEDICINE
31,5.595,FASEB J,202,3,4,11,11,24,18,17,12,17,13,72,NATURE MEDICINE
32,4.019,FRONT MICROBIOL,199,10,16,10,10,21,13,11,8,14,12,74,NATURE MEDICINE
33,13.660,ADV DRUG DELIVER REV,198,1,6,11,6,19,13,15,7,11,9,100,NATURE MEDICINE
34,5.503,ONCOIMMUNOLOGY,196,1,18,31,9,13,12,14,7,3,6,82,NATURE MEDICINE
35,5.638,CELL DEATH DIS,194,4,5,14,17,29,23,14,6,9,10,63,NATURE MEDICINE
36,1.664,ONCOL LETT,194,0,4,11,6,17,10,16,5,9,3,113,NATURE MEDICINE
37,5.076,MOL NEUROBIOL,193,0,0,5,8,13,15,7,6,12,18,109,NATURE MEDICINE
38,10.790,J EXP MED,192,1,19,23,10,9,10,16,10,18,6,70,NATURE MEDICINE
39,7.616,ELIFE,191,4,16,14,24,16,9,10,10,7,8,73,NATURE MEDICINE
40,19.734,IMMUNITY,190,6,22,28,21,10,18,11,8,14,7,45,NATURE MEDICINE
41,5.500,CELL PHYSIOL BIOCHEM,189,1,3,14,8,17,14,23,7,8,7,87,NATURE MEDICINE
42,8.806,BIOMATERIALS,186,0,5,14,12,20,19,6,9,7,8,86,NATURE MEDICINE
43,6.491,CANCER LETT,183,2,12,23,8,18,13,15,4,9,10,69,NATURE MEDICINE
44,4.224,J LEUKOCYTE BIOL,182,2,9,19,12,11,15,10,14,15,12,63,NATURE MEDICINE
45,16.710,SCI TRANSL MED,182,5,25,23,19,11,25,9,8,6,9,42,NATURE MEDICINE
46,3.457,BIOMED PHARMACOTHER,179,3,6,13,3,14,9,12,6,9,11,93,NATURE MEDICINE
47,15.211,CIRC RES,179,4,13,12,20,17,12,16,4,11,5,65,NATURE MEDICINE
48,5.186,J INFECT DIS,175,6,31,15,10,10,8,9,4,16,5,61,NATURE MEDICINE
49,7.008,MOL THER,175,4,10,21,6,12,8,8,9,6,16,75,NATURE MEDICINE
50,13.258,J ALLERGY CLIN IMMUN,164,3,12,6,22,7,51,9,2,6,9,37,NATURE MEDICINE
51,10.376,PHARMACOL THERAPEUT,164,1,6,19,10,11,21,13,9,2,7,65,NATURE MEDICINE
52,2.583,BIOMED RES INT,159,1,5,5,3,22,9,15,11,7,10,71,NATURE MEDICINE
53,41.982,NAT REV IMMUNOL,158,1,22,10,27,14,14,3,1,12,6,48,NATURE MEDICINE
54,7.273,DIABETES,156,2,17,18,7,24,11,11,9,14,2,41,NATURE MEDICINE
55,42.784,NAT REV CANCER,154,4,18,24,19,17,14,13,8,3,5,29,NATURE MEDICINE
56,7.877,J CONTROL RELEASE,151,0,5,6,4,13,7,9,15,3,5,84,NATURE MEDICINE
57,8.655,J AM SOC NEPHROL,150,4,5,28,4,18,6,23,15,6,16,25,NATURE MEDICINE
58,,METHOD MOL BIOL,150,0,2,8,8,9,6,17,6,9,10,75,NATURE MEDICINE
59,22.844,CANCER CELL,143,5,15,29,21,17,10,11,2,2,8,23,NATURE MEDICINE
60,3.519,FRONT ENDOCRINOL,142,10,9,10,4,18,8,11,8,7,1,56,NATURE MEDICINE
61,3.902,FRONT MOL NEUROSCI,142,2,5,9,9,10,11,7,12,4,10,63,NATURE MEDICINE
62,8.537,THERANOSTICS,142,2,2,11,13,19,14,19,3,5,7,47,NATURE MEDICINE
63,5.971,J NEUROSCI,141,4,7,5,11,7,3,16,9,10,12,57,NATURE MEDICINE
64,14.163,PROG NEUROBIOL,137,0,2,11,8,10,6,9,5,4,13,69,NATURE MEDICINE
65,6.291,MOL METAB,135,4,9,17,7,27,11,13,6,6,4,31,NATURE MEDICINE
66,3.394,FRONT PHYSIOL,134,4,8,11,7,16,15,7,8,5,4,49,NATURE MEDICINE
67,4.936,OXID MED CELL LONGEV,134,0,4,11,11,5,8,9,3,9,5,69,NATURE MEDICINE
68,13.930,ANN ONCOL,133,2,21,40,13,13,8,2,1,6,8,19,NATURE MEDICINE
69,6.086,ARTERIOSCL THROM VAS,133,2,7,14,5,14,7,8,3,8,5,60,NATURE MEDICINE
