,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8841,307,966,1059,992,842,684,563,463,384,355,2226,NATURE MEDICINE
2, ,ALL OTHERS (651),651,18,69,83,75,53,34,55,33,23,22,186,NATURE MEDICINE
3,41.577,NATURE,571,15,68,68,57,59,63,52,24,22,14,129,NATURE MEDICINE
4,32.621,NAT MED,343,82,42,42,27,26,28,17,13,10,14,42,NATURE MEDICINE
5,9.504,P NATL ACAD SCI USA,333,6,11,23,40,34,24,31,14,17,9,124,NATURE MEDICINE
6,41.058,SCIENCE,323,5,34,30,32,32,13,17,21,17,18,104,NATURE MEDICINE
7,31.398,CELL,281,5,32,55,33,37,26,12,9,9,8,55,NATURE MEDICINE
8,15.132,BLOOD,192,7,14,23,19,24,14,16,7,15,7,46,NATURE MEDICINE
9,79.260,NEW ENGL J MED,157,7,17,22,22,20,8,13,5,10,5,28,NATURE MEDICINE
10,13.251,J CLIN INVEST,156,3,20,6,14,12,12,18,8,5,5,53,NATURE MEDICINE
11,4.011,J BIOL CHEM,135,0,4,8,6,8,13,7,10,4,11,64,NATURE MEDICINE
12,2.766,PLOS ONE,133,3,7,16,20,31,17,15,7,7,7,3,NATURE MEDICINE
13,22.844,CANCER CELL,128,7,15,19,10,15,15,6,10,2,4,25,NATURE MEDICINE
14,12.353,NAT COMMUN,120,5,40,36,23,10,4,2,0,0,0,0,NATURE MEDICINE
15,27.125,NAT GENET,119,2,6,7,16,17,21,6,8,4,4,28,NATURE MEDICINE
16,4.539,J IMMUNOL,115,0,11,2,9,6,6,5,13,6,7,50,NATURE MEDICINE
17,19.734,IMMUNITY,110,2,14,17,13,13,10,6,9,2,3,21,NATURE MEDICINE
18,5.971,J NEUROSCI,106,0,7,9,15,7,9,5,9,6,7,32,NATURE MEDICINE
19,10.790,J EXP MED,98,2,5,7,10,12,11,8,2,5,2,34,NATURE MEDICINE
20,20.565,CELL METAB,90,3,19,18,9,8,13,4,2,2,6,6,NATURE MEDICINE
21,21.809,NAT IMMUNOL,82,1,14,3,11,5,8,5,3,3,8,21,NATURE MEDICINE
22,35.724,NAT BIOTECHNOL,80,4,17,16,12,12,2,4,2,1,2,8,NATURE MEDICINE
23,9.130,CANCER RES,77,1,5,6,7,4,4,5,6,2,7,30,NATURE MEDICINE
24,16.710,SCI TRANSL MED,74,2,9,21,20,6,5,8,2,1,0,0,NATURE MEDICINE
25,14.319,NEURON,72,0,6,7,4,4,6,5,3,3,2,32,NATURE MEDICINE
26,11.561,NUCLEIC ACIDS RES,65,2,5,10,6,7,3,2,7,8,1,14,NATURE MEDICINE
27,4.368,J VIROL,62,1,10,8,3,1,3,0,4,2,4,26,NATURE MEDICINE
28,42.784,NAT REV CANCER,62,2,6,6,2,7,10,3,4,3,4,15,NATURE MEDICINE
29,41.982,NAT REV IMMUNOL,60,3,3,3,10,7,5,4,7,5,2,11,NATURE MEDICINE
30,5.481,BIOINFORMATICS,59,1,2,5,10,7,6,1,9,13,1,4,NATURE MEDICINE
31,23.290,CELL STEM CELL,58,1,7,7,10,6,5,6,6,4,3,3,NATURE MEDICINE
32,7.273,DIABETES,54,2,4,6,5,3,5,4,3,4,0,18,NATURE MEDICINE
33,19.912,NAT NEUROSCI,54,1,5,6,6,10,1,7,3,1,3,11,NATURE MEDICINE
34,26.360,J CLIN ONCOL,53,1,8,11,2,5,3,5,2,1,1,14,NATURE MEDICINE
35,24.373,CANCER DISCOV,50,6,7,4,16,6,10,1,0,0,0,0,NATURE MEDICINE
36,14.248,MOL CELL,50,0,5,8,5,2,1,2,5,4,4,14,NATURE MEDICINE
37,8.032,CELL REP,49,4,12,14,10,7,2,0,0,0,0,0,NATURE MEDICINE
38,10.199,CLIN CANCER RES,49,1,7,5,7,3,0,6,3,5,4,8,NATURE MEDICINE
39,9.462,GENE DEV,48,0,4,5,6,8,1,2,1,2,1,18,NATURE MEDICINE
40,8.655,J AM SOC NEPHROL,44,4,8,7,4,4,2,5,3,2,0,5,NATURE MEDICINE
41,20.773,GASTROENTEROLOGY,42,0,4,0,5,4,7,5,0,2,7,8,NATURE MEDICINE
42,26.919,NAT METHODS,41,1,2,7,7,6,9,2,2,1,1,3,NATURE MEDICINE
43,12.423,NAT PROTOC,41,2,3,1,3,6,4,2,2,9,1,8,NATURE MEDICINE
44,13.214,GENOME BIOL,37,0,2,3,10,6,1,3,3,3,3,3,NATURE MEDICINE
45,19.064,NAT CELL BIOL,36,1,0,2,6,4,4,1,3,0,2,13,NATURE MEDICINE
46,4.122,SCI REP-UK,36,5,9,19,2,0,0,1,0,0,0,0,NATURE MEDICINE
47,14.079,HEPATOLOGY,35,0,3,2,5,3,0,4,4,5,1,8,NATURE MEDICINE
48,53.254,LANCET,33,0,4,5,2,2,1,1,4,1,1,12,NATURE MEDICINE
49,6.854,ONCOGENE,32,0,0,6,2,2,1,2,1,2,2,14,NATURE MEDICINE
50,15.211,CIRC RES,31,0,7,4,5,3,4,1,0,1,0,6,NATURE MEDICINE
51,10.557,EMBO J,31,0,2,0,1,4,1,1,1,0,3,18,NATURE MEDICINE
52,3.813,MOL CELL BIOL,31,0,1,2,1,2,1,2,2,3,1,16,NATURE MEDICINE
53,32.635,NAT REV NEUROSCI,30,0,2,5,3,2,1,4,1,3,1,8,NATURE MEDICINE
54,4.902,HUM MOL GENET,29,0,2,1,8,0,2,1,0,2,2,11,NATURE MEDICINE
