Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"75,461",32.621,32.357,33.409,7.248,149,8.2,5.4,0.172,15.150,93.96,20.08500,99.55500,NATURE MEDICINE
2016,"70,491",29.886,29.476,32.261,6.701,157,8.1,5.0,0.17847,14.878,96.82,20.47254,99.25900,NATURE MEDICINE
2015,"65,230",30.357,30.040,28.439,5.994,162,8.2,5.2,0.16179,12.999,92.59,18.44069,99.54100,NATURE MEDICINE
2014,"62,572",28.223,27.985,27.504,5.935,155,7.9,5.5,0.1629,12.480,95.48,18.24483,99.12400,NATURE MEDICINE
2013,"60,002",28.054,27.747,26.501,5.817,175,7.8,5.0,0.16292,12.300,88.57,17.95738,99.24300,NATURE MEDICINE
2012,"57,350",24.302,23.987,27.139,5.763,186,7.8,5.3,0.16402,12.390,91.94,Not Available,98.76400,NATURE MEDICINE
2011,"54,228",22.462,22.095,26.418,5.150,187,7.5,4.9,0.16542,12.156,92.51,Not Available,98.73500,NATURE MEDICINE
2010,"53,666",25.430,25.151,27.887,5.377,151,7.1,4.9,0.1806,12.479,95.36,Not Available,98.70900,NATURE MEDICINE
2009,"49,928",27.136,26.853,27.991,5.143,154,6.6,5.2,0.19383,12.254,100.00,Not Available,99.01200,NATURE MEDICINE
2008,"48,632",27.553,27.320,28.965,5.546,141,6.1,4.9,0.22687,12.958,97.87,Not Available,98.96500,NATURE MEDICINE
2007,"45,986",26.382,26.130,29.567,6.342,149,5.7,4.5,0.23469,12.745,97.32,Not Available,98.94300,NATURE MEDICINE
2006,"43,664",28.588,28.312,Not Available,5.261,153,5.3,4.4,Not Available,Not Available,97.39,Not Available,98.92800,NATURE MEDICINE
2005,"40,386",28.878,28.546,Not Available,6.600,155,5.0,4.2,Not Available,Not Available,95.48,Not Available,98.90500,NATURE MEDICINE
2004,"38,657",31.223,30.776,Not Available,5.720,168,4.7,3.8,Not Available,Not Available,89.88,Not Available,99.25100,NATURE MEDICINE
2003,"35,913",30.550,30.013,Not Available,6.749,167,4.4,4.2,Not Available,Not Available,90.42,Not Available,99.25600,NATURE MEDICINE
2002,"31,696",28.740,28.388,Not Available,6.912,137,4.0,3.9,Not Available,Not Available,89.78,Not Available,99.47800,NATURE MEDICINE
2001,"28,481",27.906,27.402,Not Available,6.481,156,3.6,3.7,Not Available,Not Available,94.23,Not Available,99.16700,NATURE MEDICINE
2000,"25,436",27.905,27.364,Not Available,5.749,171,3.3,3.8,Not Available,Not Available,95.91,Not Available,99.16600,NATURE MEDICINE
1999,"20,043",26.584,26.106,Not Available,6.200,165,2.9,3.8,Not Available,Not Available,98.79,Not Available,99.14400,NATURE MEDICINE
1998,"14,875",27.930,27.357,Not Available,5.489,178,2.4,3.8,Not Available,Not Available,94.94,Not Available,99.12600,NATURE MEDICINE
1997,"9,597",28.114,27.545,Not Available,5.693,166,1.9,3.5,Not Available,Not Available,95.78,Not Available,99.01300,NATURE MEDICINE
