,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,59426,913,3529,4814,4508,4524,3808,3715,3540,3307,2547,24221,NATURE NEUROSCIENCE
2,,ALL OTHERS (1312),1312,17,50,77,76,55,88,83,65,53,72,676,NATURE NEUROSCIENCE
3,4.122,SCI REP-UK,2597,51,140,211,187,187,182,172,166,144,130,1027,NATURE NEUROSCIENCE
4,5.971,J NEUROSCI,2069,43,129,158,183,184,146,134,122,146,96,728,NATURE NEUROSCIENCE
5,14.319,NEURON,1604,55,162,147,169,157,139,102,95,87,61,430,NATURE NEUROSCIENCE
6,7.616,ELIFE,1271,29,87,92,97,119,88,85,100,89,70,415,NATURE NEUROSCIENCE
7,2.766,PLOS ONE,1133,9,55,70,81,58,75,75,72,56,42,540,NATURE NEUROSCIENCE
8,12.353,NAT COMMUN,1091,15,88,104,123,117,70,75,90,68,43,298,NATURE NEUROSCIENCE
9,6.308,CEREB CORTEX,961,7,26,53,57,102,64,64,56,57,41,434,NATURE NEUROSCIENCE
10,19.912,NAT NEUROSCI,859,92,116,100,88,114,49,42,45,38,24,151,NATURE NEUROSCIENCE
11,9.504,P NATL ACAD SCI USA,854,14,71,72,68,66,56,65,61,45,41,295,NATURE NEUROSCIENCE
12,5.426,NEUROIMAGE,839,4,43,98,59,64,48,42,21,39,40,381,NATURE NEUROSCIENCE
13,2.502,J NEUROPHYSIOL,769,7,27,45,62,44,34,46,51,46,39,368,NATURE NEUROSCIENCE
14,6.541,CURR OPIN NEUROBIOL,686,24,106,94,67,77,45,43,29,35,20,146,NATURE NEUROSCIENCE
15,8.032,CELL REP,639,16,60,71,54,73,50,44,63,26,22,160,NATURE NEUROSCIENCE
16,4.300,FRONT CELL NEUROSCI,572,10,37,51,31,40,42,41,29,40,28,223,NATURE NEUROSCIENCE
17,3.877,FRONT NEUROSCI-SWITZ,558,16,43,44,44,30,34,36,33,30,25,223,NATURE NEUROSCIENCE
