,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,12077,334,1065,1188,1145,1034,843,701,659,572,477,4059,NATURE NEUROSCIENCE
2, ,ALL OTHERS (660),660,18,43,62,58,43,35,33,28,27,20,293,NATURE NEUROSCIENCE
3,14.319,NEURON,969,27,108,114,93,91,83,83,61,50,42,217,NATURE NEUROSCIENCE
4,5.971,J NEUROSCI,934,12,53,62,88,90,53,75,44,42,42,373,NATURE NEUROSCIENCE
5,41.577,NATURE,898,22,42,104,104,112,87,36,65,39,46,241,NATURE NEUROSCIENCE
6,19.912,NAT NEUROSCI,859,92,116,100,88,114,49,42,45,38,24,151,NATURE NEUROSCIENCE
7,41.058,SCIENCE,569,12,44,40,42,36,41,30,33,23,27,241,NATURE NEUROSCIENCE
8,9.504,P NATL ACAD SCI USA,441,6,25,40,51,33,27,26,38,34,20,141,NATURE NEUROSCIENCE
9,5.426,NEUROIMAGE,273,5,39,23,21,35,28,23,16,16,13,54,NATURE NEUROSCIENCE
10,31.398,CELL,271,6,31,52,39,28,21,17,9,15,6,47,NATURE NEUROSCIENCE
11,2.502,J NEUROPHYSIOL,205,1,11,6,5,8,8,8,9,12,8,129,NATURE NEUROSCIENCE
12,32.635,NAT REV NEUROSCI,188,4,13,11,20,13,16,5,14,14,13,65,NATURE NEUROSCIENCE
13,3.966,HIPPOCAMPUS,128,4,2,6,5,10,10,3,6,0,9,73,NATURE NEUROSCIENCE
14,2.766,PLOS ONE,128,0,11,11,21,28,20,10,12,6,8,1,NATURE NEUROSCIENCE
15,3.400,J COMP NEUROL,125,2,0,4,1,3,4,3,3,3,7,95,NATURE NEUROSCIENCE
16,9.251,CURR BIOL,113,8,18,24,14,16,5,4,5,4,2,13,NATURE NEUROSCIENCE
17,27.125,NAT GENET,104,4,9,12,16,10,7,12,6,3,2,23,NATURE NEUROSCIENCE
18,14.675,ANNU REV NEUROSCI,98,0,3,6,2,9,7,6,5,6,7,47,NATURE NEUROSCIENCE
19,6.308,CEREB CORTEX,95,4,13,16,11,6,6,3,0,3,4,29,NATURE NEUROSCIENCE
20,7.616,ELIFE,92,12,32,32,12,4,0,0,0,0,0,0,NATURE NEUROSCIENCE
21,11.439,TRENDS NEUROSCI,91,0,3,9,6,3,5,14,4,5,4,38,NATURE NEUROSCIENCE
22,26.919,NAT METHODS,86,0,2,6,11,13,20,12,9,0,3,10,NATURE NEUROSCIENCE
23,3.125,BRAIN RES,85,1,2,3,2,1,0,5,1,2,2,66,NATURE NEUROSCIENCE
24,4.540,J PHYSIOL-LONDON,83,1,5,1,4,3,5,4,1,1,3,55,NATURE NEUROSCIENCE
25,2.832,EUR J NEUROSCI,81,0,5,1,7,1,8,4,6,3,4,42,NATURE NEUROSCIENCE
26,6.541,CURR OPIN NEUROBIOL,79,2,8,11,12,2,5,7,7,2,1,22,NATURE NEUROSCIENCE
27,15.557,TRENDS COGN SCI,79,2,7,9,9,9,5,3,7,1,3,24,NATURE NEUROSCIENCE
28,12.353,NAT COMMUN,77,11,24,19,15,6,2,0,0,0,0,0,NATURE NEUROSCIENCE
29,3.382,NEUROSCIENCE,76,0,6,3,2,2,4,3,5,5,3,43,NATURE NEUROSCIENCE
30,8.032,CELL REP,67,6,16,19,15,3,8,0,0,0,0,0,NATURE NEUROSCIENCE
31,32.621,NAT MED,64,0,17,7,5,6,5,0,5,7,0,12,NATURE NEUROSCIENCE
32,3.955,PLOS COMPUT BIOL,57,2,8,8,9,4,5,7,3,5,4,2,NATURE NEUROSCIENCE
33,11.561,NUCLEIC ACIDS RES,55,2,11,13,8,5,1,3,2,2,0,8,NATURE NEUROSCIENCE
34,5.666,PHILOS T R SOC B,49,0,4,1,11,5,1,0,0,4,0,23,NATURE NEUROSCIENCE
35,10.848,BRAIN,48,2,8,6,4,3,3,0,1,5,1,15,NATURE NEUROSCIENCE
36,5.481,BIOINFORMATICS,47,0,0,2,6,8,5,3,8,8,2,5,NATURE NEUROSCIENCE
37,6.544,NEUROPSYCHOPHARMACOL,46,5,8,6,5,1,3,4,5,2,1,6,NATURE NEUROSCIENCE
38,5.413,DEVELOPMENT,45,1,1,2,8,1,2,2,1,2,3,22,NATURE NEUROSCIENCE
39,11.640,MOL PSYCHIATR,45,4,10,6,6,3,7,0,2,0,2,5,NATURE NEUROSCIENCE
40,2.507,BEHAV NEUROSCI,44,0,1,1,1,1,2,1,1,0,1,35,NATURE NEUROSCIENCE
41,4.011,J BIOL CHEM,44,0,1,0,1,1,3,4,2,3,2,27,NATURE NEUROSCIENCE
42,1.806,EXP BRAIN RES,43,0,0,0,0,0,0,1,0,2,1,39,NATURE NEUROSCIENCE
43,3.173,BEHAV BRAIN RES,39,1,3,0,0,4,1,1,5,1,1,22,NATURE NEUROSCIENCE
44,2.668,J NEUROSCI METH,39,1,2,2,1,1,6,2,3,1,2,18,NATURE NEUROSCIENCE
45,12.423,NAT PROTOC,38,0,3,1,5,1,2,2,8,8,0,8,NATURE NEUROSCIENCE
46,4.927,HUM BRAIN MAPP,36,0,8,8,1,4,1,0,2,3,3,6,NATURE NEUROSCIENCE
47,5.559,PAIN,36,1,2,3,4,2,2,2,0,0,0,20,NATURE NEUROSCIENCE
48,4.483,EXP NEUROL,34,0,1,2,2,3,3,2,1,0,0,20,NATURE NEUROSCIENCE
49,4.082,MAGN RESON MED,34,0,6,1,1,1,2,2,2,2,1,16,NATURE NEUROSCIENCE
50,9.163,PLOS BIOL,34,2,7,3,1,1,2,0,1,5,3,9,NATURE NEUROSCIENCE
51,79.260,NEW ENGL J MED,33,0,4,3,5,5,4,1,1,2,1,7,NATURE NEUROSCIENCE
52,24.014,PHYSIOL REV,33,0,1,5,0,3,0,2,4,2,2,14,NATURE NEUROSCIENCE
53,13.251,J CLIN INVEST,32,0,3,3,1,2,2,8,4,2,3,4,NATURE NEUROSCIENCE
54,8.037,NEUROSCI BIOBEHAV R,32,1,3,3,2,1,4,0,1,1,0,16,NATURE NEUROSCIENCE
55,5.846,GLIA,31,1,3,2,0,2,3,3,0,4,1,12,NATURE NEUROSCIENCE
56,8.855,AM J HUM GENET,30,1,4,2,4,4,5,1,1,1,3,4,NATURE NEUROSCIENCE
57,11.984,BIOL PSYCHIAT,30,1,6,10,2,0,0,1,2,2,1,5,NATURE NEUROSCIENCE
58,2.069,VISION RES,28,0,2,1,1,0,0,3,0,5,0,16,NATURE NEUROSCIENCE
59,19.734,IMMUNITY,27,0,4,10,1,6,1,1,1,1,0,2,NATURE NEUROSCIENCE
60,2.671,LEARN MEMORY,26,0,0,4,1,1,2,1,2,3,3,9,NATURE NEUROSCIENCE
61,35.724,NAT BIOTECHNOL,26,1,5,4,1,4,1,1,2,3,2,2,NATURE NEUROSCIENCE
62,3.082,AM J PHYSIOL-REG I,25,0,1,1,6,4,0,0,0,0,2,11,NATURE NEUROSCIENCE
63, ,FRONT SYST NEUROSCI,25,1,1,5,4,2,2,2,2,2,4,0,NATURE NEUROSCIENCE
64,10.790,J EXP MED,25,0,3,4,3,1,2,1,1,1,0,9,NATURE NEUROSCIENCE
65,4.609,J NEUROCHEM,25,1,1,1,1,1,2,1,0,3,1,13,NATURE NEUROSCIENCE
66, ,PREPRINT,25,3,18,2,0,0,0,0,0,0,0,2,NATURE NEUROSCIENCE
67,3.174,PROG BRAIN RES,25,0,0,0,0,0,1,2,0,0,0,22,NATURE NEUROSCIENCE
68,7.230,PSYCHOL REV,25,0,0,0,1,0,0,0,1,2,0,21,NATURE NEUROSCIENCE
69,4.277,ANN NY ACAD SCI,24,0,1,2,1,0,0,0,1,1,2,16,NATURE NEUROSCIENCE
70,3.131,FRONT NEURAL CIRCUIT,24,0,4,2,3,5,9,0,0,1,0,0,NATURE NEUROSCIENCE
71,1.651,NEURAL COMPUT,24,1,0,0,1,0,3,0,0,2,1,16,NATURE NEUROSCIENCE
72,4.122,SCI REP-UK,24,1,13,9,0,1,0,0,0,0,0,0,NATURE NEUROSCIENCE
73,4.539,J IMMUNOL,23,0,1,1,0,2,5,1,1,1,2,9,NATURE NEUROSCIENCE
74,5.540,PLOS GENET,23,0,1,2,7,4,3,1,3,2,0,0,NATURE NEUROSCIENCE
75,14.163,PROG NEUROBIOL,23,0,1,1,3,3,0,1,1,2,0,11,NATURE NEUROSCIENCE
76,20.565,CELL METAB,22,0,6,0,3,4,2,4,1,2,0,0,NATURE NEUROSCIENCE
77,3.468,J COGNITIVE NEUROSCI,22,0,1,4,1,3,2,0,0,1,1,9,NATURE NEUROSCIENCE
78,10.250,ANN NEUROL,21,0,1,1,0,5,3,1,1,1,0,8,NATURE NEUROSCIENCE
79,10.557,EMBO J,21,0,3,3,0,1,1,2,2,1,0,8,NATURE NEUROSCIENCE
80,3.877,FRONT NEUROSCI-SWITZ,21,0,3,6,5,1,2,0,2,0,1,1,NATURE NEUROSCIENCE
81,41.465,NAT REV GENET,21,0,2,2,5,2,0,1,2,0,1,6,NATURE NEUROSCIENCE
82,1.440,BIOL CYBERN,20,0,0,0,1,0,1,0,0,0,0,18,NATURE NEUROSCIENCE
83,4.231,BRAIN STRUCT FUNCT,20,1,6,0,4,1,1,1,1,1,0,4,NATURE NEUROSCIENCE
84,3.961,ENDOCRINOLOGY,20,0,1,1,0,0,0,1,2,0,1,14,NATURE NEUROSCIENCE
85,21.809,NAT IMMUNOL,20,3,3,0,1,2,2,1,1,1,1,5,NATURE NEUROSCIENCE
86,3.244,NEUROBIOL LEARN MEM,20,0,4,1,2,0,2,1,0,1,1,8,NATURE NEUROSCIENCE
87,8.055,NEUROLOGY,20,1,2,2,0,2,2,1,0,0,0,10,NATURE NEUROSCIENCE
88,9.462,GENE DEV,19,1,1,1,2,0,3,0,1,1,3,6,NATURE NEUROSCIENCE
89,4.902,HUM MOL GENET,19,0,0,6,4,0,4,0,0,1,1,3,NATURE NEUROSCIENCE
90,6.045,J CEREBR BLOOD F MET,19,0,4,2,1,2,3,3,1,1,0,2,NATURE NEUROSCIENCE
91,4.454,NEUROBIOL AGING,19,0,0,4,2,2,2,2,0,0,3,4,NATURE NEUROSCIENCE
92,13.396,AM J PSYCHIAT,18,0,3,0,0,2,1,1,2,1,0,8,NATURE NEUROSCIENCE
93,13.214,GENOME BIOL,18,1,1,2,4,1,2,0,2,1,2,2,NATURE NEUROSCIENCE
94,2.889,NEUROPSYCHOLOGIA,18,0,1,0,1,0,1,4,1,1,1,8,NATURE NEUROSCIENCE
95,23.290,CELL STEM CELL,17,0,8,0,1,1,2,1,3,1,0,0,NATURE NEUROSCIENCE
96,3.138,FRONT BEHAV NEUROSCI,17,0,1,5,6,0,0,3,2,0,0,0,NATURE NEUROSCIENCE
97,10.101,GENOME RES,17,0,0,2,2,1,3,2,0,0,1,6,NATURE NEUROSCIENCE
98,15.876,ACTA NEUROPATHOL,16,0,2,0,4,3,0,1,2,1,1,2,NATURE NEUROSCIENCE
99,14.248,MOL CELL,16,1,2,1,1,2,2,0,3,0,1,3,NATURE NEUROSCIENCE
100,16.710,SCI TRANSL MED,16,1,2,0,4,2,2,3,2,0,0,0,NATURE NEUROSCIENCE
