Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"59,426",19.912,19.396,19.188,5.016,182,8.1,6.6,0.154,10.100,92.31,17.93900,99.42500,NATURE NEUROSCIENCE
2016,"54,399",17.839,17.398,17.398,4.586,198,8.0,6.2,0.1604,9.852,87.88,18.41887,99.42100,NATURE NEUROSCIENCE
2015,"51,112",16.724,16.245,16.874,4.100,221,7.8,6.6,0.15468,9.141,91.40,17.63094,98.63300,NATURE NEUROSCIENCE
2014,"50,204",16.095,15.655,17.154,4.276,221,7.7,6.2,0.15492,8.821,88.24,17.35136,98.21400,NATURE NEUROSCIENCE
2013,"46,095",14.976,14.636,16.273,3.725,236,7.4,6.5,0.15123,8.604,92.37,16.66876,97.81700,NATURE NEUROSCIENCE
2012,"42,519",15.251,14.868,16.412,2.882,228,7.1,6.6,0.1555,8.644,91.67,Not Available,97.81700,NATURE NEUROSCIENCE
2011,"39,636",15.531,15.182,16.289,3.540,226,6.6,6.3,0.15963,8.618,95.13,Not Available,98.56600,NATURE NEUROSCIENCE
2010,"35,315",14.191,13.847,16.190,3.202,208,6.1,6.0,0.17608,8.787,97.12,Not Available,98.11700,NATURE NEUROSCIENCE
2009,"32,677",14.345,13.969,16.617,3.106,208,5.7,6.1,0.19109,9.055,97.60,Not Available,98.05200,NATURE NEUROSCIENCE
2008,"29,226",14.164,13.841,16.825,3.297,185,5.1,6.1,0.19666,9.120,97.84,Not Available,98.41600,NATURE NEUROSCIENCE
2007,"26,368",15.664,15.313,17.067,2.980,203,4.9,5.8,0.19276,8.934,92.61,Not Available,98.34100,NATURE NEUROSCIENCE
2006,"22,657",14.805,14.447,Not Available,3.262,206,4.5,5.8,Not Available,Not Available,99.51,Not Available,98.25000,NATURE NEUROSCIENCE
2005,"18,853",15.456,15.030,Not Available,3.056,231,4.2,5.3,Not Available,Not Available,96.54,Not Available,98.75000,NATURE NEUROSCIENCE
2004,"16,223",16.980,16.579,Not Available,3.079,189,3.8,5.2,Not Available,Not Available,97.35,Not Available,98.73700,NATURE NEUROSCIENCE
2003,"13,425",15.141,14.762,Not Available,3.597,144,3.3,5.2,Not Available,Not Available,94.44,Not Available,98.73700,NATURE NEUROSCIENCE
2002,"10,210",14.857,14.450,Not Available,2.386,207,2.7,4.9,Not Available,Not Available,91.30,Not Available,98.73100,NATURE NEUROSCIENCE
2001,"7,330",15.668,14.751,Not Available,2.684,196,2.2,4.9,Not Available,Not Available,93.88,Not Available,98.23200,NATURE NEUROSCIENCE
2000,"4,043",12.636,12.346,Not Available,5.381,84,1.8,5.4,Not Available,Not Available,98.81,Not Available,97.78300,NATURE NEUROSCIENCE
1999,"1,512",8.863,8.581,Not Available,3.060,151,1.3,4.9,Not Available,Not Available,98.01,Not Available,96.26900,NATURE NEUROSCIENCE
1998,123,Not Available,Not Available,Not Available,1.051,117,0.5,4.7,Not Available,Not Available,97.44,Not Available,0.74300,NATURE NEUROSCIENCE
