,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,43667,540,1826,2305,4333,2608,3495,2210,3117,3427,3643,16163,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2,,ALL OTHERS (1044),1044,8,18,32,79,32,62,38,80,81,102,512,NATURE REVIEWS MOLECULAR CELL BIOLOGY
3,4.122,SCI REP-UK,1979,22,75,90,183,112,159,113,146,178,166,735,NATURE REVIEWS MOLECULAR CELL BIOLOGY
4,,ONCOTARGET,1207,4,24,41,157,71,107,46,89,88,85,495,NATURE REVIEWS MOLECULAR CELL BIOLOGY
5,2.766,PLOS ONE,881,6,18,26,85,50,67,44,72,61,78,374,NATURE REVIEWS MOLECULAR CELL BIOLOGY
6,12.353,NAT COMMUN,792,9,36,47,96,70,72,41,63,88,59,211,NATURE REVIEWS MOLECULAR CELL BIOLOGY
7,4.011,J BIOL CHEM,598,4,26,32,34,29,46,35,42,56,69,225,NATURE REVIEWS MOLECULAR CELL BIOLOGY
8,9.504,P NATL ACAD SCI USA,557,8,28,41,50,37,34,34,44,53,54,174,NATURE REVIEWS MOLECULAR CELL BIOLOGY
9,3.687,INT J MOL SCI,538,11,22,26,63,35,33,13,45,40,46,204,NATURE REVIEWS MOLECULAR CELL BIOLOGY
10,11.561,NUCLEIC ACIDS RES,405,13,21,56,34,19,34,21,38,19,37,113,NATURE REVIEWS MOLECULAR CELL BIOLOGY
11,7.616,ELIFE,395,11,20,35,18,27,36,24,31,42,30,121,NATURE REVIEWS MOLECULAR CELL BIOLOGY
12,8.032,CELL REP,377,9,25,30,47,25,34,25,38,28,24,92,NATURE REVIEWS MOLECULAR CELL BIOLOGY
13,4.401,J CELL SCI,310,10,10,18,35,23,20,26,18,40,33,77,NATURE REVIEWS MOLECULAR CELL BIOLOGY
14,3.512,MOL BIOL CELL,300,5,8,19,26,17,17,27,29,42,26,84,NATURE REVIEWS MOLECULAR CELL BIOLOGY
15,2.559,BIOCHEM BIOPH RES CO,284,3,8,6,27,14,36,8,14,21,22,125,NATURE REVIEWS MOLECULAR CELL BIOLOGY
16,8.784,J CELL BIOL,253,5,13,14,29,20,24,18,28,28,18,56,NATURE REVIEWS MOLECULAR CELL BIOLOGY
17,6.854,ONCOGENE,241,0,3,14,29,16,22,17,22,23,23,72,NATURE REVIEWS MOLECULAR CELL BIOLOGY
18,14.248,MOL CELL,239,6,25,34,24,24,23,13,17,17,11,45,NATURE REVIEWS MOLECULAR CELL BIOLOGY
19,,METHOD MOL BIOL,220,0,1,10,27,15,12,15,20,14,18,88,NATURE REVIEWS MOLECULAR CELL BIOLOGY
