,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8607,186,832,975,871,733,635,540,470,392,320,2653,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2, ,ALL OTHERS (377),377,21,46,38,33,35,23,14,21,9,12,125,NATURE REVIEWS MOLECULAR CELL BIOLOGY
3,31.398,CELL,575,6,37,48,48,59,42,45,24,33,13,220,NATURE REVIEWS MOLECULAR CELL BIOLOGY
4,41.577,NATURE,568,12,40,62,63,34,39,28,40,29,21,200,NATURE REVIEWS MOLECULAR CELL BIOLOGY
5,9.504,P NATL ACAD SCI USA,476,8,37,32,47,35,45,30,29,29,17,167,NATURE REVIEWS MOLECULAR CELL BIOLOGY
6,14.248,MOL CELL,411,10,50,41,46,26,20,31,28,24,15,120,NATURE REVIEWS MOLECULAR CELL BIOLOGY
7,41.058,SCIENCE,369,7,52,29,28,31,26,17,19,14,13,133,NATURE REVIEWS MOLECULAR CELL BIOLOGY
8,4.011,J BIOL CHEM,350,1,15,14,18,29,20,20,22,14,14,183,NATURE REVIEWS MOLECULAR CELL BIOLOGY
9,8.784,J CELL BIOL,249,3,19,19,12,18,15,14,17,14,13,105,NATURE REVIEWS MOLECULAR CELL BIOLOGY
10,9.462,GENE DEV,217,4,8,31,21,13,21,8,15,9,10,77,NATURE REVIEWS MOLECULAR CELL BIOLOGY
11,10.557,EMBO J,199,1,12,12,6,12,15,11,12,13,8,97,NATURE REVIEWS MOLECULAR CELL BIOLOGY
12,11.561,NUCLEIC ACIDS RES,192,5,23,24,22,16,21,11,12,5,4,49,NATURE REVIEWS MOLECULAR CELL BIOLOGY
13,3.813,MOL CELL BIOL,176,0,5,7,5,6,8,8,8,6,11,112,NATURE REVIEWS MOLECULAR CELL BIOLOGY
14,13.333,NAT STRUCT MOL BIOL,170,1,9,15,12,23,13,15,22,13,10,37,NATURE REVIEWS MOLECULAR CELL BIOLOGY
15,19.064,NAT CELL BIOL,160,9,16,18,13,17,5,12,13,10,7,40,NATURE REVIEWS MOLECULAR CELL BIOLOGY
16,12.353,NAT COMMUN,152,8,32,60,33,12,6,0,1,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
17,35.612,NAT REV MOL CELL BIO,141,11,13,27,16,10,9,8,10,12,7,18,NATURE REVIEWS MOLECULAR CELL BIOLOGY
18,9.616,DEV CELL,113,1,9,17,10,10,8,12,7,5,10,24,NATURE REVIEWS MOLECULAR CELL BIOLOGY
19,8.032,CELL REP,110,2,26,27,26,17,12,0,0,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
20,9.251,CURR BIOL,106,3,7,12,12,4,9,5,4,10,2,38,NATURE REVIEWS MOLECULAR CELL BIOLOGY
21,7.616,ELIFE,97,4,29,32,26,5,1,0,0,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
22,27.125,NAT GENET,96,0,4,3,13,11,6,9,3,5,8,34,NATURE REVIEWS MOLECULAR CELL BIOLOGY
23,5.413,DEVELOPMENT,93,1,5,9,8,15,4,8,8,5,1,29,NATURE REVIEWS MOLECULAR CELL BIOLOGY
24,3.512,MOL BIOL CELL,91,2,9,6,10,3,5,4,1,8,7,36,NATURE REVIEWS MOLECULAR CELL BIOLOGY
25,4.401,J CELL SCI,84,3,4,4,8,7,9,8,5,9,5,22,NATURE REVIEWS MOLECULAR CELL BIOLOGY
26,5.540,PLOS GENET,82,1,9,14,3,19,15,3,8,3,1,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
27,2.766,PLOS ONE,81,0,2,8,19,17,8,12,5,6,2,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
28,10.101,GENOME RES,73,1,7,11,5,7,17,6,2,7,1,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
29,3.495,BIOPHYS J,69,2,5,8,3,5,3,6,3,2,3,29,NATURE REVIEWS MOLECULAR CELL BIOLOGY
30,4.894,J MOL BIOL,63,1,14,4,2,0,4,1,3,2,5,27,NATURE REVIEWS MOLECULAR CELL BIOLOGY
31,4.902,HUM MOL GENET,62,0,5,8,10,3,6,7,0,3,0,20,NATURE REVIEWS MOLECULAR CELL BIOLOGY
32,4.490,RNA,56,1,3,6,3,10,5,2,3,1,4,18,NATURE REVIEWS MOLECULAR CELL BIOLOGY
33,26.919,NAT METHODS,49,4,4,4,4,8,6,9,1,1,5,3,NATURE REVIEWS MOLECULAR CELL BIOLOGY
34,15.132,BLOOD,48,1,2,2,4,5,4,4,4,3,3,16,NATURE REVIEWS MOLECULAR CELL BIOLOGY
35,4.122,SCI REP-UK,46,6,19,12,5,2,2,0,0,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
36,10.015,CURR OPIN CELL BIOL,44,2,11,6,6,1,3,2,1,1,0,11,NATURE REVIEWS MOLECULAR CELL BIOLOGY
37,13.251,J CLIN INVEST,43,0,7,7,6,4,2,4,0,4,0,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
38,13.843,NAT CHEM BIOL,43,3,8,6,6,5,4,4,2,0,3,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
39,41.465,NAT REV GENET,41,0,8,2,7,4,4,2,0,4,6,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
