Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"43,667",35.612,35.267,47.918,10.000,54,8.4,6.1,0.095,22.807,9.26,11.15500,99.73700,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2016,"40,565",46.602,46.355,43.310,6.018,57,8.0,5.7,0.09573,21.264,17.54,10.97353,99.73700,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2015,"36,784",38.602,38.325,40.923,4.915,59,7.4,5.9,0.09931,20.269,13.56,11.31968,99.73300,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2014,"35,928",37.806,37.496,41.496,7.797,59,6.9,5.7,0.11242,20.763,13.56,12.59153,99.72800,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2013,"34,124",36.458,36.206,42.584,6.312,64,6.3,5.3,0.13374,22.235,21.88,14.74035,99.73000,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2012,"31,341",37.162,36.860,44.026,5.985,65,5.7,5.1,0.14944,22.576,24.62,Not Available,99.73000,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2011,"29,222",39.123,38.657,42.508,6.500,66,5.1,5.0,0.17417,23.861,24.24,Not Available,99.72400,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2010,"26,838",38.650,38.175,41.578,6.400,70,4.7,5.0,0.18576,23.468,11.43,Not Available,99.71900,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2009,"24,057",42.198,41.754,38.260,6.307,75,4.4,4.5,0.19024,21.973,24.00,Not Available,99.69100,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2008,"19,628",35.423,34.970,34.221,7.238,84,4.0,4.7,0.17836,19.970,0.00,Not Available,99.68200,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2007,"16,584",31.921,31.381,32.422,6.205,83,4.0,4.1,0.17791,19.323,0.00,Not Available,99.67900,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2006,"14,132",31.354,31.018,Not Available,3.894,85,3.6,3.9,Not Available,Not Available,1.18,Not Available,99.67900,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2005,"11,438",29.852,29.419,Not Available,6.225,80,3.2,3.9,Not Available,Not Available,0.00,Not Available,99.67300,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2004,"9,446",33.170,32.789,Not Available,4.167,84,2.8,4.0,Not Available,Not Available,0.00,Not Available,99.67700,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2003,"6,588",35.041,34.646,Not Available,4.831,71,2.3,4.2,Not Available,Not Available,0.00,Not Available,99.67900,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2002,"3,226",26.170,25.651,Not Available,3.459,85,1.6,4.0,Not Available,Not Available,0.00,Not Available,98.36600,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2001,722,20.556,19.388,Not Available,3.734,94,1.0,3.4,Not Available,Not Available,0.00,Not Available,97.23600,NATURE REVIEWS MOLECULAR CELL BIOLOGY
2000,1,Not Available,Not Available,Not Available,0.056,18,Not Available,2.7,Not Available,Not Available,0.00,Not Available,1.59400,NATURE REVIEWS MOLECULAR CELL BIOLOGY
