,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,40834,436,1380,2373,2101,2926,2750,2205,2783,3821,2957,17102,NATURE REVIEWS NEUROSCIENCE
2,,ALL OTHERS (1550),1550,8,24,76,72,133,100,56,94,149,136,702,NATURE REVIEWS NEUROSCIENCE
3,4.122,SCI REP-UK,1710,19,48,103,103,125,108,122,127,166,121,668,NATURE REVIEWS NEUROSCIENCE
4,5.971,J NEUROSCI,872,18,47,55,41,55,62,38,61,66,58,371,NATURE REVIEWS NEUROSCIENCE
5,2.766,PLOS ONE,773,8,13,34,30,68,64,44,50,59,60,343,NATURE REVIEWS NEUROSCIENCE
6,5.426,NEUROIMAGE,684,7,18,29,28,35,50,43,40,74,49,311,NATURE REVIEWS NEUROSCIENCE
7,6.308,CEREB CORTEX,572,3,11,23,26,44,42,29,39,58,53,244,NATURE REVIEWS NEUROSCIENCE
8,14.319,NEURON,468,15,40,36,31,33,48,25,39,28,25,148,NATURE REVIEWS NEUROSCIENCE
9,9.504,P NATL ACAD SCI USA,450,4,18,21,30,30,33,24,35,37,35,183,NATURE REVIEWS NEUROSCIENCE
10,8.037,NEUROSCI BIOBEHAV R,447,4,16,43,15,30,26,29,32,60,36,156,NATURE REVIEWS NEUROSCIENCE
11,,FRONT PSYCHOL,444,5,16,20,24,30,24,23,48,33,44,177,NATURE REVIEWS NEUROSCIENCE
12,12.353,NAT COMMUN,398,7,10,22,31,33,45,18,22,32,25,153,NATURE REVIEWS NEUROSCIENCE
13,2.871,FRONT HUM NEUROSCI,395,12,7,17,8,15,21,20,27,50,32,186,NATURE REVIEWS NEUROSCIENCE
14,3.382,NEUROSCIENCE,375,2,13,18,19,21,17,14,26,41,29,175,NATURE REVIEWS NEUROSCIENCE
15,7.616,ELIFE,366,11,22,17,31,24,21,21,26,26,21,146,NATURE REVIEWS NEUROSCIENCE
16,4.300,FRONT CELL NEUROSCI,342,0,14,19,15,30,18,18,25,29,23,151,NATURE REVIEWS NEUROSCIENCE
17,3.877,FRONT NEUROSCI-SWITZ,342,7,17,23,22,18,24,12,26,35,19,139,NATURE REVIEWS NEUROSCIENCE
18,4.927,HUM BRAIN MAPP,338,2,3,24,6,19,32,15,23,58,27,129,NATURE REVIEWS NEUROSCIENCE
19,3.902,FRONT MOL NEUROSCI,303,9,18,17,20,21,16,18,27,20,15,122,NATURE REVIEWS NEUROSCIENCE
20,3.173,BEHAV BRAIN RES,295,3,6,9,7,13,21,22,22,35,21,136,NATURE REVIEWS NEUROSCIENCE
21,5.076,MOL NEUROBIOL,285,0,3,20,12,22,13,16,26,29,23,121,NATURE REVIEWS NEUROSCIENCE
22,2.502,J NEUROPHYSIOL,269,0,10,8,12,20,15,11,16,29,18,130,NATURE REVIEWS NEUROSCIENCE
23,4.249,NEUROPHARMACOLOGY,249,2,14,20,7,32,18,13,19,21,12,91,NATURE REVIEWS NEUROSCIENCE
24,4.231,BRAIN STRUCT FUNCT,237,1,3,14,16,12,16,12,17,27,16,103,NATURE REVIEWS NEUROSCIENCE
25,2.889,NEUROPSYCHOLOGIA,231,4,5,9,12,7,4,3,11,12,21,143,NATURE REVIEWS NEUROSCIENCE
26,4.907,CORTEX,222,3,4,13,7,7,9,8,13,19,21,118,NATURE REVIEWS NEUROSCIENCE
27,3.687,INT J MOL SCI,217,2,9,13,15,21,10,11,14,14,7,101,NATURE REVIEWS NEUROSCIENCE
28,3.582,FRONT AGING NEUROSCI,212,8,10,22,15,8,19,20,7,10,9,84,NATURE REVIEWS NEUROSCIENCE
29,3.476,J ALZHEIMERS DIS,212,1,9,27,3,9,16,27,14,23,11,72,NATURE REVIEWS NEUROSCIENCE
30,3.244,NEUROBIOL LEARN MEM,212,0,4,8,6,11,15,11,23,37,11,86,NATURE REVIEWS NEUROSCIENCE
31,3.500,SOC COGN AFFECT NEUR,209,1,5,26,13,8,16,14,17,19,14,76,NATURE REVIEWS NEUROSCIENCE
32,8.032,CELL REP,202,2,10,8,16,22,17,6,17,19,18,67,NATURE REVIEWS NEUROSCIENCE
33,,ENEURO,199,2,14,3,8,18,13,18,13,8,20,82,NATURE REVIEWS NEUROSCIENCE
34,11.984,BIOL PSYCHIAT,197,3,4,27,5,20,18,20,14,25,10,51,NATURE REVIEWS NEUROSCIENCE
35,2.159,NEUROSCI LETT,193,2,5,9,13,15,14,11,10,11,15,88,NATURE REVIEWS NEUROSCIENCE
36,6.541,CURR OPIN NEUROBIOL,191,6,15,7,18,14,20,11,16,20,15,49,NATURE REVIEWS NEUROSCIENCE
37,19.912,NAT NEUROSCI,188,4,13,11,20,13,16,5,14,14,13,65,NATURE REVIEWS NEUROSCIENCE
38,6.544,NEUROPSYCHOPHARMACOL,181,1,12,10,7,14,16,11,11,24,22,53,NATURE REVIEWS NEUROSCIENCE
39,4.691,TRANSL PSYCHIAT,180,0,4,15,23,12,16,11,14,25,17,43,NATURE REVIEWS NEUROSCIENCE
40,9.251,CURR BIOL,178,3,10,12,15,11,14,8,11,17,11,66,NATURE REVIEWS NEUROSCIENCE
41,3.955,PLOS COMPUT BIOL,175,3,4,4,16,6,14,15,11,17,19,66,NATURE REVIEWS NEUROSCIENCE
42,32.635,NAT REV NEUROSCI,170,9,13,11,9,11,11,8,12,19,13,54,NATURE REVIEWS NEUROSCIENCE
43,4.609,J NEUROCHEM,168,2,10,12,12,12,6,9,8,10,10,77,NATURE REVIEWS NEUROSCIENCE
44,11.640,MOL PSYCHIATR,166,0,5,18,7,22,14,9,12,15,6,58,NATURE REVIEWS NEUROSCIENCE
45,3.125,BRAIN RES,162,1,2,4,11,15,11,10,7,16,12,73,NATURE REVIEWS NEUROSCIENCE
46,3.138,FRONT BEHAV NEUROSCI,159,6,4,7,7,15,9,4,8,15,7,77,NATURE REVIEWS NEUROSCIENCE
47,,ONCOTARGET,157,0,3,12,13,7,10,12,7,11,9,73,NATURE REVIEWS NEUROSCIENCE
48,3.131,FRONT NEURAL CIRCUIT,153,4,8,6,6,9,18,9,13,17,9,54,NATURE REVIEWS NEUROSCIENCE
49,2.832,EUR J NEUROSCI,152,3,7,6,5,8,11,7,12,20,13,60,NATURE REVIEWS NEUROSCIENCE
50,14.163,PROG NEUROBIOL,152,0,4,13,13,9,10,14,11,4,9,65,NATURE REVIEWS NEUROSCIENCE
51,2.662,J NEUROSCI RES,151,1,1,9,9,8,10,12,11,14,3,73,NATURE REVIEWS NEUROSCIENCE
52,3.468,J COGNITIVE NEUROSCI,149,0,6,5,3,2,8,11,11,15,15,73,NATURE REVIEWS NEUROSCIENCE
53,3.869,NEUROIMAGE-CLIN,149,0,3,12,7,14,8,6,7,31,10,51,NATURE REVIEWS NEUROSCIENCE
