,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8868,212,772,820,735,711,627,560,490,423,398,3120,NATURE REVIEWS NEUROSCIENCE
2, ,ALL OTHERS (610),610,13,45,60,39,44,38,25,26,29,18,273,NATURE REVIEWS NEUROSCIENCE
3,5.971,J NEUROSCI,668,3,40,53,42,57,44,51,37,38,39,264,NATURE REVIEWS NEUROSCIENCE
4,14.319,NEURON,452,9,47,46,38,39,39,40,29,29,22,114,NATURE REVIEWS NEUROSCIENCE
5,41.577,NATURE,369,12,38,38,27,32,33,30,17,9,11,122,NATURE REVIEWS NEUROSCIENCE
6,9.504,P NATL ACAD SCI USA,325,5,26,23,23,23,16,21,38,20,15,115,NATURE REVIEWS NEUROSCIENCE
7,19.912,NAT NEUROSCI,314,16,35,27,38,32,18,16,16,12,15,89,NATURE REVIEWS NEUROSCIENCE
8,41.058,SCIENCE,290,5,26,23,23,16,19,16,12,11,11,128,NATURE REVIEWS NEUROSCIENCE
9,32.635,NAT REV NEUROSCI,170,9,13,11,9,11,11,8,12,19,13,54,NATURE REVIEWS NEUROSCIENCE
10,2.766,PLOS ONE,142,1,8,21,19,19,23,24,11,9,5,2,NATURE REVIEWS NEUROSCIENCE
11,31.398,CELL,139,1,23,25,13,13,7,13,7,9,3,25,NATURE REVIEWS NEUROSCIENCE
12,5.426,NEUROIMAGE,136,3,11,5,12,18,20,12,13,7,7,28,NATURE REVIEWS NEUROSCIENCE
13,10.848,BRAIN,112,0,5,11,9,11,4,1,9,6,5,51,NATURE REVIEWS NEUROSCIENCE
14,6.308,CEREB CORTEX,95,1,8,13,7,11,5,5,7,8,5,25,NATURE REVIEWS NEUROSCIENCE
15,3.125,BRAIN RES,93,1,3,2,2,1,1,6,3,2,2,70,NATURE REVIEWS NEUROSCIENCE
16,4.540,J PHYSIOL-LONDON,92,0,3,4,2,4,3,3,3,3,8,59,NATURE REVIEWS NEUROSCIENCE
17,2.502,J NEUROPHYSIOL,88,1,4,2,3,2,6,3,6,4,4,53,NATURE REVIEWS NEUROSCIENCE
18,11.984,BIOL PSYCHIAT,74,3,5,5,9,4,4,7,7,2,5,23,NATURE REVIEWS NEUROSCIENCE
19,8.784,J CELL BIOL,73,3,6,4,3,2,2,1,2,1,4,45,NATURE REVIEWS NEUROSCIENCE
20,8.324,MOVEMENT DISORD,73,0,6,8,11,4,7,4,6,3,5,19,NATURE REVIEWS NEUROSCIENCE
21,12.353,NAT COMMUN,72,4,27,15,19,3,3,1,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
22,3.400,J COMP NEUROL,71,0,2,2,1,1,1,2,1,2,3,56,NATURE REVIEWS NEUROSCIENCE
23,4.011,J BIOL CHEM,69,0,6,3,3,5,6,6,4,6,3,27,NATURE REVIEWS NEUROSCIENCE
24,2.832,EUR J NEUROSCI,67,1,0,7,2,6,5,3,2,1,8,32,NATURE REVIEWS NEUROSCIENCE
25,9.251,CURR BIOL,64,0,9,11,5,9,1,5,5,2,0,17,NATURE REVIEWS NEUROSCIENCE
26,15.557,TRENDS COGN SCI,64,0,7,6,3,5,9,7,4,2,1,20,NATURE REVIEWS NEUROSCIENCE
27,3.382,NEUROSCIENCE,57,0,1,3,7,2,2,3,5,2,1,31,NATURE REVIEWS NEUROSCIENCE
28,6.541,CURR OPIN NEUROBIOL,56,2,3,5,8,6,6,4,3,5,0,14,NATURE REVIEWS NEUROSCIENCE
29,10.250,ANN NEUROL,55,0,3,4,4,5,5,2,3,1,1,27,NATURE REVIEWS NEUROSCIENCE
30,14.675,ANNU REV NEUROSCI,53,0,2,1,1,4,5,6,1,1,4,28,NATURE REVIEWS NEUROSCIENCE
31,8.032,CELL REP,53,6,8,18,8,3,10,0,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
32,4.609,J NEUROCHEM,53,0,7,3,9,2,3,2,2,4,1,20,NATURE REVIEWS NEUROSCIENCE
33,11.439,TRENDS NEUROSCI,53,3,2,5,1,3,2,2,5,4,0,26,NATURE REVIEWS NEUROSCIENCE
34,7.616,ELIFE,52,3,21,12,12,3,1,0,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
35,6.544,NEUROPSYCHOPHARMACOL,49,2,7,5,3,5,3,2,6,4,3,9,NATURE REVIEWS NEUROSCIENCE
36,3.966,HIPPOCAMPUS,45,0,5,0,6,2,8,3,5,3,0,13,NATURE REVIEWS NEUROSCIENCE
37,8.055,NEUROLOGY,45,0,0,2,4,6,1,3,2,3,3,21,NATURE REVIEWS NEUROSCIENCE
38,13.396,AM J PSYCHIAT,44,1,2,3,2,1,1,1,4,0,1,28,NATURE REVIEWS NEUROSCIENCE
39,4.902,HUM MOL GENET,44,2,2,3,2,6,3,4,4,2,2,14,NATURE REVIEWS NEUROSCIENCE
40,26.919,NAT METHODS,44,9,2,5,5,9,5,3,1,3,1,1,NATURE REVIEWS NEUROSCIENCE
41,5.227,NEUROBIOL DIS,44,0,4,3,3,6,13,5,1,1,2,6,NATURE REVIEWS NEUROSCIENCE
42,2.889,NEUROPSYCHOLOGIA,42,0,2,5,1,2,2,5,5,0,5,15,NATURE REVIEWS NEUROSCIENCE
