Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"40,834",32.635,32.426,38.691,8.074,54,8.9,7.0,0.07,17.030,7.41,8.16500,99.80800,NATURE REVIEWS NEUROSCIENCE
2016,"36,952",28.880,28.581,37.257,5.509,57,8.4,6.6,0.07123,17.196,7.02,8.17902,99.80700,NATURE REVIEWS NEUROSCIENCE
2015,"33,792",29.298,29.033,35.142,5.603,58,8.0,6.4,0.07244,16.183,6.90,8.25667,99.80500,NATURE REVIEWS NEUROSCIENCE
2014,"32,989",31.427,31.201,38.997,3.712,59,7.4,7.0,0.08289,16.894,5.08,9.28371,99.80200,NATURE REVIEWS NEUROSCIENCE
2013,"30,120",31.376,31.091,37.472,6.161,62,6.9,6.5,0.08887,16.773,3.23,9.79526,99.80200,NATURE REVIEWS NEUROSCIENCE
2012,"26,938",31.673,31.194,35.888,5.065,62,6.5,6.1,0.09338,16.201,1.61,Not Available,99.80200,NATURE REVIEWS NEUROSCIENCE
2011,"24,316",30.445,30.131,34.187,5.085,47,5.9,5.5,0.10612,16.117,4.26,Not Available,99.79500,NATURE REVIEWS NEUROSCIENCE
2010,"21,755",29.510,29.076,32.753,4.800,65,5.4,5.9,0.11197,15.642,26.15,Not Available,99.79100,NATURE REVIEWS NEUROSCIENCE
2009,"18,553",26.483,26.186,29.814,4.361,72,5.0,6.3,0.11425,14.797,4.17,Not Available,99.78400,NATURE REVIEWS NEUROSCIENCE
2008,"15,642",25.940,25.496,27.678,4.859,71,4.6,5.5,0.11399,13.939,0.00,Not Available,99.32100,NATURE REVIEWS NEUROSCIENCE
2007,"13,082",24.520,24.118,26.723,3.581,74,4.2,5.1,0.11387,13.309,0.00,Not Available,99.28900,NATURE REVIEWS NEUROSCIENCE
2006,"10,878",23.054,22.617,Not Available,3.610,77,3.9,4.8,Not Available,Not Available,0.00,Not Available,99.25000,NATURE REVIEWS NEUROSCIENCE
2005,"8,447",20.951,20.419,Not Available,3.293,75,3.4,5.2,Not Available,Not Available,0.00,Not Available,99.25000,NATURE REVIEWS NEUROSCIENCE
2004,"6,449",21.225,20.619,Not Available,3.230,74,3.0,5.3,Not Available,Not Available,0.00,Not Available,99.24200,NATURE REVIEWS NEUROSCIENCE
2003,"4,657",27.007,26.255,Not Available,2.812,69,2.3,4.7,Not Available,Not Available,0.00,Not Available,99.24200,NATURE REVIEWS NEUROSCIENCE
2002,"2,317",24.047,23.070,Not Available,3.116,86,1.6,4.4,Not Available,Not Available,0.00,Not Available,99.23900,NATURE REVIEWS NEUROSCIENCE
2001,498,14.353,11.764,Not Available,3.721,68,1.0,4.3,Not Available,Not Available,0.00,Not Available,97.22200,NATURE REVIEWS NEUROSCIENCE
2000,11,Not Available,Not Available,Not Available,0.647,17,Not Available,3.8,Not Available,Not Available,0.00,Not Available,1.72400,NATURE REVIEWS NEUROSCIENCE
