,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,27547,441,1651,1869,1604,2689,1953,1912,2149,1783,1359,10137,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2,,ALL OTHERS (803),803,0,26,43,28,64,35,62,48,44,38,415,NATURE STRUCTURAL & MOLECULAR BIOLOGY
3,4.122,SCI REP-UK,1157,12,64,79,74,113,77,82,87,83,62,424,NATURE STRUCTURAL & MOLECULAR BIOLOGY
4,11.561,NUCLEIC ACIDS RES,975,11,54,52,71,90,107,79,119,66,61,265,NATURE STRUCTURAL & MOLECULAR BIOLOGY
5,12.353,NAT COMMUN,748,18,52,56,58,90,64,56,66,49,38,201,NATURE STRUCTURAL & MOLECULAR BIOLOGY
6,9.504,P NATL ACAD SCI USA,678,10,62,46,43,68,39,43,59,37,43,228,NATURE STRUCTURAL & MOLECULAR BIOLOGY
7,4.011,J BIOL CHEM,587,12,39,43,29,58,39,52,33,24,30,228,NATURE STRUCTURAL & MOLECULAR BIOLOGY
8,2.766,PLOS ONE,553,3,20,22,23,51,21,35,35,63,20,260,NATURE STRUCTURAL & MOLECULAR BIOLOGY
9,7.616,ELIFE,447,11,28,34,28,51,44,43,32,30,26,120,NATURE STRUCTURAL & MOLECULAR BIOLOGY
10,4.894,J MOL BIOL,392,6,27,30,26,46,32,36,25,28,21,115,NATURE STRUCTURAL & MOLECULAR BIOLOGY
11,14.248,MOL CELL,381,13,33,25,30,53,39,41,45,20,16,66,NATURE STRUCTURAL & MOLECULAR BIOLOGY
12,2.997,BIOCHEMISTRY-US,329,0,13,13,11,16,16,19,15,14,15,197,NATURE STRUCTURAL & MOLECULAR BIOLOGY
13,13.333,NAT STRUCT MOL BIOL,298,38,29,34,25,30,36,24,13,12,9,48,NATURE STRUCTURAL & MOLECULAR BIOLOGY
14,8.032,CELL REP,293,5,15,26,20,42,28,27,32,20,22,56,NATURE STRUCTURAL & MOLECULAR BIOLOGY
15,,ONCOTARGET,284,4,13,19,14,56,20,26,29,25,7,71,NATURE STRUCTURAL & MOLECULAR BIOLOGY
16,3.146,J PHYS CHEM B,214,1,10,6,11,4,9,12,8,13,5,135,NATURE STRUCTURAL & MOLECULAR BIOLOGY
17,14.357,J AM CHEM SOC,208,3,15,16,6,5,7,14,8,22,9,103,NATURE STRUCTURAL & MOLECULAR BIOLOGY
18,3.495,BIOPHYS J,199,0,16,12,7,17,10,10,15,13,10,89,NATURE STRUCTURAL & MOLECULAR BIOLOGY
19,2.410,PROTEIN SCI,199,1,17,11,7,13,14,13,11,11,6,95,NATURE STRUCTURAL & MOLECULAR BIOLOGY
20,4.490,RNA,189,0,6,15,14,18,17,13,18,28,13,47,NATURE STRUCTURAL & MOLECULAR BIOLOGY
21,3.687,INT J MOL SCI,188,6,12,9,7,31,14,15,18,10,8,58,NATURE STRUCTURAL & MOLECULAR BIOLOGY
22,41.577,NATURE,185,16,21,11,18,19,14,10,18,5,10,43,NATURE STRUCTURAL & MOLECULAR BIOLOGY
23,31.398,CELL,179,7,28,20,21,26,13,16,12,5,4,27,NATURE STRUCTURAL & MOLECULAR BIOLOGY
24,,METHOD MOL BIOL,173,0,3,11,14,18,17,15,14,14,4,63,NATURE STRUCTURAL & MOLECULAR BIOLOGY
25,35.612,NAT REV MOL CELL BIO,170,1,9,15,12,23,13,15,22,13,10,37,NATURE STRUCTURAL & MOLECULAR BIOLOGY
26,10.557,EMBO J,169,3,10,19,14,30,16,14,11,10,6,36,NATURE STRUCTURAL & MOLECULAR BIOLOGY
27,5.216,RNA BIOL,167,5,19,11,9,18,22,11,16,10,7,39,NATURE STRUCTURAL & MOLECULAR BIOLOGY
28,4.368,J VIROL,166,1,16,12,4,17,12,9,21,11,17,46,NATURE STRUCTURAL & MOLECULAR BIOLOGY
29,4.907,STRUCTURE,156,4,17,20,8,12,9,5,6,6,7,62,NATURE STRUCTURAL & MOLECULAR BIOLOGY
30,5.666,PHILOS T R SOC B,153,9,12,8,15,21,15,14,15,7,10,27,NATURE STRUCTURAL & MOLECULAR BIOLOGY
31,3.191,GENES-BASEL,147,4,10,21,11,16,19,7,10,8,7,34,NATURE STRUCTURAL & MOLECULAR BIOLOGY
32,2.999,FEBS LETT,138,1,7,11,6,10,8,13,13,9,6,54,NATURE STRUCTURAL & MOLECULAR BIOLOGY
33,9.462,GENE DEV,138,9,9,11,13,22,6,8,20,12,3,25,NATURE STRUCTURAL & MOLECULAR BIOLOGY
34,5.540,PLOS GENET,138,2,4,13,9,20,12,15,11,8,8,36,NATURE STRUCTURAL & MOLECULAR BIOLOGY
35,41.058,SCIENCE,137,5,13,17,15,11,5,4,7,7,6,47,NATURE STRUCTURAL & MOLECULAR BIOLOGY
36,2.559,BIOCHEM BIOPH RES CO,130,0,9,4,2,12,4,6,12,10,9,62,NATURE STRUCTURAL & MOLECULAR BIOLOGY
37,7.179,CURR OPIN STRUC BIOL,127,3,25,18,13,9,3,6,10,3,2,35,NATURE STRUCTURAL & MOLECULAR BIOLOGY
38,,TRANSL EPIGENET SER,123,0,3,4,16,24,19,10,8,6,5,28,NATURE STRUCTURAL & MOLECULAR BIOLOGY
39,3.857,BIOCHEM J,122,1,6,5,7,5,12,14,6,12,3,51,NATURE STRUCTURAL & MOLECULAR BIOLOGY
40,15.678,TRENDS BIOCHEM SCI,122,3,22,7,9,11,19,6,6,6,6,27,NATURE STRUCTURAL & MOLECULAR BIOLOGY
