,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8404,256,666,774,744,686,625,524,518,405,342,2864,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2, ,ALL OTHERS (367),367,10,33,32,25,31,35,25,20,21,12,123,NATURE STRUCTURAL & MOLECULAR BIOLOGY
3,41.577,NATURE,624,18,70,74,61,46,51,44,32,22,24,182,NATURE STRUCTURAL & MOLECULAR BIOLOGY
4,31.398,CELL,492,13,46,53,39,46,37,28,11,35,19,165,NATURE STRUCTURAL & MOLECULAR BIOLOGY
5,41.058,SCIENCE,389,18,31,36,23,37,19,29,13,15,25,143,NATURE STRUCTURAL & MOLECULAR BIOLOGY
6,9.504,P NATL ACAD SCI USA,388,7,19,30,12,35,23,32,30,25,21,154,NATURE STRUCTURAL & MOLECULAR BIOLOGY
7,4.011,J BIOL CHEM,357,2,9,15,25,22,17,23,23,17,7,197,NATURE STRUCTURAL & MOLECULAR BIOLOGY
8,14.248,MOL CELL,347,17,35,43,39,25,17,18,28,19,27,79,NATURE STRUCTURAL & MOLECULAR BIOLOGY
9,13.333,NAT STRUCT MOL BIOL,298,38,29,34,25,30,36,24,13,12,9,48,NATURE STRUCTURAL & MOLECULAR BIOLOGY
10,11.561,NUCLEIC ACIDS RES,259,6,31,24,37,18,23,14,12,16,5,73,NATURE STRUCTURAL & MOLECULAR BIOLOGY
11,3.099,ACTA CRYSTALLOGR D,226,0,3,8,5,8,10,24,92,2,6,68,NATURE STRUCTURAL & MOLECULAR BIOLOGY
12,10.557,EMBO J,206,2,14,14,10,11,11,14,12,7,8,103,NATURE STRUCTURAL & MOLECULAR BIOLOGY
13,9.462,GENE DEV,179,0,11,9,23,11,10,12,10,8,2,83,NATURE STRUCTURAL & MOLECULAR BIOLOGY
14,3.813,MOL CELL BIOL,146,1,2,2,6,3,11,4,6,8,5,98,NATURE STRUCTURAL & MOLECULAR BIOLOGY
15,4.894,J MOL BIOL,127,0,9,4,3,9,8,7,5,3,4,75,NATURE STRUCTURAL & MOLECULAR BIOLOGY
16,12.353,NAT COMMUN,112,7,41,22,23,11,5,0,3,0,0,0,NATURE STRUCTURAL & MOLECULAR BIOLOGY
17,3.433,J STRUCT BIOL,101,0,5,13,0,2,22,1,2,4,0,52,NATURE STRUCTURAL & MOLECULAR BIOLOGY
18,7.616,ELIFE,97,9,23,24,27,13,1,0,0,0,0,0,NATURE STRUCTURAL & MOLECULAR BIOLOGY
19,8.784,J CELL BIOL,96,0,2,9,4,3,5,4,8,7,3,51,NATURE STRUCTURAL & MOLECULAR BIOLOGY
20,26.919,NAT METHODS,92,7,4,14,17,16,21,0,2,6,3,2,NATURE STRUCTURAL & MOLECULAR BIOLOGY
21,2.997,BIOCHEMISTRY-US,79,1,6,2,3,1,4,4,1,3,1,53,NATURE STRUCTURAL & MOLECULAR BIOLOGY
22,8.032,CELL REP,79,2,22,26,17,7,5,0,0,0,0,0,NATURE STRUCTURAL & MOLECULAR BIOLOGY
23,35.612,NAT REV MOL CELL BIO,75,3,9,9,5,3,6,5,3,6,3,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
24,10.101,GENOME RES,73,0,4,6,0,7,20,6,2,2,2,24,NATURE STRUCTURAL & MOLECULAR BIOLOGY
25,19.064,NAT CELL BIOL,73,1,11,6,5,1,4,6,2,4,6,27,NATURE STRUCTURAL & MOLECULAR BIOLOGY
26,27.125,NAT GENET,73,5,1,7,2,6,2,3,1,2,1,43,NATURE STRUCTURAL & MOLECULAR BIOLOGY
27,4.907,STRUCTURE,65,4,5,9,2,7,10,2,0,1,5,20,NATURE STRUCTURAL & MOLECULAR BIOLOGY
28,5.540,PLOS GENET,64,2,3,9,12,7,9,5,5,5,4,3,NATURE STRUCTURAL & MOLECULAR BIOLOGY
29,13.214,GENOME BIOL,61,0,1,9,8,7,6,3,5,8,7,7,NATURE STRUCTURAL & MOLECULAR BIOLOGY
30,2.766,PLOS ONE,61,1,3,4,12,6,8,13,1,4,3,6,NATURE STRUCTURAL & MOLECULAR BIOLOGY
31,5.481,BIOINFORMATICS,56,0,0,8,6,3,3,3,11,12,1,9,NATURE STRUCTURAL & MOLECULAR BIOLOGY
