Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"27,547",13.333,13.094,12.816,3.445,128,7.8,6.9,0.082,7.791,95.31,9.55100,96.54900,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2016,"26,851",12.595,12.389,12.170,3.263,137,7.3,6.2,0.0928,7.746,92.70,10.64200,96.26000,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2015,"25,671",13.338,13.105,11.681,3.819,127,6.8,6.4,0.10397,7.489,96.06,11.85012,97.26200,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2014,"26,673",13.309,13.060,12.479,3.424,132,6.5,6.1,0.11474,7.480,93.94,12.85113,96.48500,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2013,"25,691",11.633,11.272,12.338,3.989,182,6.2,6.0,0.11795,7.452,94.51,13.00068,95.34600,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2012,"24,299",11.902,11.588,12.307,2.576,184,6.2,5.8,0.12272,7.588,95.65,Not Available,95.38300,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2011,"22,401",12.712,12.415,12.114,2.885,208,6.1,6.2,0.12286,7.709,99.04,Not Available,96.34400,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2010,"21,255",13.685,13.291,12.481,2.967,212,5.9,5.9,0.12645,8.037,98.11,Not Available,96.59100,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2009,"19,458",12.273,11.996,11.670,3.561,180,6.0,5.3,0.13241,8.095,98.33,Not Available,95.71200,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2008,"17,436",10.987,10.543,10.799,2.764,165,6.1,5.3,0.11742,7.017,96.36,Not Available,94.77800,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2007,"16,577",11.085,10.750,11.004,3.025,160,5.8,4.8,0.12194,7.136,95.63,Not Available,95.14700,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2006,"15,525",11.502,11.223,Not Available,2.901,151,5.6,4.9,Not Available,Not Available,99.34,Not Available,95.10800,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2005,"15,075",12.190,11.906,Not Available,3.045,154,5.2,5.0,Not Available,Not Available,98.05,Not Available,96.29300,NATURE STRUCTURAL & MOLECULAR BIOLOGY
2004,"14,816",12.000,11.789,Not Available,3.368,155,4.7,4.8,Not Available,Not Available,97.42,Not Available,95.44200,NATURE STRUCTURAL & MOLECULAR BIOLOGY
