,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,10086,129,574,1434,727,555,571,176,364,428,322,4806,NEURAL NETWORKS
2,,ALL OTHERS (1017),1017,5,19,112,37,44,34,13,57,33,27,636,NEURAL NETWORKS
3,3.241,NEUROCOMPUTING,644,10,78,159,77,51,36,11,18,30,10,164,NEURAL NETWORKS
4,7.197,NEURAL NETWORKS,491,17,99,93,75,35,30,13,14,16,10,89,NEURAL NETWORKS
5,7.982,IEEE T NEUR NET LEAR,264,0,6,30,34,31,21,10,18,16,4,94,NEURAL NETWORKS
6,4.215,NEURAL COMPUT APPL,169,0,0,23,28,13,16,3,8,10,1,67,NEURAL NETWORKS
7,1.787,NEURAL PROCESS LETT,129,0,8,23,21,6,13,1,4,7,1,45,NEURAL NETWORKS
8,2.766,PLOS ONE,112,1,3,17,5,1,3,2,5,8,6,61,NEURAL NETWORKS
9,4.122,SCI REP-UK,100,0,3,19,0,10,3,2,6,5,5,47,NEURAL NETWORKS
10,3.576,J FRANKLIN I,97,8,18,13,15,10,15,2,1,4,0,11,NEURAL NETWORKS
11,8.803,IEEE T CYBERNETICS,93,1,9,18,12,7,8,1,3,9,1,24,NEURAL NETWORKS
12,4.339,NONLINEAR DYNAM,88,2,17,19,17,3,10,3,3,4,0,10,NEURAL NETWORKS
13,3.557,IEEE ACCESS,81,5,5,16,4,3,5,1,1,3,5,33,NEURAL NETWORKS
14,1.066,ADV DIFFER EQU-NY,79,7,10,10,17,5,11,1,5,2,0,11,NEURAL NETWORKS
15,2.300,APPL MATH COMPUT,74,5,22,19,7,3,6,2,2,0,0,8,NEURAL NETWORKS
16,3.907,APPL SOFT COMPUT,74,0,5,6,0,5,6,2,4,0,2,44,NEURAL NETWORKS
17,1.651,NEURAL COMPUT,70,0,1,10,5,5,1,0,4,4,4,36,NEURAL NETWORKS
18,4.305,INFORM SCIENCES,68,0,4,12,11,4,5,1,2,2,3,24,NEURAL NETWORKS
19,2.367,SOFT COMPUT,64,0,1,11,4,4,4,2,0,5,3,30,NEURAL NETWORKS
20,,PROC SPIE,63,0,0,11,0,2,0,1,0,3,2,44,NEURAL NETWORKS
21,1.829,COMPLEXITY,57,8,18,12,3,3,0,2,1,1,0,9,NEURAL NETWORKS
22,2.475,SENSORS-BASEL,56,2,2,8,3,2,2,2,0,2,4,29,NEURAL NETWORKS
23,3.768,EXPERT SYST APPL,55,0,3,6,1,3,7,1,1,2,0,31,NEURAL NETWORKS
24,,2017 CHIN AUT C CAXB,54,1,7,11,9,3,2,0,1,1,2,17,NEURAL NETWORKS
25,2.819,ENG APPL ARTIF INTEL,54,0,3,5,4,3,1,2,3,1,2,30,NEURAL NETWORKS
26,4.396,KNOWL-BASED SYST,54,2,3,15,10,3,4,0,1,0,1,15,NEURAL NETWORKS
27,5.135,IEEE T SYST MAN CY-S,50,1,2,7,7,3,5,3,1,3,0,18,NEURAL NETWORKS
28,3.965,PATTERN RECOGN,50,0,0,14,4,4,5,1,0,1,2,19,NEURAL NETWORKS
29,,LECT NOTES COMPUT SC,49,1,4,12,2,0,5,2,3,0,1,19,NEURAL NETWORKS
30,3.296,IET CONTROL THEORY A,48,0,11,9,6,3,8,1,1,2,0,7,NEURAL NETWORKS
31,,2017 14 INT WORKSHXB,47,5,10,5,11,6,3,0,2,1,0,4,NEURAL NETWORKS
32,,ADV INTELL SYST,46,0,1,4,1,4,1,0,1,0,0,34,NEURAL NETWORKS
33,3.479,COGN COMPUT,46,0,6,7,4,0,3,1,1,1,1,22,NEURAL NETWORKS
34,1.145,MATH PROBL ENG,45,5,9,10,8,3,2,0,1,1,0,6,NEURAL NETWORKS
35,,STUD COMPUT INTELL,43,0,3,7,3,2,2,0,4,2,3,17,NEURAL NETWORKS
36,7.616,ELIFE,41,0,0,0,1,0,0,2,2,3,3,30,NEURAL NETWORKS
37,,FRONT PSYCHOL,41,0,0,1,0,3,2,0,7,2,0,26,NEURAL NETWORKS
38,2.185,INT J SYST SCI,40,1,7,7,5,5,1,2,0,6,1,5,NEURAL NETWORKS
39,2.606,FRONT NEUROROBOTICS,39,2,0,5,0,2,4,1,1,2,10,12,NEURAL NETWORKS
40,2.073,FRONT COMPUT NEUROSC,36,0,0,3,1,3,1,0,1,2,3,22,NEURAL NETWORKS
41,,INT C ACOUST SPEE,36,0,2,7,2,1,0,0,0,0,1,23,NEURAL NETWORKS
