,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7748,118,590,681,610,495,478,398,423,358,357,3240,NEURAL NETWORKS
2, ,ALL OTHERS (1426),1426,16,100,97,92,70,69,89,68,77,60,688,NEURAL NETWORKS
3,7.197,NEURAL NETWORKS,491,17,99,93,75,35,30,13,14,16,10,89,NEURAL NETWORKS
4,7.982,IEEE T NEUR NET LEAR,362,12,38,50,45,28,41,15,23,11,19,80,NEURAL NETWORKS
5,3.241,NEUROCOMPUTING,331,9,78,78,40,29,17,17,12,8,11,32,NEURAL NETWORKS
6,1.651,NEURAL COMPUT,135,0,1,1,6,6,8,4,5,7,2,95,NEURAL NETWORKS
7,5.971,J NEUROSCI,124,0,1,4,3,5,4,5,6,2,9,85,NEURAL NETWORKS
8,9.455,IEEE T PATTERN ANAL,121,1,1,9,4,16,10,2,1,9,6,62,NEURAL NETWORKS
9,41.577,NATURE,110,0,2,9,0,1,1,1,1,2,10,83,NEURAL NETWORKS
10,41.058,SCIENCE,88,0,1,2,2,0,5,1,5,4,4,64,NEURAL NETWORKS
11,14.319,NEURON,81,0,1,7,6,0,2,8,7,11,1,38,NEURAL NETWORKS
12, ,PROC CVPR IEEE,80,0,3,8,2,18,18,8,7,6,0,10,NEURAL NETWORKS
13,2.502,J NEUROPHYSIOL,79,0,3,2,1,1,0,3,2,1,3,63,NEURAL NETWORKS
14,4.339,NONLINEAR DYNAM,74,3,5,17,14,6,15,1,3,6,0,4,NEURAL NETWORKS
15, ,ADV NEURAL INFORM PR,72,0,3,13,8,7,7,6,2,2,1,23,NEURAL NETWORKS
16, ,LECT NOTES COMPUT SC,72,1,3,3,4,6,8,4,3,3,7,30,NEURAL NETWORKS
17,4.305,INFORM SCIENCES,62,1,14,13,10,12,7,1,0,1,1,2,NEURAL NETWORKS
18,2.281,J MACH LEARN RES,62,0,1,2,10,1,8,6,9,5,5,15,NEURAL NETWORKS
19,6.126,AUTOMATICA,61,3,2,16,8,4,1,8,7,3,1,8,NEURAL NETWORKS
20,19.912,NAT NEUROSCI,61,0,4,2,2,4,2,5,2,2,7,31,NEURAL NETWORKS
21,2.284,PHYS REV E,59,0,1,2,1,2,2,2,1,1,3,44,NEURAL NETWORKS
22,1.440,BIOL CYBERN,56,0,1,1,0,1,0,3,2,1,4,43,NEURAL NETWORKS
23,9.504,P NATL ACAD SCI USA,55,0,0,1,3,1,2,5,2,3,2,36,NEURAL NETWORKS
24,3.965,PATTERN RECOGN,51,2,5,2,3,2,4,6,9,2,2,14,NEURAL NETWORKS
25,5.007,IEEE T AUTOMAT CONTR,48,1,3,7,3,2,7,2,3,2,1,17,NEURAL NETWORKS
26,2.823,IEEE T CIRCUITS-I,47,2,2,0,2,2,6,3,2,1,0,27,NEURAL NETWORKS
27,2.300,APPL MATH COMPUT,45,6,5,10,9,2,1,3,1,2,2,4,NEURAL NETWORKS
28,5.072,IEEE T IMAGE PROCESS,45,1,9,5,2,9,5,2,7,0,0,5,NEURAL NETWORKS
29,2.069,VISION RES,44,0,0,1,1,1,0,1,2,1,2,35,NEURAL NETWORKS
