Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"10,086",7.197,6.508,5.225,0.832,155,9.2,8.2,0.015,1.501,99.35,1.78400,93.99400,NEURAL NETWORKS
2016,"8,741",5.287,4.727,4.028,0.791,129,9.9,8.2,0.01023,0.986,100.00,1.17408,89.76800,NEURAL NETWORKS
2015,"6,902",3.216,2.756,2.890,1.027,150,9.8,8.7,0.00958,0.913,96.00,1.09220,74.61700,NEURAL NETWORKS
2014,"6,625",2.708,2.356,2.729,0.699,136,10.0,8.1,0.00934,0.835,99.26,1.04595,65.80300,NEURAL NETWORKS
2013,"6,135",2.076,1.821,2.516,0.500,160,10.0,9.6,0.00899,0.785,100.00,0.99128,55.25300,NEURAL NETWORKS
2012,"5,802",1.927,1.695,2.501,0.345,165,>10.0,9.3,0.00925,0.856,100.00,Not Available,51.63500,NEURAL NETWORKS
2011,"5,336",2.182,2.066,2.477,0.318,110,9.9,9.1,0.01073,0.918,100.00,Not Available,56.77100,NEURAL NETWORKS
2010,"5,825",1.972,1.889,2.670,0.293,123,>10.0,9.4,0.01061,0.868,99.19,Not Available,50.79300,NEURAL NETWORKS
2009,"6,488",1.879,1.775,3.012,0.616,146,9.7,7.9,0.01187,0.968,96.58,Not Available,64.56300,NEURAL NETWORKS
2008,"5,706",2.656,2.531,2.838,0.208,144,9.0,8.3,0.01182,0.930,99.31,Not Available,84.57400,NEURAL NETWORKS
2007,"4,552",1.951,1.872,2.618,0.427,96,8.5,8.8,0.01394,1.061,97.92,Not Available,80.10800,NEURAL NETWORKS
2006,"4,192",2.000,1.832,Not Available,0.305,128,8.3,7.8,Not Available,Not Available,94.53,Not Available,81.76500,NEURAL NETWORKS
2005,"3,626",1.665,1.566,Not Available,0.069,116,7.7,7.9,Not Available,Not Available,98.28,Not Available,67.72200,NEURAL NETWORKS
2004,"3,474",1.736,1.592,Not Available,0.248,105,8.3,7.9,Not Available,Not Available,97.14,Not Available,75.00000,NEURAL NETWORKS
2003,"3,160",1.774,1.621,Not Available,0.148,128,8.4,7.7,Not Available,Not Available,98.44,Not Available,77.27300,NEURAL NETWORKS
2002,"2,626",1.557,1.394,Not Available,0.341,88,8.3,7.7,Not Available,Not Available,92.05,Not Available,84.45900,NEURAL NETWORKS
2001,"2,479",1.431,1.281,Not Available,0.176,102,7.6,7.8,Not Available,Not Available,97.06,Not Available,84.02800,NEURAL NETWORKS
2000,"2,481",1.221,1.090,Not Available,0.157,83,7.6,6.9,Not Available,Not Available,97.59,Not Available,82.39400,NEURAL NETWORKS
1999,"2,410",1.122,1.016,Not Available,0.105,105,7.1,7.2,Not Available,Not Available,98.10,Not Available,80.15900,NEURAL NETWORKS
1998,"2,226",1.017,0.874,Not Available,0.071,126,6.6,7.3,Not Available,Not Available,98.41,Not Available,76.61300,NEURAL NETWORKS
1997,"1,879",1.019,0.887,Not Available,0.108,120,6.1,7.3,Not Available,Not Available,99.17,Not Available,76.85200,NEURAL NETWORKS
