,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7645,136,670,921,825,780,650,472,468,388,292,2043,NEURO-ONCOLOGY
2, ,ALL OTHERS (606),606,7,47,76,58,51,44,27,24,33,25,214,NEURO-ONCOLOGY
3,9.384,NEURO-ONCOLOGY,498,45,106,103,58,43,45,21,26,12,7,32,NEURO-ONCOLOGY
4,26.360,J CLIN ONCOL,418,0,31,53,20,53,21,26,42,28,16,128,NEURO-ONCOLOGY
5,3.060,J NEURO-ONCOL,249,3,21,33,18,30,27,23,17,20,8,49,NEURO-ONCOLOGY
6,15.876,ACTA NEUROPATHOL,206,2,48,34,25,23,18,12,14,6,3,21,NEURO-ONCOLOGY
7,9.130,CANCER RES,199,2,9,11,13,12,10,5,15,12,16,94,NEURO-ONCOLOGY
8,5.554,INT J RADIAT ONCOL,194,0,10,25,17,25,14,10,16,4,9,64,NEURO-ONCOLOGY
9,79.260,NEW ENGL J MED,193,1,19,50,20,5,10,2,5,11,5,65,NEURO-ONCOLOGY
10,10.199,CLIN CANCER RES,157,4,7,15,21,19,15,19,8,10,13,26,NEURO-ONCOLOGY
11,4.319,J NEUROSURG,147,1,13,10,8,7,12,10,6,7,5,68,NEURO-ONCOLOGY
12,36.421,LANCET ONCOL,138,6,7,24,14,15,19,13,2,24,4,10,NEURO-ONCOLOGY
13,41.577,NATURE,138,2,7,5,17,0,22,8,17,7,17,36,NEURO-ONCOLOGY
14,22.844,CANCER CELL,131,1,2,17,6,17,10,15,31,2,3,27,NEURO-ONCOLOGY
15,27.125,NAT GENET,127,4,15,7,28,36,11,7,0,8,0,11,NEURO-ONCOLOGY
16,6.537,CANCER-AM CANCER SOC,118,0,7,6,5,7,7,8,4,3,10,61,NEURO-ONCOLOGY
17,31.398,CELL,101,0,21,5,4,23,9,10,6,1,2,20,NEURO-ONCOLOGY
18,9.504,P NATL ACAD SCI USA,97,0,5,4,5,25,5,11,4,2,2,34,NEURO-ONCOLOGY
19,2.766,PLOS ONE,94,0,3,11,21,19,21,9,1,9,0,0,NEURO-ONCOLOGY
20,41.058,SCIENCE,88,0,3,3,26,16,6,1,3,3,5,22,NEURO-ONCOLOGY
21,4.475,NEUROSURGERY,79,1,2,5,6,2,4,2,3,5,7,42,NEURO-ONCOLOGY
22, ,ONCOTARGET,76,2,21,25,16,1,6,4,1,0,0,0,NEURO-ONCOLOGY
23,3.653,AM J NEURORADIOL,71,0,5,7,7,4,6,5,5,4,2,26,NEURO-ONCOLOGY
24,7.469,RADIOLOGY,63,0,6,4,13,7,1,1,3,3,4,21,NEURO-ONCOLOGY
25,8.055,NEUROLOGY,61,1,1,5,7,4,0,5,4,3,1,30,NEURO-ONCOLOGY
26,6.854,ONCOGENE,60,1,3,6,8,5,1,0,5,2,9,20,NEURO-ONCOLOGY
27,15.132,BLOOD,45,1,1,3,2,4,3,5,4,3,5,14,NEURO-ONCOLOGY
28,5.789,J CLIN ENDOCR METAB,45,0,0,3,6,5,4,3,6,1,1,16,NEURO-ONCOLOGY
29,2.884,MED PHYS,43,0,7,5,3,3,7,4,4,5,2,3,NEURO-ONCOLOGY
30,6.187,BRAIN PATHOL,41,2,3,2,9,4,0,2,3,2,0,14,NEURO-ONCOLOGY
31,7.191,EUR J CANCER,39,1,2,6,4,1,5,3,6,2,1,8,NEURO-ONCOLOGY
32,3.490,J NEUROPATH EXP NEUR,39,1,5,5,1,0,1,3,0,2,3,18,NEURO-ONCOLOGY
33,7.439,J NUCL MED,39,2,0,6,6,6,3,0,1,0,3,12,NEURO-ONCOLOGY
34,32.621,NAT MED,38,0,3,7,5,9,3,1,1,3,0,6,NEURO-ONCOLOGY
35,42.784,NAT REV CANCER,38,0,0,2,7,2,9,8,1,0,3,6,NEURO-ONCOLOGY
36,24.373,CANCER DISCOV,35,2,2,4,4,5,14,4,0,0,0,0,NEURO-ONCOLOGY
37,5.922,BRIT J CANCER,34,0,2,2,6,2,4,2,0,2,3,11,NEURO-ONCOLOGY
38,11.238,JNCI-J NATL CANCER I,34,0,6,0,2,0,1,2,3,3,0,17,NEURO-ONCOLOGY
39,13.930,ANN ONCOL,32,1,1,2,5,1,1,3,5,2,0,11,NEURO-ONCOLOGY
40,7.704,EUR J NUCL MED MOL I,32,0,2,9,2,0,5,0,3,3,0,8,NEURO-ONCOLOGY
41,53.254,LANCET,32,2,2,1,0,0,5,0,0,1,0,21,NEURO-ONCOLOGY
42,47.661,JAMA-J AM MED ASSOC,31,0,6,3,3,4,0,0,0,1,2,12,NEURO-ONCOLOGY
43,2.665,PHYS MED BIOL,31,0,3,4,5,4,4,2,2,2,0,5,NEURO-ONCOLOGY
44,13.251,J CLIN INVEST,29,0,2,1,3,5,0,3,3,4,2,6,NEURO-ONCOLOGY
45,1.235,CHILD NERV SYST,28,0,2,3,1,4,1,5,1,1,0,10,NEURO-ONCOLOGY
46,4.011,J BIOL CHEM,27,0,1,3,1,1,2,3,4,2,2,8,NEURO-ONCOLOGY
47,7.360,INT J CANCER,26,1,2,3,9,0,0,1,2,0,2,6,NEURO-ONCOLOGY
48,4.539,J IMMUNOL,25,0,0,2,1,4,3,2,2,2,0,9,NEURO-ONCOLOGY
49,2.646,PEDIATR BLOOD CANCER,25,0,0,2,7,5,3,0,2,0,1,5,NEURO-ONCOLOGY
50,1.929,ACTA NEUROCHIR,24,0,1,1,3,6,3,0,0,2,0,8,NEURO-ONCOLOGY
51,5.365,MOL CANCER THER,24,0,2,6,4,2,4,4,1,1,0,0,NEURO-ONCOLOGY
52, ,WHO CLASSIFICATION T,24,0,13,0,0,0,0,0,0,0,0,11,NEURO-ONCOLOGY
53,10.250,ANN NEUROL,22,0,0,0,1,3,0,0,1,0,0,17,NEURO-ONCOLOGY
54,12.353,NAT COMMUN,22,2,2,8,6,4,0,0,0,0,0,0,NEURO-ONCOLOGY
55,4.942,RADIOTHER ONCOL,21,0,4,3,2,0,1,5,0,1,1,4,NEURO-ONCOLOGY
56,6.253,J PATHOL,20,0,2,1,4,2,3,2,0,1,2,3,NEURO-ONCOLOGY
57,16.710,SCI TRANSL MED,20,2,4,4,1,0,3,1,5,0,0,0,NEURO-ONCOLOGY
58,1.932,STAT MED,20,0,0,0,0,0,0,1,0,1,1,17,NEURO-ONCOLOGY
59,4.069,AM J PATHOL,19,0,0,1,0,1,5,0,1,1,0,10,NEURO-ONCOLOGY
60,3.288,BMC CANCER,19,0,1,2,3,2,1,3,4,1,1,1,NEURO-ONCOLOGY
61,1.924,WORLD NEUROSURG,19,0,6,4,6,0,1,1,1,0,0,0,NEURO-ONCOLOGY
62,5.878,AM J SURG PATHOL,18,0,2,0,1,1,1,0,0,0,0,13,NEURO-ONCOLOGY
63,9.462,GENE DEV,18,1,0,4,1,3,3,1,0,0,0,5,NEURO-ONCOLOGY
64,6.059,NEUROPATH APPL NEURO,18,3,0,3,3,0,0,1,1,2,0,5,NEURO-ONCOLOGY
65,6.491,CANCER LETT,17,0,1,4,3,3,2,0,0,3,0,1,NEURO-ONCOLOGY
66,3.612,J MAGN RESON IMAGING,17,0,0,0,0,0,0,2,4,2,0,9,NEURO-ONCOLOGY
67,7.144,J NEUROL NEUROSUR PS,17,0,0,1,0,1,1,0,0,0,2,12,NEURO-ONCOLOGY
68,11.561,NUCLEIC ACIDS RES,17,0,0,5,2,2,0,3,2,0,0,3,NEURO-ONCOLOGY
69,2.862,RADIAT ONCOL,17,0,0,0,3,2,3,4,2,3,0,0,NEURO-ONCOLOGY
70,5.481,BIOINFORMATICS,16,0,0,1,2,2,2,3,1,2,0,3,NEURO-ONCOLOGY
71,4.994,NEOPLASIA,16,0,0,2,1,2,0,2,1,2,1,5,NEURO-ONCOLOGY
72,5.971,J NEUROSCI,15,0,0,1,0,3,1,1,1,1,2,5,NEURO-ONCOLOGY
73,4.082,MAGN RESON MED,15,1,0,1,1,1,0,0,1,3,0,7,NEURO-ONCOLOGY
74,2.346,NEURORADIOLOGY,15,0,0,2,2,2,0,1,0,0,2,6,NEURO-ONCOLOGY
75,2.676,SUPPORT CARE CANCER,15,0,0,1,1,2,4,0,0,0,2,5,NEURO-ONCOLOGY
76,5.414,ACTA NEUROPATHOL COM,14,0,6,4,3,1,0,0,0,0,0,0,NEURO-ONCOLOGY
77,10.848,BRAIN,14,0,0,0,2,0,0,1,2,0,0,9,NEURO-ONCOLOGY
78,4.416,FRONT ONCOL,14,1,3,3,1,2,4,0,0,0,0,0,NEURO-ONCOLOGY
79,10.790,J EXP MED,14,0,0,0,1,1,3,2,0,0,1,6,NEURO-ONCOLOGY
80,19.912,NAT NEUROSCI,14,0,6,0,1,3,1,1,0,0,0,2,NEURO-ONCOLOGY
81,4.122,SCI REP-UK,14,0,5,3,3,2,1,0,0,0,0,0,NEURO-ONCOLOGY
82,5.587,STEM CELLS,14,0,2,2,1,1,1,1,2,3,0,1,NEURO-ONCOLOGY
83,8.032,CELL REP,13,0,1,6,1,5,0,0,0,0,0,0,NEURO-ONCOLOGY
84,5.067,EPILEPSIA,13,0,0,0,0,2,1,0,1,0,0,9,NEURO-ONCOLOGY
85,4.902,HUM MOL GENET,13,1,1,0,1,2,1,2,0,1,0,4,NEURO-ONCOLOGY
86,1.640,J CLIN NEUROSCI,13,0,1,2,0,2,2,1,3,0,2,0,NEURO-ONCOLOGY
87,10.340,J THORAC ONCOL,13,0,4,3,0,2,1,1,1,1,0,0,NEURO-ONCOLOGY
88,1.887,NEUROPATHOLOGY,13,1,0,2,0,1,2,0,1,1,2,3,NEURO-ONCOLOGY
89,3.605,BREAST CANCER RES TR,12,0,0,2,1,3,4,0,1,0,1,0,NEURO-ONCOLOGY
90,4.554,CANCER EPIDEM BIOMAR,12,0,0,0,5,0,1,1,0,1,3,1,NEURO-ONCOLOGY
91,23.290,CELL STEM CELL,12,1,0,1,0,1,0,2,3,3,1,0,NEURO-ONCOLOGY
92,3.478,CURR NEUROL NEUROSCI,12,0,0,3,2,2,0,2,0,2,0,1,NEURO-ONCOLOGY
93,10.101,GENOME RES,12,0,0,2,3,1,1,0,2,1,0,2,NEURO-ONCOLOGY
94,3.813,MOL CELL BIOL,12,0,1,0,1,1,0,0,0,0,3,6,NEURO-ONCOLOGY
95,7.008,MOL THER,12,0,0,2,1,1,2,1,0,0,2,3,NEURO-ONCOLOGY
96,19.819,NAT REV NEUROL,12,1,2,4,3,1,0,1,0,0,0,0,NEURO-ONCOLOGY
97,2.647,NEUROSURG FOCUS,12,0,0,2,2,1,0,0,5,0,2,0,NEURO-ONCOLOGY
98,5.503,ONCOIMMUNOLOGY,12,0,4,3,3,2,0,0,0,0,0,0,NEURO-ONCOLOGY
99,5.540,PLOS GENET,12,0,0,1,4,1,0,1,5,0,0,0,NEURO-ONCOLOGY
100,3.473,ACTA ONCOL,11,0,0,1,1,4,3,0,2,0,0,0,NEURO-ONCOLOGY
