Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"10,930",9.384,8.746,8.655,2.474,154,4.3,5.7,0.03,2.682,89.61,3.54200,94.59200,NEURO-ONCOLOGY
2016,"8,326",7.786,7.192,7.138,2.000,163,4.0,6.2,0.02424,2.136,93.87,2.78224,93.28900,NEURO-ONCOLOGY
2015,"7,364",7.371,6.854,7.030,1.576,165,3.9,6.2,0.02475,2.168,95.76,2.82141,93.45500,NEURO-ONCOLOGY
2014,"6,048",6.776,6.310,6.604,1.622,172,3.7,5.9,0.02165,2.085,90.12,2.42535,92.36100,NEURO-ONCOLOGY
2013,"4,478",5.286,4.940,5.735,1.036,165,3.6,5.9,0.01733,1.841,96.36,1.91018,88.22400,NEURO-ONCOLOGY
2012,"3,845",6.180,5.808,5.947,0.694,157,3.4,6.3,0.01467,1.850,94.90,Not Available,91.57400,NEURO-ONCOLOGY
2011,"3,048",5.723,5.440,5.884,1.200,130,3.4,6.2,0.01253,1.935,94.62,Not Available,90.48400,NEURO-ONCOLOGY
2010,"2,326",5.483,5.136,6.043,1.176,131,3.8,5.9,0.00927,1.874,96.18,Not Available,89.73000,NEURO-ONCOLOGY
2009,"1,867",4.984,4.852,5.765,1.056,71,4.1,6.8,0.00816,1.806,95.77,Not Available,87.07800,NEURO-ONCOLOGY
2008,"1,296",5.000,4.760,5.268,0.934,76,3.8,6.6,0.00612,1.644,94.74,Not Available,86.78600,NEURO-ONCOLOGY
2007,972,5.806,5.709,4.792,0.848,46,3.6,6.5,0.00504,1.456,97.83,Not Available,92.24500,NEURO-ONCOLOGY
2006,847,4.939,4.787,Not Available,1.241,29,3.4,6.7,Not Available,Not Available,100.00,Not Available,86.55000,NEURO-ONCOLOGY
2005,645,4.150,3.966,Not Available,0.455,33,3.4,5.8,Not Available,Not Available,90.91,Not Available,83.10900,NEURO-ONCOLOGY
2004,496,3.907,3.777,Not Available,0.448,29,3.3,7.3,Not Available,Not Available,89.66,Not Available,82.01700,NEURO-ONCOLOGY
2003,407,3.365,3.192,Not Available,0.370,27,3.2,7.5,Not Available,Not Available,92.59,Not Available,80.30100,NEURO-ONCOLOGY
2002,230,2.717,2.584,Not Available,0.296,27,2.6,4.8,Not Available,Not Available,92.59,Not Available,72.99800,NEURO-ONCOLOGY
