,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,88499,1055,3975,4555,4824,5207,4448,4071,4020,3805,3814,48725,NEUROLOGY
2,,ALL OTHERS (1297),1297,10,31,48,60,81,58,52,55,48,52,802,NEUROLOGY
3,8.055,NEUROLOGY,2276,317,298,183,159,148,120,100,95,74,60,722,NEUROLOGY
4,3.476,J ALZHEIMERS DIS,1699,8,54,82,70,106,75,100,67,70,59,1008,NEUROLOGY
5,2.766,PLOS ONE,1474,9,53,66,85,83,77,59,77,82,82,801,NEUROLOGY
6,4.122,SCI REP-UK,1243,12,36,59,77,80,64,60,73,57,38,687,NEUROLOGY
7,2.448,J NEUROL SCI,1141,11,66,63,72,66,48,49,56,51,54,605,NEUROLOGY
8,3.508,FRONT NEUROL,1129,19,54,50,62,57,48,59,43,47,70,620,NEUROLOGY
9,3.783,J NEUROL,830,11,57,58,53,63,46,33,42,43,32,392,NEUROLOGY
10,8.324,MOVEMENT DISORD,797,7,50,59,56,52,35,41,34,41,41,381,NEUROLOGY
11,5.280,MULT SCLER J,709,8,21,71,49,55,32,54,54,37,19,309,NEUROLOGY
12,2.371,INT REV NEUROBIOL,655,5,25,31,44,40,26,16,37,33,35,363,NEUROLOGY
13,4.454,NEUROBIOL AGING,655,6,27,35,28,47,38,44,27,32,16,355,NEUROLOGY
14,6.239,STROKE,638,14,61,41,43,54,59,36,34,36,23,237,NEUROLOGY
15,2.600,EPILEPSY BEHAV,604,5,29,30,25,26,44,28,33,24,25,335,NEUROLOGY
16,3.582,FRONT AGING NEUROSCI,588,10,23,23,29,31,26,27,34,41,35,309,NEUROLOGY
17,5.067,EPILEPSIA,579,5,30,46,33,31,43,37,21,25,36,272,NEUROLOGY
18,10.848,BRAIN,576,5,34,50,37,39,31,28,31,30,26,265,NEUROLOGY
19,2.839,SEIZURE-EUR J EPILEP,563,7,21,42,26,30,30,25,23,19,24,316,NEUROLOGY
20,7.144,J NEUROL NEUROSUR PS,522,3,32,52,44,32,35,41,29,29,18,207,NEUROLOGY
21,3.869,NEUROIMAGE-CLIN,514,8,17,28,31,39,40,38,36,17,18,242,NEUROLOGY
22,11.460,JAMA NEUROL,512,5,43,36,44,36,42,17,17,25,20,227,NEUROLOGY
23,4.721,PARKINSONISM RELAT D,501,2,19,34,27,31,12,16,23,30,31,276,NEUROLOGY
24,3.696,EXPERT REV NEUROTHER,473,14,33,24,26,15,24,24,26,19,20,248,NEUROLOGY
25,1.924,WORLD NEUROSURG,470,3,15,32,22,31,22,17,15,16,13,284,NEUROLOGY
26,12.764,ALZHEIMERS DEMENT,462,3,12,43,34,37,36,23,21,11,12,230,NEUROLOGY
27,1.870,SEMIN NEUROL,453,9,31,22,18,26,35,22,26,27,18,219,NEUROLOGY
28,1.598,J STROKE CEREBROVASC,451,3,16,25,33,28,27,23,15,24,29,228,NEUROLOGY
29,4.621,EUR J NEUROL,449,3,30,30,33,32,25,29,19,23,10,215,NEUROLOGY
30,10.250,ANN NEUROL,448,10,53,32,28,33,28,21,22,22,15,184,NEUROLOGY
31,3.614,CLIN NEUROPHYSIOL,434,3,12,26,13,20,18,19,22,20,9,272,NEUROLOGY
32,2.285,NEUROL SCI,428,4,18,19,15,26,14,19,22,25,19,247,NEUROLOGY
33,3.126,ACTA NEUROL SCAND,424,3,16,23,33,24,30,20,13,22,14,226,NEUROLOGY
34,3.478,CURR NEUROL NEUROSCI,407,12,46,30,31,32,23,20,22,14,17,160,NEUROLOGY
35,2.496,MUSCLE NERVE,398,2,17,20,28,14,18,22,18,17,15,227,NEUROLOGY
36,2.757,CURR PHARM DESIGN,395,9,15,17,19,15,22,23,18,14,16,227,NEUROLOGY
37,19.819,NAT REV NEUROL,389,12,49,42,31,17,28,28,22,18,8,134,NEUROLOGY
38,,HAND CLINIC,380,0,7,9,12,18,22,9,30,16,10,247,NEUROLOGY
39,4.010,CURR OPIN NEUROL,379,17,54,34,35,27,19,34,19,8,11,121,NEUROLOGY
40,6.754,COCHRANE DB SYST REV,376,1,13,17,17,7,14,12,11,7,14,263,NEUROLOGY
41,3.199,MULT SCLER RELAT DIS,368,2,26,32,24,15,29,19,20,18,12,171,NEUROLOGY
42,4.927,HUM BRAIN MAPP,365,4,12,16,14,25,16,25,23,19,17,194,NEUROLOGY
43,2.170,BMC NEUROL,359,3,11,22,22,21,19,28,25,11,10,187,NEUROLOGY
44,3.653,AM J NEURORADIOL,350,3,6,19,13,21,23,27,14,23,16,185,NEUROLOGY
45,5.076,MOL NEUROBIOL,334,0,2,15,16,11,11,14,18,18,21,208,NEUROLOGY
46,3.091,HEADACHE,331,2,12,14,10,21,20,10,16,13,14,199,NEUROLOGY
47,,ONCOTARGET,329,1,10,19,17,16,8,19,12,21,15,191,NEUROLOGY
48,2.219,BRAIN BEHAV,320,1,9,12,17,14,16,16,14,14,13,194,NEUROLOGY
49,2.028,MEDICINE,316,3,12,16,10,11,11,17,6,18,11,201,NEUROLOGY
50,5.719,NEUROTHERAPEUTICS,313,6,25,22,20,15,17,16,21,18,10,143,NEUROLOGY
51,2.398,PEDIATR NEUROL,311,2,18,17,23,22,20,18,10,10,22,149,NEUROLOGY
52,5.015,ALZHEIMERS RES THER,309,0,13,15,9,17,12,18,19,20,6,180,NEUROLOGY
53,,MOV DISORD CLIN PRAC,309,5,21,20,20,16,11,8,13,10,19,166,NEUROLOGY
54,2.491,EPILEPSY RES,301,4,8,15,10,13,18,13,15,11,22,172,NEUROLOGY
55,3.687,INT J MOL SCI,288,3,9,16,12,11,11,14,11,17,13,171,NEUROLOGY
56,27.144,LANCET NEUROL,288,11,43,24,25,28,24,14,8,13,12,86,NEUROLOGY
57,5.426,NEUROIMAGE,284,2,10,13,13,20,16,16,13,18,9,154,NEUROLOGY
58,1.762,REV NEUROL-FRANCE,272,6,15,11,16,16,12,13,7,20,10,146,NEUROLOGY
59,2.655,J NEUROIMMUNOL,266,1,9,22,24,17,13,19,17,13,8,123,NEUROLOGY
60,2.633,CURR TREAT OPTION NE,265,3,16,10,15,18,13,12,11,14,14,139,NEUROLOGY
61,3.877,FRONT NEUROSCI-SWITZ,265,3,7,11,10,13,10,6,14,13,14,164,NEUROLOGY
62,1.848,INT J NEUROSCI,264,0,1,11,15,20,15,17,14,11,7,153,NEUROLOGY
63,2.779,J NEURAL TRANSM,263,1,15,12,9,15,10,14,12,11,17,147,NEUROLOGY
64,2.982,AMYOTROPH LAT SCL FR,261,0,15,6,15,16,7,13,3,30,11,145,NEUROLOGY
65,8.037,NEUROSCI BIOBEHAV R,256,1,4,15,10,16,12,15,11,11,14,147,NEUROLOGY
66,4.206,CNS DRUGS,254,6,14,13,21,13,20,10,10,7,12,128,NEUROLOGY
67,15.876,ACTA NEUROPATHOL,253,2,11,13,18,18,11,14,9,9,11,137,NEUROLOGY
68,2.487,NEUROMUSCULAR DISORD,249,1,19,18,24,12,13,13,11,10,14,114,NEUROLOGY
69,2.195,NEUROPSYCH DIS TREAT,249,1,6,14,17,20,17,11,9,9,9,136,NEUROLOGY
70,3.886,CEPHALALGIA,245,0,7,14,7,18,13,8,3,8,14,153,NEUROLOGY
71,1.640,J CLIN NEUROSCI,245,1,7,12,10,12,15,10,11,11,12,144,NEUROLOGY
72,4.907,CORTEX,229,0,6,8,5,10,6,8,6,6,5,169,NEUROLOGY
73,,BRAIN SCI,227,2,6,10,16,17,13,4,13,10,7,129,NEUROLOGY
