,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,20007,671,1939,1955,1769,1565,1368,1234,1142,901,786,6677,NEUROLOGY
2, ,ALL OTHERS (1660),1660,26,152,164,141,105,76,81,67,47,65,736,NEUROLOGY
3,8.055,NEUROLOGY,2276,317,298,183,159,148,120,100,95,74,60,722,NEUROLOGY
4,6.239,STROKE,786,10,53,67,80,63,41,55,57,58,32,270,NEUROLOGY
5,10.250,ANN NEUROL,520,8,41,44,41,29,26,66,31,25,24,185,NEUROLOGY
6,27.144,LANCET NEUROL,509,9,67,42,63,73,44,36,56,38,28,53,NEUROLOGY
7,10.848,BRAIN,501,4,39,53,26,35,38,43,32,26,35,170,NEUROLOGY
8,7.144,J NEUROL NEUROSUR PS,388,10,27,23,38,30,32,19,21,14,16,158,NEUROLOGY
9,79.260,NEW ENGL J MED,380,0,43,43,10,36,22,23,16,11,17,159,NEUROLOGY
10,5.067,EPILEPSIA,315,7,12,19,24,31,24,27,33,10,16,112,NEUROLOGY
11,8.324,MOVEMENT DISORD,294,7,21,40,17,25,20,21,27,7,24,85,NEUROLOGY
12,53.254,LANCET,289,4,29,21,27,10,22,8,21,13,8,126,NEUROLOGY
13,47.661,JAMA-J AM MED ASSOC,250,5,19,34,24,11,8,26,6,5,4,108,NEUROLOGY
14,2.766,PLOS ONE,235,2,23,45,44,46,33,15,13,5,5,4,NEUROLOGY
15, ,ARCH NEUROL-CHICAGO,204,0,0,0,0,0,25,14,13,13,8,131,NEUROLOGY
16,11.460,JAMA NEUROL,183,9,55,41,41,37,0,0,0,0,0,0,NEUROLOGY
17,5.280,MULT SCLER J,182,12,34,35,14,25,12,8,5,3,9,25,NEUROLOGY
18,5.426,NEUROIMAGE,177,5,7,5,10,5,18,15,22,11,11,68,NEUROLOGY
19,3.783,J NEUROL,167,5,11,23,15,14,18,10,9,7,8,47,NEUROLOGY
20,12.764,ALZHEIMERS DEMENT,148,11,20,43,15,11,5,34,7,0,1,1,NEUROLOGY
21,5.971,J NEUROSCI,147,0,2,10,10,9,19,5,10,16,4,62,NEUROLOGY
22,3.886,CEPHALALGIA,124,1,9,11,5,21,11,12,3,5,5,41,NEUROLOGY
23,2.448,J NEUROL SCI,122,3,6,11,7,7,13,8,5,9,2,51,NEUROLOGY
24,15.876,ACTA NEUROPATHOL,120,3,12,10,12,8,8,7,11,6,9,34,NEUROLOGY
25,9.504,P NATL ACAD SCI USA,118,0,9,9,3,1,4,9,7,11,4,61,NEUROLOGY
26,4.454,NEUROBIOL AGING,115,0,15,22,11,11,13,6,4,3,3,27,NEUROLOGY
27,18.881,CIRCULATION,111,4,9,12,8,3,7,8,14,4,5,37,NEUROLOGY
28,4.621,EUR J NEUROL,111,0,13,11,13,15,14,10,14,9,2,10,NEUROLOGY
29,41.577,NATURE,97,2,11,10,7,14,3,1,7,4,3,35,NEUROLOGY
30,3.091,HEADACHE,96,1,5,9,6,13,11,2,5,7,10,27,NEUROLOGY
31,3.476,J ALZHEIMERS DIS,94,2,21,16,12,7,6,9,12,6,1,2,NEUROLOGY
32,27.125,NAT GENET,90,0,4,3,6,7,9,6,4,5,2,44,NEUROLOGY
33,19.819,NAT REV NEUROL,89,1,16,11,15,19,5,9,9,4,0,0,NEUROLOGY
34,23.562,BMJ-BRIT MED J,87,0,7,1,8,6,5,4,15,8,3,30,NEUROLOGY
35,2.496,MUSCLE NERVE,86,5,13,8,5,3,5,6,6,4,2,29,NEUROLOGY
36,3.653,AM J NEURORADIOL,85,3,4,6,2,7,3,6,4,5,4,41,NEUROLOGY
37,2.931,CEREBROVASC DIS,80,5,2,12,4,6,5,5,4,6,10,21,NEUROLOGY
38,14.319,NEURON,78,0,9,7,8,4,4,12,9,5,0,20,NEUROLOGY
39,4.319,J NEUROSURG,73,0,6,1,4,3,5,3,4,4,6,37,NEUROLOGY
40,4.155,J AM GERIATR SOC,72,2,3,4,3,6,11,3,0,2,9,29,NEUROLOGY
41,41.058,SCIENCE,71,1,7,4,3,7,3,1,3,3,1,38,NEUROLOGY
42,4.322,AM J EPIDEMIOL,69,1,0,2,2,3,1,2,1,2,5,50,NEUROLOGY
43,8.855,AM J HUM GENET,69,0,8,4,9,6,7,2,3,1,1,28,NEUROLOGY
44,4.721,PARKINSONISM RELAT D,68,2,13,11,8,9,5,4,5,3,2,6,NEUROLOGY
45,4.927,HUM BRAIN MAPP,67,2,9,12,22,0,7,3,2,4,1,5,NEUROLOGY
46,2.487,NEUROMUSCULAR DISORD,65,0,7,8,12,5,5,2,3,0,4,19,NEUROLOGY
