Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"88,499",8.055,7.600,8.716,1.994,529,11.1,6.5,0.115,3.175,95.46,13.48500,93.65500,NEUROLOGY
2016,"81,843",8.320,7.922,8.463,1.507,619,>10.0,6.5,0.11484,3.094,95.80,13.19133,95.61900,NEUROLOGY
2015,"76,804",8.166,7.760,8.092,1.818,589,>10.0,6.4,0.11813,3.016,95.59,13.46400,96.11400,NEUROLOGY
2014,"76,539",8.185,7.775,8.310,1.908,511,9.9,6.6,0.12233,2.974,95.30,13.70077,96.09400,NEUROLOGY
2013,"76,845",8.303,7.886,8.375,2.149,530,9.5,6.5,0.11903,2.797,94.91,13.11914,96.13400,NEUROLOGY
2012,"74,408",8.249,7.852,8.397,1.816,527,9.0,6.3,0.13504,2.983,96.58,Not Available,96.11400,NEUROLOGY
2011,"72,475",8.312,7.849,7.634,1.938,497,8.7,6.2,0.14383,2.672,95.77,Not Available,96.61500,NEUROLOGY
2010,"72,139",8.017,7.520,7.518,1.778,509,8.4,6.2,0.15896,2.568,97.25,Not Available,98.10800,NEUROLOGY
2009,"71,302",8.172,7.602,7.199,1.705,511,8.0,6.1,0.17305,2.309,95.11,Not Available,97.90400,NEUROLOGY
2008,"69,140",7.043,6.675,6.857,1.796,510,7.6,6.5,0.17775,2.089,95.10,Not Available,97.75600,NEUROLOGY
2007,"62,562",6.014,5.578,6.213,1.662,565,7.1,6.4,0.18811,2.020,95.22,Not Available,96.91800,NEUROLOGY
2006,"59,338",5.690,5.301,Not Available,1.110,840,6.9,6.3,Not Available,Not Available,95.83,Not Available,96.25900,NEUROLOGY
2005,"54,439",5.065,4.651,Not Available,1.115,765,6.7,6.3,Not Available,Not Available,96.73,Not Available,96.28400,NEUROLOGY
2004,"55,014",5.973,5.474,Not Available,0.926,942,6.3,6.4,Not Available,Not Available,96.60,Not Available,96.78600,NEUROLOGY
2003,"51,549",5.678,5.198,Not Available,1.087,768,6.1,6.5,Not Available,Not Available,96.88,Not Available,98.14800,NEUROLOGY
2002,"50,017",5.340,4.949,Not Available,0.979,731,6.1,6.1,Not Available,Not Available,95.49,Not Available,96.73900,NEUROLOGY
2001,"44,826",5.212,4.733,Not Available,0.740,921,6.1,6.1,Not Available,Not Available,97.50,Not Available,95.95600,NEUROLOGY
2000,"41,351",4.781,4.299,Not Available,0.796,933,6.6,6.1,Not Available,Not Available,97.96,Not Available,94.52600,NEUROLOGY
1999,"41,267",5.232,4.726,Not Available,0.734,854,6.4,5.9,Not Available,Not Available,99.53,Not Available,95.07600,NEUROLOGY
1998,"36,510",4.972,4.478,Not Available,0.767,828,6.3,6.2,Not Available,Not Available,98.19,Not Available,96.40000,NEUROLOGY
1997,"32,375",4.526,3.989,Not Available,0.692,721,6.5,6.0,Not Available,Not Available,98.75,Not Available,95.79400,NEUROLOGY
