,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,89413,1177,4416,6452,6685,6294,6312,6188,5193,4077,4314,38305,NEURON
2,,ALL OTHERS (1239),1239,3,36,68,73,62,97,71,93,37,67,632,NEURON
3,4.122,SCI REP-UK,3638,43,160,221,267,239,274,264,198,165,185,1622,NEURON
4,5.971,J NEUROSCI,3338,58,203,279,261,266,238,216,197,166,166,1288,NEURON
5,14.319,NEURON,3036,217,266,325,282,243,203,223,168,163,114,832,NEURON
6,7.616,ELIFE,2313,52,157,203,185,167,197,160,149,134,99,810,NEURON
7,2.766,PLOS ONE,1703,14,59,86,113,93,92,132,97,103,91,823,NEURON
8,12.353,NAT COMMUN,1569,18,103,167,145,138,113,129,84,79,71,522,NEURON
9,6.308,CEREB CORTEX,1532,4,27,80,108,140,123,139,98,94,93,626,NEURON
10,9.504,P NATL ACAD SCI USA,1425,19,72,126,95,97,124,97,85,76,65,569,NEURON
11,8.032,CELL REP,1378,37,106,110,100,106,98,89,79,57,61,535,NEURON
12,5.426,NEUROIMAGE,1207,7,44,109,126,105,91,115,60,61,58,431,NEURON
13,4.300,FRONT CELL NEUROSCI,1108,21,52,69,82,86,62,96,56,35,38,511,NEURON
14,2.502,J NEUROPHYSIOL,1060,10,51,76,74,87,96,65,79,66,52,404,NEURON
15,6.541,CURR OPIN NEUROBIOL,1001,25,143,120,106,86,90,56,44,57,46,228,NEURON
16,19.912,NAT NEUROSCI,969,27,108,114,93,91,83,83,61,50,42,217,NEURON
17,3.902,FRONT MOL NEUROSCI,957,19,39,58,60,75,58,61,56,47,49,435,NEURON
18,3.382,NEUROSCIENCE,835,5,34,48,55,43,51,41,56,41,37,424,NEURON
19,,ENEURO,810,16,55,67,64,67,60,48,45,46,40,302,NEURON
20,3.877,FRONT NEUROSCI-SWITZ,711,17,43,58,48,62,49,63,42,33,33,263,NEURON
21,4.249,NEUROPHARMACOLOGY,699,1,33,33,41,38,49,29,42,23,48,362,NEURON
22,5.076,MOL NEUROBIOL,625,0,5,23,38,36,41,37,35,21,41,348,NEURON
23,9.251,CURR BIOL,596,17,54,67,63,43,39,49,37,16,29,182,NEURON
24,4.540,J PHYSIOL-LONDON,595,7,20,34,55,42,44,26,36,26,27,278,NEURON
25,3.131,FRONT NEURAL CIRCUIT,577,14,39,46,52,34,59,30,40,32,24,207,NEURON
26,8.037,NEUROSCI BIOBEHAV R,540,3,24,41,54,54,48,37,29,25,25,200,NEURON
27,3.955,PLOS COMPUT BIOL,516,6,55,50,47,26,35,37,32,52,22,154,NEURON
28,4.927,HUM BRAIN MAPP,480,1,14,13,51,38,31,61,32,15,27,197,NEURON
29,3.173,BEHAV BRAIN RES,476,1,9,20,33,21,32,32,24,24,31,249,NEURON
30,,FRONT PSYCHOL,468,7,12,20,17,26,36,38,31,27,25,229,NEURON
31,3.687,INT J MOL SCI,462,8,17,27,29,30,33,17,19,19,24,239,NEURON
32,4.231,BRAIN STRUCT FUNCT,456,3,7,34,40,36,39,29,25,15,23,205,NEURON
33,32.635,NAT REV NEUROSCI,452,9,47,46,38,39,39,40,29,29,22,114,NEURON
34,4.609,J NEUROCHEM,450,3,15,21,19,18,29,22,28,20,24,251,NEURON
35,4.011,J BIOL CHEM,434,1,15,17,23,32,18,21,19,18,22,248,NEURON
36,3.244,NEUROBIOL LEARN MEM,423,0,6,22,34,24,27,24,24,18,18,226,NEURON
37,2.832,EUR J NEUROSCI,422,3,22,31,26,29,31,24,29,20,32,175,NEURON
38,3.400,J COMP NEUROL,418,1,16,24,39,31,35,34,22,12,9,195,NEURON
39,2.871,FRONT HUM NEUROSCI,402,3,9,18,20,26,25,37,34,21,21,188,NEURON
40,3.476,J ALZHEIMERS DIS,391,1,15,14,32,32,23,21,19,23,23,188,NEURON
41,2.159,NEUROSCI LETT,380,1,20,20,29,21,18,26,24,7,13,201,NEURON
42,11.984,BIOL PSYCHIAT,377,0,18,38,57,30,42,27,21,13,14,117,NEURON
43,5.666,PHILOS T R SOC B,369,0,10,33,27,26,36,16,24,18,42,137,NEURON
44,3.312,MOL CELL NEUROSCI,364,1,10,20,18,22,17,26,20,11,13,206,NEURON
45,11.640,MOL PSYCHIATR,363,1,10,36,39,43,28,30,19,19,8,130,NEURON
46,4.483,EXP NEUROL,360,2,10,34,27,15,31,24,13,20,15,169,NEURON
47,2.889,NEUROPSYCHOLOGIA,349,1,11,18,5,10,20,26,12,20,23,203,NEURON
48,31.398,CELL,345,16,35,54,27,29,33,21,20,15,7,88,NEURON
49,4.902,HUM MOL GENET,341,7,26,26,27,28,17,32,17,11,19,131,NEURON
50,2.598,DEV NEUROBIOL,337,0,26,15,19,21,23,15,15,13,15,175,NEURON
51,41.577,NATURE,335,11,40,35,21,26,24,27,19,15,4,113,NEURON
52,3.125,BRAIN RES,333,1,7,19,23,31,14,25,26,14,26,147,NEURON
53,5.413,DEVELOPMENT,332,2,26,24,29,23,23,15,5,19,12,154,NEURON
