,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,30257,934,2437,2548,2463,2318,2017,1729,1610,1412,1259,11530,NEURON
2, ,ALL OTHERS (1144),1144,36,100,76,70,72,74,49,46,48,29,544,NEURON
3,14.319,NEURON,3036,217,266,325,282,243,203,223,168,163,114,832,NEURON
4,5.971,J NEUROSCI,2715,38,130,140,189,232,176,210,175,146,132,1147,NEURON
5,41.577,NATURE,1860,37,141,154,116,181,144,93,96,91,77,730,NEURON
6,19.912,NAT NEUROSCI,1604,55,162,147,169,157,139,102,95,87,61,430,NEURON
7,9.504,P NATL ACAD SCI USA,1239,28,76,85,79,98,81,75,86,79,77,475,NEURON
8,41.058,SCIENCE,1221,17,81,68,84,63,48,48,61,45,65,641,NEURON
9,31.398,CELL,829,17,94,104,95,67,41,52,51,51,28,229,NEURON
10,2.502,J NEUROPHYSIOL,666,4,20,22,26,22,29,26,24,30,37,426,NEURON
11,32.635,NAT REV NEUROSCI,468,15,40,36,31,33,48,25,39,28,25,148,NEURON
12,4.011,J BIOL CHEM,351,1,10,20,17,24,25,24,17,13,11,189,NEURON
13,3.400,J COMP NEUROL,351,4,5,6,11,7,7,6,11,14,14,266,NEURON
14,2.766,PLOS ONE,328,3,20,31,49,65,57,37,26,18,11,11,NEURON
15,9.251,CURR BIOL,320,6,34,32,39,26,27,22,23,12,21,78,NEURON
16,4.540,J PHYSIOL-LONDON,320,5,11,8,6,11,16,4,4,4,12,239,NEURON
17,7.616,ELIFE,301,26,127,81,50,16,1,0,0,0,0,0,NEURON
18,6.541,CURR OPIN NEUROBIOL,257,17,32,32,20,15,38,15,16,7,6,59,NEURON
19,5.426,NEUROIMAGE,256,16,24,20,24,25,26,9,15,10,12,75,NEURON
20,14.675,ANNU REV NEUROSCI,254,3,4,11,17,15,10,24,13,10,20,127,NEURON
21,3.125,BRAIN RES,240,0,4,10,1,6,5,5,7,7,3,192,NEURON
22,11.439,TRENDS NEUROSCI,240,2,10,15,8,17,11,16,13,6,11,131,NEURON
23,12.353,NAT COMMUN,239,14,74,56,53,29,6,6,1,0,0,0,NEURON
24,3.382,NEUROSCIENCE,237,3,8,11,12,2,5,12,9,11,8,156,NEURON
25,6.308,CEREB CORTEX,233,15,37,17,5,9,14,10,6,8,9,103,NEURON
26,26.919,NAT METHODS,226,11,14,16,33,21,51,19,18,13,12,18,NEURON
27,8.784,J CELL BIOL,209,4,7,13,7,15,12,7,13,7,17,107,NEURON
