,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,3655,101,257,361,266,340,164,254,127,156,176,1453,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2,,ALL OTHERS (568),568,9,36,46,48,38,25,58,23,16,22,247,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
3,4.122,SCI REP-UK,100,4,5,13,10,8,0,5,4,4,10,37,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
4,3.476,J ALZHEIMERS DIS,75,4,2,7,8,4,9,7,0,11,3,20,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
5,6.059,NEUROPATH APPL NEURO,75,6,12,8,3,7,4,4,5,6,1,19,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
6,6.187,BRAIN PATHOL,71,4,5,13,2,8,4,6,6,1,6,16,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
7,2.766,PLOS ONE,60,0,3,4,9,6,3,5,0,2,4,24,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
8,15.876,ACTA NEUROPATHOL,51,3,3,9,2,2,3,6,2,2,2,17,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
9,,ONCOTARGET,44,1,5,6,4,2,3,3,1,1,1,17,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
10,5.076,MOL NEUROBIOL,40,0,0,5,5,6,1,2,1,4,2,14,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
11,3.687,INT J MOL SCI,39,2,1,3,2,4,4,1,1,2,2,17,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
12,3.490,J NEUROPATH EXP NEUR,37,2,3,7,3,4,2,3,0,1,0,12,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
13,1.887,NEUROPATHOLOGY,34,0,5,2,3,2,2,4,1,2,0,13,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
14,5.414,ACTA NEUROPATHOL COM,32,0,5,9,1,2,1,1,1,0,1,11,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
15,14.163,PROG NEUROBIOL,32,0,0,1,0,5,1,1,1,2,2,19,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
16,3.902,FRONT MOL NEUROSCI,29,1,2,3,5,1,4,0,3,0,1,9,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
17,10.848,BRAIN,28,3,0,1,1,4,2,3,0,3,2,9,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
18,3.877,FRONT NEUROSCI-SWITZ,28,2,4,5,2,1,1,1,0,1,1,10,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
19,1.924,WORLD NEUROSURG,28,0,0,0,0,1,3,2,0,0,4,18,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
20,5.193,J NEUROINFLAMM,27,0,4,2,1,9,0,0,3,3,0,5,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
21,5.220,CLIN SCI,25,0,0,1,3,2,2,4,0,0,6,7,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
22,3.582,FRONT AGING NEUROSCI,25,0,1,0,0,9,2,4,0,2,2,5,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
23,8.324,MOVEMENT DISORD,25,0,1,3,3,0,4,1,0,2,2,9,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
24,3.508,FRONT NEUROL,23,2,3,0,2,3,0,2,1,1,2,7,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
25,8.055,NEUROLOGY,23,1,1,5,1,3,2,3,0,1,1,5,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
26,4.454,NEUROBIOL AGING,22,1,1,2,2,1,2,2,0,3,0,8,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
27,4.902,HUM MOL GENET,20,0,0,3,3,3,1,0,2,1,0,7,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
28,5.971,J NEUROSCI,20,0,1,3,2,2,1,1,0,0,5,5,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
29,12.353,NAT COMMUN,20,0,0,2,2,1,1,0,0,0,0,14,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
30,5.227,NEUROBIOL DIS,20,0,1,4,1,1,1,0,1,0,2,9,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
31,2.757,CURR PHARM DESIGN,19,0,0,1,1,1,1,2,0,0,0,13,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
32,5.846,GLIA,19,0,1,0,1,4,0,1,1,0,2,9,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
33,2.772,NEUROCHEM RES,19,0,2,1,2,2,0,1,2,1,1,7,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
